unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
100_fold0_x0,2018-06-05,2018-06-04,0.054315973,0.41145542,0.23171042,0.24304967,0.35475513,0.20445055,0.23098774,0.30337676,0.29112792,0.345622,0.4881052814336362,-0.2769052927593166,0
100_fold0_x0,2018-06-06,2018-06-04,0.1726901,0.5709505,0.5631366,0.5575791,0.52681553,0.3950659,0.56424034,0.47122428,0.5849893,0.5120489,0.8120357609480213,0.08334942984624465,0
100_fold0_x0,2018-06-07,2018-06-04,0.24996576,0.6289046,0.5937227,0.6431066,0.5787238,0.42426315,0.6288028,0.46970537,0.59943676,0.6124415,0.188862707396804,0.156941402862134,0
100_fold0_x0,2018-06-08,2018-06-04,0.28489012,0.6892878,0.4702719,0.49831086,0.5183942,0.4042884,0.5044147,0.5468092,0.5653673,0.6625924,0.08445016448537114,0.17565389172728538,0
100_fold0_x0,2018-06-09,2018-06-04,0.20021006,0.4367514,0.25895447,0.24125497,0.3229622,0.23535693,0.27721378,0.2729835,0.3072152,0.40537417,0.2188970382643999,0.015575625637167002,0
100_fold0_x0,2018-06-10,2018-06-04,-0.2265904,-0.21317211,-0.31478974,-0.24700014,-0.22077343,-0.18938436,-0.24765289,-0.27214685,-0.27061376,-0.2234676,-0.23554911988927615,0.13162450616222332,0
100_fold0_x0,2018-06-11,2018-06-04,-0.38953412,-0.42529485,-0.4061195,-0.4071654,-0.47960407,-0.33102304,-0.39785752,-0.42253402,-0.40994272,-0.40030426,-0.3379174413280454,-0.14261566678587734,0
100_fold0_x0,2018-06-12,2018-06-04,0.08965038,0.37596768,0.23858537,0.22800313,0.2921253,0.2422245,0.26999193,0.28272444,0.309722,0.37595814,0.1548971813894703,-0.2769052927593166,0
100_fold0_x0,2018-06-13,2018-06-04,0.20057872,0.6003777,0.5419978,0.5430802,0.5265871,0.39004418,0.5325789,0.48317915,0.5615884,0.5587344,0.5780510262308344,0.08334942984624465,0
100_fold0_x0,2018-06-14,2018-06-04,0.24130538,0.665682,0.5726398,0.61866266,0.54849946,0.37804288,0.5686615,0.4679048,0.59775054,0.61929244,0.49455244146280614,0.156941402862134,0
100_fold0_x0,2018-06-15,2018-06-04,0.28221902,0.7122991,0.45999542,0.46553475,0.53360367,0.36852166,0.48191842,0.5100796,0.57256854,0.6778929,0.5738053354799177,0.17565389172728538,0
100_fold0_x0,2018-06-16,2018-06-04,0.21279481,0.41877896,0.24229215,0.2541553,0.28159627,0.22082198,0.182578,0.22793943,0.24105614,0.3969086,0.3267690328988018,0.015575625637167002,0
100_fold0_x0,2018-06-17,2018-06-04,-0.2139591,-0.19558766,-0.30369312,-0.26977938,-0.23671782,-0.23728655,-0.287808,-0.25735202,-0.2942914,-0.25013012,-0.14513163167530946,0.13162450616222332,0
100_fold0_x0,2018-06-18,2018-06-04,-0.38896647,-0.39944932,-0.42039755,-0.41701692,-0.44817737,-0.3522739,-0.43266067,-0.43109182,-0.4137852,-0.4211853,-0.3355587242442028,-0.14261566678587734,0
101_fold0_x1,2018-06-05,2018-06-04,0.020318951,0.025731202,0.023048399,0.04250882,0.039883554,0.025240222,0.028358731,0.039827585,0.0018142741,0.030002203,0.004724910440561209,-0.2707200557881368,0
101_fold0_x1,2018-06-06,2018-06-04,0.085635096,0.07475853,0.0682953,0.01966691,0.04638818,0.122184254,0.06362134,0.07601857,0.05299052,0.060628626,0.12935405889263055,0.021859397776383946,0
101_fold0_x1,2018-06-07,2018-06-04,0.12160717,0.11374368,0.0868682,0.10509018,0.13741954,0.13729647,0.09736028,0.10720207,0.092720665,0.10226877,0.12143339965248606,0.06291750893958188,0
101_fold0_x1,2018-06-08,2018-06-04,0.16204137,0.04291341,-0.023601754,0.021155603,0.005819726,0.16267656,-0.026786763,0.10290556,-0.0007422175,0.0048700497,0.07601084360186153,0.08829594772943265,0
101_fold0_x1,2018-06-09,2018-06-04,0.038717568,0.061909188,0.030298991,0.032602713,0.06421658,0.15972467,0.042858783,0.07673685,0.03464046,0.057041597,0.14762006897704533,0.0627558628326402,0
