unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
0_fold0_x0,2018-06-05,2018-06-04,0.14707088,0.19983414,0.2655208,0.29800147,0.19270045,0.17578112,0.28100485,0.20109752,0.24452531,0.23979315,0.5278535916802634,-0.309180780987585,0
0_fold0_x0,2018-06-06,2018-06-04,0.20194107,0.26843953,0.24202263,0.27421966,0.3063413,0.33052132,0.28555742,0.24872147,0.31417346,0.30751196,0.43636252166842304,0.08796125952512053,0
0_fold0_x0,2018-06-07,2018-06-04,0.22837612,0.3367909,0.29174414,0.31933302,0.3884729,0.38188735,0.30833223,0.24932206,0.34049296,0.34942636,0.4789766658852475,0.3235643795481706,0
0_fold0_x0,2018-06-08,2018-06-04,0.21752182,0.3505445,0.2559875,0.2681088,0.29135215,0.28997967,0.26390296,0.2720841,0.3821258,0.30346927,0.8780247703565331,0.30702246733620836,0
0_fold0_x0,2018-06-09,2018-06-04,0.09839979,0.06746502,-0.036821075,-0.043763213,-0.08310415,0.021359526,-0.02030944,0.059630323,-0.047262758,0.07245557,0.12431262216375351,0.22267913716904317,0
0_fold0_x0,2018-06-10,2018-06-04,-0.20903417,-0.20497864,-0.23419474,-0.226587,-0.24282442,-0.26721722,-0.20870367,-0.2615281,-0.20494579,-0.22103426,-0.2057768112346197,-0.058056854444669216,0
0_fold0_x0,2018-06-11,2018-06-04,-0.28042415,-0.20511419,-0.22763,-0.23593631,-0.24726534,-0.19691262,-0.2150208,-0.18590961,-0.23381408,-0.20634118,-0.23777145625364124,-0.1967910811441711,0
0_fold0_x0,2018-06-12,2018-06-04,0.11454049,0.2685595,0.2905941,0.32694507,0.22542274,0.18696962,0.3253183,0.22269762,0.27575207,0.26058105,0.28816604888882763,-0.28882674085846277,0
0_fold0_x0,2018-06-13,2018-06-04,0.1953588,0.3595853,0.26317018,0.2918609,0.31307763,0.3503738,0.3024061,0.28836107,0.32420737,0.3326371,0.3651574180728987,0.4040275080853694,0
0_fold0_x0,2018-06-14,2018-06-04,0.21086149,0.3734054,0.29623646,0.3176434,0.38714868,0.3800738,0.31937116,0.27491668,0.36830348,0.37415484,0.76924297729186,0.5638645857548642,0
