unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
H2OC (mmol/mol)_fold0_x0,2020-12-05,2020-12-04,-0.90039915,-1.0922728,-1.1112509,-0.9710579,-0.4644801,-1.1179072,-1.113599,-1.0042809,-0.98349273,-1.1085801,-0.8336953984947091,-1.101778028921377,0
H2OC (mmol/mol)_fold0_x0,2020-12-06,2020-12-04,-0.66689956,-1.0740583,-0.88935155,-0.9446065,-0.47578973,-0.8728138,-1.0206434,-0.9857823,-0.8946192,-1.1770216,-0.6954270562409736,-1.2188203567419724,0
H2OC (mmol/mol)_fold0_x0,2020-12-07,2020-12-04,-0.73063016,-0.89326143,-0.8255354,-0.91004777,-0.46784276,-0.43479845,-0.8651789,-0.7805975,-0.8419019,-0.9680566,-0.6352264767905628,-0.6248143290004065,0
H2OC (mmol/mol)_fold0_x0,2020-12-08,2020-12-04,-0.68366706,-0.8098054,-0.9603286,-0.92574716,-0.40244204,-0.72359395,-0.9457382,-0.24139805,-0.79751503,-0.9679498,-0.7347722126139411,-0.7734014365529068,0
H2OC (mmol/mol)_fold0_x0,2020-12-09,2020-12-04,-0.699359,-0.8476279,-1.0580026,-0.97328377,-0.40184408,-1.2472537,-1.0650175,-0.48761022,-0.9341361,-0.94434756,-0.6153048786270349,-0.9651623826254276,0
H2OC (mmol/mol)_fold0_x0,2020-12-10,2020-12-04,-0.9908405,-0.80512005,-1.1263129,-0.9162702,-0.20635173,-0.91212887,-1.0884901,-0.5340976,-0.6498005,-0.971174,-0.6154449523641223,-0.8538037616410201,0
H2OC (mmol/mol)_fold0_x0,2020-12-11,2020-12-04,-1.018891,-0.60222423,-1.0299137,-0.89618576,-0.15466756,-0.7201083,-0.98620665,-0.21363239,-0.70942694,-0.9293116,-0.7096678861781829,-0.8287461264509576,0
H2OC (mmol/mol)_fold0_x0,2020-12-12,2020-12-04,-0.8947351,-0.65004027,-0.97827536,-0.98337036,-0.36730486,-0.5215999,-0.96163094,-0.2538973,-0.83157766,-0.9295592,-0.6184331920886514,-0.5829478453598674,0
H2OC (mmol/mol)_fold0_x0,2020-12-13,2020-12-04,-0.8502893,-0.7710211,-1.0156683,-0.9717092,-0.28333074,-0.8348214,-1.0191656,-0.0780984,-0.84789926,-1.0314434,-0.36278305815575407,-0.056208338917338625,0
H2OC (mmol/mol)_fold0_x0,2020-12-14,2020-12-04,-0.78521436,-0.88079923,-0.90651643,-0.94132257,-0.014080465,-0.71459556,-0.9280415,-0.4206931,-0.8924002,-0.9562782,-0.4939543310637328,-0.2418682955522791,0
