unique_id,ds,cutoff,DLinear,DeepNPTS,KAN,MLP,NBEATS,NHITS,NLinear,PatchTST,TFT,TiDE,y,SeasonalNaive
H2OC (mmol/mol),2020-12-19,2020-12-18,-0.6030127,-0.57544124,-0.5801697,-0.6979145,-0.44910485,-0.91392004,-0.5697754,-0.6110151,-0.5269508,-0.5687756,-0.600846156209912,-1.101778028921377
H2OC (mmol/mol),2020-12-20,2020-12-18,-0.54771554,-0.5773227,-0.8681892,-0.723023,-0.43422604,-1.1215987,-0.5583729,-0.52837074,-0.20971021,-0.59993064,-0.7152397081645446,-1.2188203567419724
H2OC (mmol/mol),2020-12-21,2020-12-18,-0.6513312,-0.55595917,-0.75769985,-0.76224715,-0.38783112,-1.0570312,-0.55528736,-0.6155897,-0.4666652,-0.6299226,-0.4619085727678704,-0.6248143290004065
H2OC (mmol/mol),2020-12-22,2020-12-18,-0.6245681,-0.48768103,-0.7938546,-0.9072455,-0.40010566,-0.9657887,-0.53597546,-0.5742537,-0.56021976,-0.633433,0.40363817619171927,-0.7734014365529068
H2OC (mmol/mol),2020-12-23,2020-12-18,-0.55305064,-0.4831957,-0.8649911,-0.8828194,-0.41290033,-0.7451463,-0.51785195,-0.42028075,-0.8211388,-0.595347,0.5469491729805979,-0.9651623826254276
H2OC (mmol/mol),2020-12-24,2020-12-18,-0.6062452,-0.4828614,-0.40131497,-0.87944424,-0.43483615,-0.11676809,-0.5550059,-0.58467126,-0.24740747,-0.61640847,-0.3059753758925692,-0.8538037616410201
H2OC (mmol/mol),2020-12-25,2020-12-18,-0.74317324,-0.49004608,-0.795387,-0.8938127,-0.4238068,-0.3709252,-0.5414718,-0.68040246,-0.5601702,-0.66086024,-0.8310962524843113,-0.8287461264509576
H2OC (mmol/mol),2020-12-26,2020-12-18,-0.713814,-0.515545,-0.22325212,-0.8583813,-0.42238396,-0.52623796,-0.55748576,-0.75480616,-0.6441298,-0.68977034,-1.04186053555501,-0.5829478453598674
H2OC (mmol/mol),2020-12-27,2020-12-18,-0.6221813,-0.526168,-0.06711331,-0.75674033,-0.46902394,-0.5774641,-0.5777046,-0.64005065,-0.75751543,-0.62104154,-1.2408741884589403,-0.056208338917338625
H2OC (mmol/mol),2020-12-28,2020-12-18,-0.5939893,-0.6188729,-0.41187018,-0.7755618,-0.61898446,-0.82900536,-0.56140333,-0.6786179,-0.9568933,-0.59857345,-0.9388752112987101,-0.2418682955522791
H2OC (mmol/mol),2020-12-29,2020-12-18,-0.66215265,-0.6444373,-0.6803428,-0.71792316,-0.66753304,-0.6729632,-0.5599753,-0.61194146,-0.6000286,-0.6452773,-0.7481103451343656,-0.9342839054719596
