unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
SWDR (W/m�)_fold0_x0,2020-12-05,2020-12-04,-0.53794104,-0.53828144,-0.52616173,-0.5511164,-0.48849547,-0.63306445,-0.5485392,-0.46230987,-0.5505512,-0.62654996,-0.5991400597162324,-0.4311250435777492,0
SWDR (W/m�)_fold0_x0,2020-12-06,2020-12-04,-0.4230338,-0.5417803,-0.5151918,-0.550918,-0.45317432,-0.660726,-0.5289273,-0.46004263,-0.53534466,-0.58205736,-0.6038876164265815,-0.39442683363066283,0
SWDR (W/m�)_fold0_x0,2020-12-07,2020-12-04,-0.46217334,-0.52906,-0.5190133,-0.54496247,-0.4169095,-0.68009263,-0.58497965,-0.45723966,-0.5301333,-0.60114205,-0.5653781376484607,-0.6243142670974572,0
SWDR (W/m�)_fold0_x0,2020-12-08,2020-12-04,-0.5051129,-0.61468196,-0.5853493,-0.5542598,-0.4204839,-0.66137534,-0.54935056,-0.4644339,-0.5346513,-0.60946214,-0.4808428939109974,-0.6390943964787329,0
SWDR (W/m�)_fold0_x0,2020-12-09,2020-12-04,-0.49894628,-0.6462701,-0.49870652,-0.54569495,-0.42956835,-0.7044882,-0.53180426,-0.45743516,-0.5355997,-0.6004579,-0.6157504007109745,-0.5397970550015058,0
SWDR (W/m�)_fold0_x0,2020-12-10,2020-12-04,-0.54258066,-0.6915885,-0.5520047,-0.5360928,-0.38568595,-0.6741643,-0.5702509,-0.479277,-0.5395293,-0.6212792,-0.6455049358691712,-0.5927266119965178,0
SWDR (W/m�)_fold0_x0,2020-12-11,2020-12-04,-0.5543514,-0.646302,-0.5766971,-0.5401818,-0.36974698,-0.564394,-0.5435084,-0.49401468,-0.54336727,-0.59702843,-0.6351317978400103,-0.5879403745067961,0
SWDR (W/m�)_fold0_x0,2020-12-12,2020-12-04,-0.56960106,-0.5343778,-0.5507373,-0.53588766,-0.37575167,-0.60256416,-0.5416495,-0.47547385,-0.5432065,-0.62253094,-0.5841234831648074,-0.6317814025139123,0
SWDR (W/m�)_fold0_x0,2020-12-13,2020-12-04,-0.56669205,-0.5652252,-0.55509,-0.53648674,-0.38181156,-0.62976134,-0.60331357,-0.45684692,-0.53979427,-0.5140123,-0.6076224928829833,-0.6354909765056119,0
SWDR (W/m�)_fold0_x0,2020-12-14,2020-12-04,-0.55395967,-0.5876228,-0.53892815,-0.54333216,-0.3877393,-0.629238,-0.57022095,-0.4531455,-0.5399816,-0.47932807,-0.4935173928963574,-0.608186708762552,0
SWDR (W/m�)_fold0_x0,2020-12-15,2020-12-04,-0.52818936,-0.57600117,-0.59511137,-0.53769135,-0.3848932,-0.70634884,-0.5831722,-0.45803207,-0.5378516,-0.5915757,-0.6030427467718666,-0.4876873560294338,0
SWDR (W/m�)_fold0_x0,2020-12-16,2020-12-04,-0.5274293,-0.56985015,-0.5533556,-0.5419986,-0.3617369,-0.6873307,-0.54372805,-0.47260544,-0.54773617,-0.541448,-0.49926105238377994,-0.5047452888997719,0
