unique_id,ds,cutoff,DLinear,DeepNPTS,KAN,MLP,NBEATS,NHITS,NLinear,PatchTST,TFT,TiDE,y,SeasonalNaive
H2OC (mmol/mol),2020-12-19,2020-12-18,-0.6030127,-0.56935173,-0.58559287,-0.8707421,-0.44910485,-0.83742905,-0.59294695,-0.76307976,-0.5269508,-0.5687756,-0.600846156209912,-1.101778028921377
H2OC (mmol/mol),2020-12-20,2020-12-18,-0.54771554,-0.53731537,-0.727914,-0.887842,-0.43422604,-0.83911467,-0.5601543,-0.7330425,-0.20971021,-0.59993064,-0.7152397081645446,-1.2188203567419724
H2OC (mmol/mol),2020-12-21,2020-12-18,-0.6513312,-0.5515414,-0.73353267,-0.8952376,-0.38783112,-0.8376717,-0.58349305,-0.6492592,-0.4666652,-0.6299226,-0.4619085727678704,-0.6248143290004065
H2OC (mmol/mol),2020-12-22,2020-12-18,-0.6245681,-0.5307197,-0.6915678,-0.7889675,-0.40010566,-0.8408116,-0.5508382,-0.5119412,-0.56021976,-0.633433,0.40363817619171927,-0.7734014365529068
H2OC (mmol/mol),2020-12-23,2020-12-18,-0.55305064,-0.52059126,-0.6901792,-0.73957205,-0.41290033,-0.84791064,-0.51152295,-0.62457246,-0.8211388,-0.595347,0.5469491729805979,-0.9651623826254276
H2OC (mmol/mol),2020-12-24,2020-12-18,-0.6062452,-0.5641126,-0.7044401,-0.629591,-0.43483615,-0.8593347,-0.542818,-0.6108802,-0.24740747,-0.61640847,-0.3059753758925692,-0.8538037616410201
H2OC (mmol/mol),2020-12-25,2020-12-18,-0.74317324,-0.53043854,-0.654812,-0.644006,-0.4238068,-0.8678616,-0.54108006,-0.65664154,-0.5601702,-0.66086024,-0.8310962524843113,-0.8287461264509576
H2OC (mmol/mol),2020-12-26,2020-12-18,-0.713814,-0.55847615,-0.64320076,-0.70459086,-0.42238396,-0.8626437,-0.5482103,-0.66892296,-0.6441298,-0.68977034,-1.04186053555501,-0.5829478453598674
H2OC (mmol/mol),2020-12-27,2020-12-18,-0.6221813,-0.5678907,-0.7036223,-0.67411137,-0.46902394,-0.85230386,-0.57711476,-0.6087514,-0.75751543,-0.62104154,-1.2408741884589403,-0.056208338917338625
H2OC (mmol/mol),2020-12-28,2020-12-18,-0.5939893,-0.5712372,-0.7093288,-0.71906936,-0.61898446,-0.8249094,-0.5220632,-0.61524475,-0.9568933,-0.59857345,-0.9388752112987101,-0.2418682955522791
H2OC (mmol/mol),2020-12-29,2020-12-18,-0.66215265,-0.5508032,-0.7327771,-0.7390156,-0.66753304,-0.83896446,-0.5561005,-0.63178724,-0.6000286,-0.6452773,-0.7481103451343656,-0.9342839054719596
H2OC (mmol/mol),2020-12-30,2020-12-18,-0.6121409,-0.5785438,-0.72700965,-0.75453275,-0.5995738,-0.850271,-0.578833,-0.5219264,-0.7401799,-0.7034877,-0.7371845936415558,-0.976477227832369
H2OC (mmol/mol),2020-12-31,2020-12-18,-0.5757783,-0.53374696,-0.66335434,-0.82715696,-0.5592393,-0.8466921,-0.5297894,-0.46889117,-0.7138695,-0.6622285,-0.8963083589727346,-0.6784470065562791
H2OC (mmol/mol),2021-01-01,2020-12-18,-0.6412355,-0.5362832,-0.5823993,-0.7982223,-0.6510413,-0.8367465,-0.5369501,-0.47172648,-0.90407985,-0.6100448,-0.8960126477499947,-0.6948823250411896
OT,2020-12-19,2020-12-18,0.07785928,0.090404406,0.08572963,0.08126773,0.08429836,0.053069204,0.09267457,0.10306893,0.08259374,0.08512977,0.06083352551970732,0.062237962104810675
OT,2020-12-20,2020-12-18,0.0998312,0.094090894,0.09063251,0.061537266,0.10045783,0.051383644,0.089587376,0.10321295,0.08870387,0.09951854,0.0715208451290114,0.08652722366994825
OT,2020-12-21,2020-12-18,0.10204386,0.091652624,0.10962474,0.07697079,0.06903444,0.05282656,0.090401016,0.093120016,0.09752152,0.098597944,0.07805550171192147,0.04627388381131372
OT,2020-12-22,2020-12-18,0.11370985,0.09400035,0.10253963,0.09710768,0.046843417,0.049686655,0.09007772,0.04039474,0.100067586,0.09694863,0.03505482076570309,0.024172166832857837
OT,2020-12-23,2020-12-18,0.09432397,0.09218551,0.09487161,0.08168466,0.08780739,0.042587653,0.09151943,0.055768482,0.11627045,0.09193446,0.06242694717748306,0.02312857512282764
OT,2020-12-24,2020-12-18,0.09546992,0.09168924,0.09683801,0.10067906,0.078773834,0.03116355,0.088541,0.03190411,0.1263789,0.08762413,0.028771566691795092,0.055765685014500015
OT,2020-12-25,2020-12-18,0.092523366,0.093992986,0.09797566,0.10932262,0.08742145,0.022636637,0.09078182,0.054928184,0.13618135,0.08911318,0.03276145111523813,0.06304188856640901
