unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
SWDR (W/m�)_fold0_x0,2020-12-05,2020-12-04,-0.5496531,-0.58243155,-0.5274683,-0.55326277,-0.5290071,-0.5831276,-0.56101435,-0.5609498,-0.5451555,-0.5396887,-0.5991400597162324,-0.4311250435777492,0
SWDR (W/m�)_fold0_x0,2020-12-06,2020-12-04,-0.5236977,-0.52706105,-0.52150583,-0.5550202,-0.4910144,-0.5609161,-0.5580486,-0.5626122,-0.5276819,-0.5435508,-0.6038876164265815,-0.39442683363066283,0
SWDR (W/m�)_fold0_x0,2020-12-07,2020-12-04,-0.52092636,-0.5914362,-0.5107688,-0.5450052,-0.48522443,-0.6155785,-0.5738582,-0.558078,-0.52604,-0.5217627,-0.5653781376484607,-0.6243142670974572,0
SWDR (W/m�)_fold0_x0,2020-12-08,2020-12-04,-0.5205837,-0.5669332,-0.55673313,-0.54806155,-0.48023388,-0.63634694,-0.5396704,-0.55778515,-0.5413777,-0.522365,-0.4808428939109974,-0.6390943964787329,0
SWDR (W/m�)_fold0_x0,2020-12-09,2020-12-04,-0.5205379,-0.5224608,-0.5083911,-0.5423294,-0.44278145,-0.58329064,-0.54428136,-0.55297875,-0.53798395,-0.5286536,-0.6157504007109745,-0.5397970550015058,0
SWDR (W/m�)_fold0_x0,2020-12-10,2020-12-04,-0.52053165,-0.4559693,-0.5426587,-0.55791,-0.43491986,-0.5261601,-0.57772225,-0.56628704,-0.5321511,-0.53619653,-0.6455049358691712,-0.5927266119965178,0
SWDR (W/m�)_fold0_x0,2020-12-11,2020-12-04,-0.5205308,-0.56981844,-0.56898576,-0.55678326,-0.4076634,-0.5220286,-0.5519501,-0.56519693,-0.54691094,-0.5502203,-0.6351317978400103,-0.5879403745067961,0
SWDR (W/m�)_fold0_x0,2020-12-12,2020-12-04,-0.5205307,-0.5526124,-0.5266076,-0.54912007,-0.42150468,-0.61181927,-0.5393658,-0.5661387,-0.5408997,-0.54437804,-0.5841234831648074,-0.6317814025139123,0
SWDR (W/m�)_fold0_x0,2020-12-13,2020-12-04,-0.5205307,-0.50503224,-0.5450816,-0.5498636,-0.4257847,-0.6450095,-0.6085261,-0.55765325,-0.526567,-0.5531143,-0.6076224928829833,-0.6354909765056119,0
SWDR (W/m�)_fold0_x0,2020-12-14,2020-12-04,-0.5205307,-0.6705323,-0.55507016,-0.55088526,-0.4491856,-0.62512445,-0.57946587,-0.5577092,-0.539859,-0.54502225,-0.4935173928963574,-0.608186708762552,0
SWDR (W/m�)_fold0_x0,2020-12-15,2020-12-04,-0.5205307,-0.5467219,-0.58587,-0.5453827,-0.44664967,-0.649938,-0.5633871,-0.5650586,-0.5269318,-0.5469033,-0.6030427467718666,-0.4876873560294338,0
SWDR (W/m�)_fold0_x0,2020-12-16,2020-12-04,-0.5205307,-0.4312597,-0.5449295,-0.5441551,-0.41382882,-0.6134182,-0.5495496,-0.56578016,-0.53778315,-0.5366326,-0.49926105238377994,-0.5047452888997719,0
SWDR (W/m�)_fold0_x0,2020-12-17,2020-12-04,-0.5205307,-0.46418232,-0.52791196,-0.5435967,-0.38929805,-0.6318524,-0.5630512,-0.5589162,-0.5287262,-0.5215117,-0.5461616427893814,-0.5656096406588405,0
SWDR (W/m�)_fold0_x0,2020-12-18,2020-12-04,-0.5205307,-0.5125608,-0.5132991,-0.5373459,-0.36731505,-0.57826465,-0.5081965,-0.5641484,-0.5227511,-0.5314051,-0.48083794975122796,-0.5377309778837454,0
T (degC)_fold0_x1,2020-12-05,2020-12-04,-1.3130667,-1.5282114,-1.2869514,-1.2942638,-1.2419803,-1.7047291,-1.3319323,-1.3463879,-1.3291551,-1.329231,-1.2686269949042028,-1.6185871529877782,0
T (degC)_fold0_x1,2020-12-06,2020-12-04,-1.1552962,-1.1769294,-1.2161266,-1.302708,-1.1901226,-1.187624,-1.2841825,-1.3480501,-1.335828,-1.325546,-1.342548262975418,-1.6888247776123284,0
