unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000002_fold0_x0,2004-01-31,2003-12-31,85232.984,63390.46,61605.06,63154.285,66620.01,58823.957,62104.05,71947.64,73321.07,60611.78,63632.0,80860.0,0
T000002_fold0_x0,2004-02-29,2003-12-31,90455.484,55779.566,47946.543,50310.086,60861.332,58962.285,52012.188,49426.688,64882.305,56125.555,69411.0,61444.0,0
T000002_fold0_x0,2004-03-31,2003-12-31,72471.13,61978.03,67453.375,66797.82,73930.3,67109.016,65595.56,64227.855,60202.152,73119.57,86238.0,70274.0,0
T000002_fold0_x0,2004-04-30,2003-12-31,72581.62,45017.6,27073.38,32153.238,74130.74,51266.617,37914.75,65888.59,23355.707,53427.492,89248.0,13276.0,0
T000002_fold0_x0,2004-05-31,2003-12-31,72228.87,39491.906,27946.635,25248.71,72501.02,49184.79,35419.508,27504.098,18328.648,47643.332,80577.0,8766.0,0
T000002_fold0_x0,2004-06-30,2003-12-31,70510.69,47076.254,39446.01,37940.15,73164.02,61511.523,48516.52,53898.582,26363.29,55755.36,93187.0,20262.0,0
T000002_fold0_x0,2004-07-31,2003-12-31,74505.76,56667.54,52832.08,54883.58,70716.5,77478.18,62574.695,65395.598,50983.28,60156.445,96569.0,49302.0,0
T000002_fold0_x0,2004-08-31,2003-12-31,72796.516,67771.16,62708.29,60232.098,69727.34,75042.17,65963.016,75331.164,68374.336,66321.09,83880.0,67804.0,0
T000002_fold0_x0,2004-09-30,2003-12-31,75190.93,67423.85,66638.59,61460.17,67989.61,73478.17,62311.027,73930.88,73523.92,56428.68,83259.0,71877.0,0
T000002_fold0_x0,2004-10-31,2003-12-31,83488.83,88562.7,94243.11,81877.72,87483.79,88687.43,75131.18,85709.15,84479.984,65134.703,114520.0,88143.0,0
T000002_fold0_x0,2004-11-30,2003-12-31,82667.75,87815.5,89605.66,79016.09,86207.93,102909.47,73970.61,79514.97,80581.625,65867.22,102524.0,81385.0,0
T000002_fold0_x0,2004-12-31,2003-12-31,80589.98,76166.59,71710.98,69218.12,74922.59,74503.336,62911.742,73473.63,70398.125,62871.85,88651.0,70398.0,0
T000004_fold0_x1,2004-01-31,2003-12-31,28551.338,26786.33,27275.924,27134.797,29489.697,23266.178,27573.543,30035.902,30620.86,28232.324,29411.0,33734.0,0
T000004_fold0_x1,2004-02-29,2003-12-31,28779.72,21042.48,19149.49,19690.771,21801.906,19960.994,20049.367,18357.467,24423.686,22001.947,26341.0,23513.0,0
T000004_fold0_x1,2004-03-31,2003-12-31,25331.328,21830.922,24519.65,24600.154,25950.52,22879.15,23599.854,23962.955,23165.479,24050.861,30827.0,26288.0,0
T000004_fold0_x1,2004-04-30,2003-12-31,22154.027,15741.935,10934.618,12696.981,26649.635,20377.04,14499.183,22757.15,8527.652,19704.67,33259.0,5577.0,0
T000004_fold0_x1,2004-05-31,2003-12-31,21223.135,13697.658,11420.603,9905.169,25160.314,16628.447,12530.278,9779.583,6205.0195,16909.85,31008.0,4301.0,0
T000004_fold0_x1,2004-06-30,2003-12-31,22808.572,16308.262,14544.072,13577.538,23311.992,20387.934,15337.999,18480.422,10634.021,18434.293,34999.0,9351.0,0
T000004_fold0_x1,2004-07-31,2003-12-31,26862.969,19094.715,18792.793,18465.209,21212.066,24995.662,19712.06,21223.27,17782.975,22596.13,34627.0,18267.0,0
T000004_fold0_x1,2004-08-31,2003-12-31,26964.564,21062.34,19447.197,18678.652,21612.58,24315.69,19965.846,22205.213,20471.957,21842.21,28247.0,18919.0,0
T000004_fold0_x1,2004-09-30,2003-12-31,27205.002,27006.945,27239.305,24320.832,27958.586,25999.902,25608.316,28288.139,27609.156,24175.512,37291.0,28201.0,0
T000004_fold0_x1,2004-10-31,2003-12-31,31637.092,29787.95,31146.08,27154.488,30150.645,29964.355,25347.611,27823.07,29429.035,24335.475,40748.0,30063.0,0
T000004_fold0_x1,2004-11-30,2003-12-31,36604.22,28745.049,29019.064,25226.074,28124.166,32818.055,24091.898,27834.398,27335.096,23697.314,38102.0,27044.0,0
T000004_fold0_x1,2004-12-31,2003-12-31,32158.963,30618.82,30545.385,29504.723,31215.738,29320.168,26886.645,30612.535,28995.854,28691.898,44080.0,28996.0,0
T000008_fold0_x2,2004-01-31,2003-12-31,42774.562,38489.47,41857.96,41905.215,41808.727,37401.207,40798.816,46272.516,43262.766,38947.223,37006.0,49274.0,0
T000008_fold0_x2,2004-02-29,2003-12-31,44884.867,34560.523,36085.965,37538.082,36368.344,37958.777,37225.45,31490.877,38559.617,37763.867,37513.0,40655.0,0
T000008_fold0_x2,2004-03-31,2003-12-31,36175.637,28970.904,31175.84,30121.227,32964.645,31777.232,28879.262,32032.996,28534.748,31841.705,37622.0,30866.0,0
T000008_fold0_x2,2004-04-30,2003-12-31,30037.242,20366.746,15379.162,15851.842,34378.066,26098.703,17162.383,31050.18,10234.311,23788.254,44722.0,5929.0,0
T000008_fold0_x2,2004-05-31,2003-12-31,28809.568,17302.68,14624.915,12077.469,31642.492,23464.152,16596.715,14866.652,9191.648,24767.475,38076.0,6822.0,0
T000008_fold0_x2,2004-06-30,2003-12-31,31874.21,20452.91,19393.963,18762.527,30093.227,24965.95,22035.914,22733.516,16941.463,25235.316,41469.0,14849.0,0
T000008_fold0_x2,2004-07-31,2003-12-31,38305.887,29644.748,30856.809,31021.291,34969.176,34819.95,32475.7,30617.346,29951.738,34674.33,49663.0,30292.0,0
T000008_fold0_x2,2004-08-31,2003-12-31,38803.023,39322.965,40933.67,37967.633,43113.434,40383.312,39677.777,41234.375,39900.35,40703.83,52703.0,41290.0,0
T000008_fold0_x2,2004-09-30,2003-12-31,37325.14,32921.082,32796.574,31095.73,33694.234,34957.305,32211.703,33978.797,34470.14,33414.78,44670.0,33081.0,0
T000008_fold0_x2,2004-10-31,2003-12-31,41969.39,36541.855,38711.9,34750.83,37894.426,32254.828,33304.613,36773.41,37295.555,34885.08,48786.0,37100.0,0
T000008_fold0_x2,2004-11-30,2003-12-31,48248.87,42052.81,43583.383,42116.406,43454.305,44246.168,40022.773,40393.656,40876.617,37539.117,55822.0,41677.0,0
T000008_fold0_x2,2004-12-31,2003-12-31,42711.59,40114.117,38376.15,39372.2,40786.652,39836.52,35902.883,39373.89,36341.26,39876.863,51138.0,36341.0,0
T000011_fold0_x3,2004-01-31,2003-12-31,21942.99,16192.35,15832.32,16678.04,15719.811,14425.981,16011.056,17867.836,24596.125,16160.726,19380.0,19302.0,0
T000011_fold0_x3,2004-02-29,2003-12-31,22796.133,14991.791,12202.498,12478.676,15610.238,13624.779,13470.391,12240.926,19758.574,13397.707,15897.0,16406.0,0
T000011_fold0_x3,2004-03-31,2003-12-31,22076.621,16013.919,17908.014,16699.492,21421.479,15993.115,17869.143,16559.291,18001.793,18422.445,25831.0,17873.0,0
T000011_fold0_x3,2004-04-30,2003-12-31,19998.531,13594.306,10228.45,11495.936,22668.377,13087.861,13109.682,23162.549,7089.1943,17626.24,31544.0,1775.0,0
T000011_fold0_x3,2004-05-31,2003-12-31,17751.242,10822.967,9125.858,6817.088,20111.984,9491.522,10692.0205,6616.077,7451.6924,14138.742,25794.0,2315.0,0
T000011_fold0_x3,2004-06-30,2003-12-31,16953.938,10454.621,6938.296,7868.621,16627.52,13996.814,10988.856,11347.942,7950.8643,13801.865,21450.0,4549.0,0
