unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000006_fold0_x0,2004-01-31,2003-12-31,11826.603,8924.652,8027.7,8658.919,9140.699,10073.688,8280.613,9554.204,11184.0,7886.2495,8716.0,11184.0,0
T000006_fold0_x0,2004-02-29,2003-12-31,14250.638,8741.426,7527.8203,9821.667,10874.034,9819.461,10038.153,10717.142,11038.0,9052.678,12866.0,11038.0,0
T000006_fold0_x0,2004-03-31,2003-12-31,12248.717,12645.046,12016.863,14053.565,14272.945,10023.83,13250.827,13734.119,16003.0,13776.769,15278.0,16003.0,0
T000006_fold0_x0,2004-04-30,2003-12-31,10533.023,8135.994,8048.457,7104.3154,13501.631,9476.0625,7321.3276,15533.82,2247.0,8444.461,16094.0,2247.0,0
T000006_fold0_x0,2004-05-31,2003-12-31,11874.579,5978.484,3714.1023,4618.887,11476.146,8818.397,6368.7847,10820.179,1283.0,5816.115,12604.0,1283.0,0
T000006_fold0_x0,2004-06-30,2003-12-31,11665.311,7517.398,5587.25,5014.201,10036.885,9235.079,6267.729,5787.8086,3124.0,6319.1245,11279.0,3124.0,0
T000006_fold0_x0,2004-07-31,2003-12-31,12107.49,8969.512,6508.7217,7722.801,9732.401,9371.289,7820.6904,9557.894,7251.0005,6576.7437,11900.0,7251.0,0
T000006_fold0_x0,2004-08-31,2003-12-31,12224.378,10593.541,9791.524,8856.147,10330.291,9924.101,8769.011,10483.336,9431.0,7511.8047,13052.0,9431.0,0
T000006_fold0_x0,2004-09-30,2003-12-31,12785.914,11977.876,12750.183,11589.271,12670.663,12961.698,12090.481,13044.395,11782.0,8570.346,14109.0,11782.0,0
T000006_fold0_x0,2004-10-31,2003-12-31,17136.75,17491.936,18061.936,16828.092,18566.604,16553.139,17026.906,17755.617,17885.0,13627.808,22453.0,17885.0,0
T000006_fold0_x0,2004-11-30,2003-12-31,16355.256,16287.5205,16910.562,15160.428,15594.98,13224.819,15856.047,13294.8545,15336.0,13019.583,18568.0,15336.0,0
T000006_fold0_x0,2004-12-31,2003-12-31,11173.585,11623.668,11112.566,9983.656,10893.249,10708.243,8559.024,11466.603,10402.0,5924.8784,12742.0,10402.0,0
T000009_fold0_x1,2004-01-31,2003-12-31,24315.912,18848.906,14868.941,18184.262,18446.291,22584.66,17258.805,19173.133,22773.0,19568.709,16766.0,22773.0,0
T000009_fold0_x1,2004-02-29,2003-12-31,25764.809,18580.805,16524.477,19316.965,19858.871,21898.0,19399.588,22148.14,22877.0,20358.861,21313.0,22877.0,0
T000009_fold0_x1,2004-03-31,2003-12-31,21602.6,22616.033,19403.12,22912.281,26175.754,22038.172,21381.602,23999.094,22606.0,18916.016,26050.0,22606.0,0
T000009_fold0_x1,2004-04-30,2003-12-31,21969.883,15472.721,14461.862,12084.39,26053.924,20029.496,14881.262,25397.336,4553.0,16177.177,31636.0,4553.0,0
T000009_fold0_x1,2004-05-31,2003-12-31,25055.688,15891.568,13826.244,13223.283,27475.715,17759.428,16750.398,28902.822,4063.0,15102.362,30150.0,4063.0,0
T000009_fold0_x1,2004-06-30,2003-12-31,25500.686,17596.043,11584.327,14907.557,22744.812,22282.139,16893.25,13212.601,6851.0,16900.246,30721.0,6851.0,0
T000009_fold0_x1,2004-07-31,2003-12-31,26881.408,20510.049,16905.559,18956.633,20216.172,26039.352,19476.133,19629.559,16654.0,17559.74,27917.0,16654.0,0
T000009_fold0_x1,2004-08-31,2003-12-31,28733.701,26886.5,26809.373,23687.11,26026.408,27350.885,23536.906,26852.098,26163.0,22858.176,27909.0,26163.0,0
T000009_fold0_x1,2004-09-30,2003-12-31,29508.79,27097.492,27898.328,24962.96,26017.42,28036.004,24242.936,24067.09,28433.0,19546.602,27280.0,28433.0,0
T000009_fold0_x1,2004-10-31,2003-12-31,30104.615,27123.46,26043.012,24006.828,25795.658,30099.594,24531.018,27025.686,27116.0,22074.588,34167.0,27116.0,0
T000009_fold0_x1,2004-11-30,2003-12-31,29806.748,27391.18,29847.236,23836.797,26431.332,25254.037,25311.734,30905.254,24101.0,20788.691,29644.0,24101.0,0
T000009_fold0_x1,2004-12-31,2003-12-31,28153.236,29520.633,30264.484,27822.492,27737.324,24052.848,26353.555,28453.674,28070.0,20213.328,33120.0,28070.0,0
T000011_fold0_x2,2004-01-31,2003-12-31,21367.445,15755.883,14760.456,15914.368,15693.316,21020.03,15769.593,16588.01,19302.0,15567.757,19380.0,19302.0,0
T000011_fold0_x2,2004-02-29,2003-12-31,19415.857,13879.09,10194.221,13091.753,15610.852,16917.707,13727.816,17205.816,16406.0,16733.465,15897.0,16406.0,0
T000011_fold0_x2,2004-03-31,2003-12-31,17971.4,15441.802,14278.795,16541.266,21032.3,17018.19,16978.246,19138.793,17873.0,18117.102,25831.0,17873.0,0
T000011_fold0_x2,2004-04-30,2003-12-31,17719.531,12954.601,12649.909,11696.123,22637.75,15342.73,13093.245,25086.438,1775.0,15730.081,31544.0,1775.0,0
T000011_fold0_x2,2004-05-31,2003-12-31,19166.135,10327.811,8344.696,7440.757,19588.299,11808.32,11972.039,19891.162,2315.0,11412.127,25794.0,2315.0,0
T000011_fold0_x2,2004-06-30,2003-12-31,19244.088,11094.436,8463.737,7792.8438,16863.783,15504.928,11101.946,9546.621,4549.0,10926.794,21450.0,4549.0,0
T000011_fold0_x2,2004-07-31,2003-12-31,19251.295,16416.61,13804.236,14996.156,17469.084,20413.758,16104.479,16539.744,13817.0,15392.246,31933.0,13817.0,0
T000011_fold0_x2,2004-08-31,2003-12-31,20313.2,19292.238,19556.96,15716.293,18293.174,21966.434,15843.749,18871.178,17564.0,15767.398,26861.0,17564.0,0
T000011_fold0_x2,2004-09-30,2003-12-31,21835.307,18367.445,18908.314,16028.34,18055.049,21972.307,16233.67,16666.104,18582.0,15042.8125,18603.0,18582.0,0
T000011_fold0_x2,2004-10-31,2003-12-31,23381.842,23161.045,23166.986,20521.348,22676.916,24048.162,21497.637,24316.396,24889.0,19130.598,34432.0,24889.0,0
T000011_fold0_x2,2004-11-30,2003-12-31,27102.715,22617.564,22477.746,18800.096,21106.408,23285.738,19328.05,27489.736,18295.0,18540.486,23957.0,18295.0,0
T000011_fold0_x2,2004-12-31,2003-12-31,27286.953,29510.953,32435.889,30317.242,28004.928,25615.203,27758.113,29989.672,30031.0,25711.707,41228.0,30031.0,0
T000015_fold0_x3,2004-01-31,2003-12-31,12621.06,11575.824,12272.995,12375.341,13147.012,13268.253,12573.706,12776.497,13421.5,13005.409,12628.8,13421.5,0
T000015_fold0_x3,2004-02-29,2003-12-31,13166.161,11140.017,12220.058,12732.939,13253.145,12454.476,13006.796,12960.925,13421.5,13400.761,12944.52,13421.5,0
