unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000000_fold0_x0,1991-08-31,1991-07-31,4988.7275,6287.293,6037.255,5876.5977,6315.1973,6319.4907,6458.168,6439.4253,5852.0557,5567.4443,6483.14,6053.7042,0
T000000_fold0_x0,1991-09-30,1991-07-31,4120.7656,4246.1636,4291.285,4246.2246,4016.5034,4362.295,4283.4307,4221.6675,3983.9917,4377.051,4063.5027,3878.1285,0
T000000_fold0_x0,1991-10-31,1991-07-31,2797.5696,3057.815,2943.741,2916.0762,2901.9153,2856.8262,2962.999,2988.8066,3085.278,2912.6323,2900.23,2806.5149,0
T000000_fold0_x0,1991-11-30,1991-07-31,2165.2441,2119.2402,1773.1803,1649.9817,1717.3772,1621.7341,2037.4594,2033.7349,2101.5586,2032.7915,1907.095,1735.5382,0
T000000_fold0_x0,1991-12-31,1991-07-31,1838.8854,2006.3132,2485.3538,2151.6594,2118.557,1989.0345,1891.3536,2101.2935,2234.257,1995.2898,2338.51,2128.92,0
T000000_fold0_x0,1992-01-31,1991-07-31,1895.6085,1720.346,1783.2001,1676.3959,1890.3474,1808.8165,1798.7787,2021.167,1807.584,1818.07,1787.1651,1608.0142,0
T000000_fold0_x0,1992-02-29,1991-07-31,2372.0386,1740.4647,1893.6304,1661.902,1711.694,1442.7384,1627.3363,1834.4907,1662.7349,1898.9408,1699.6451,1441.3301,0
T000000_fold0_x0,1992-03-31,1991-07-31,2163.2368,2216.4517,1976.2677,1864.576,1952.5111,1979.5919,2197.3604,2091.3027,2193.0847,2014.5658,1979.1052,2068.235,0
T000000_fold0_x0,1992-04-30,1991-07-31,2184.2046,2489.9653,2300.9858,2267.5503,2340.2163,2497.2397,2805.7776,2592.5837,2425.1375,2280.8328,2824.26,2207.6102,0
T000000_fold0_x0,1992-05-31,1991-07-31,2716.1702,3037.5955,3086.4407,3052.633,3071.9211,3174.5964,3245.472,3223.3457,3067.2864,2965.9463,3076.505,2918.41,0
T000000_fold0_x0,1992-06-30,1991-07-31,4005.9517,3962.766,3662.3403,3778.7512,3816.2156,3693.8613,3924.3113,4289.7256,3758.354,4170.68,3402.585,3400.8178,0
T000000_fold0_x0,1992-07-31,1991-07-31,6979.908,6434.3706,6858.4756,6719.1826,6179.9404,6367.922,6408.381,6359.454,5931.1807,6526.2666,5985.83,6048.7421,0
T000012_fold0_x1,2004-01-31,2003-12-31,188997.69,209110.84,143222.11,159028.72,169589.25,188537.19,167624.58,185384.75,188247.62,193550.12,170348.0,200258.0,0
T000012_fold0_x1,2004-02-29,2003-12-31,189305.2,216906.6,144830.0,154385.81,167110.72,180892.94,170111.3,142200.6,185480.72,207115.8,145026.0,192557.0,0
