unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000000_fold0_x0,1991-08-31,1991-07-31,4889.118,6305.0156,6439.3877,6320.509,6070.964,4577.4634,6225.533,6194.919,5840.201,5686.377,6483.14,6053.7042,0
T000000_fold0_x0,1991-09-30,1991-07-31,4464.3564,4028.1157,4313.9805,3946.1643,4046.7458,4442.5205,4237.433,4014.6348,3992.3086,4130.5967,4063.5027,3878.1285,0
T000000_fold0_x0,1991-10-31,1991-07-31,3078.8672,2997.7905,3187.4692,3027.2073,2965.0342,3312.1628,2917.6057,2791.2822,2938.1797,2928.8054,2900.23,2806.5149,0
T000000_fold0_x0,1991-11-30,1991-07-31,2211.2722,2018.524,1966.1642,1803.5073,2029.9587,2459.4604,2038.9102,2010.8806,2071.081,1831.365,1907.095,1735.5382,0
T000000_fold0_x0,1991-12-31,1991-07-31,1666.1595,2113.647,2528.3318,2095.091,2011.7509,1945.4775,2089.5347,2021.5133,2130.9421,2074.4985,2338.51,2128.92,0
T000000_fold0_x0,1992-01-31,1991-07-31,1582.2522,1902.996,1899.2214,1481.5239,1472.4915,1488.8424,1760.3589,1803.9104,1765.6592,1715.7178,1787.1651,1608.0142,0
T000000_fold0_x0,1992-02-29,1991-07-31,2260.1494,1836.119,1936.8892,1535.1538,1467.5024,1260.9017,1786.5195,1820.5295,1666.1257,1850.4315,1699.6451,1441.3301,0
T000000_fold0_x0,1992-03-31,1991-07-31,2040.9469,2104.3545,2079.468,1974.0457,2114.4636,1178.7533,2354.0525,2106.4863,2195.52,1971.4535,1979.1052,2068.235,0
T000000_fold0_x0,1992-04-30,1991-07-31,2024.9014,2582.829,2368.7727,2587.8357,2354.139,2030.1814,2726.7988,2692.251,2363.9243,2042.3768,2824.26,2207.6102,0
T000000_fold0_x0,1992-05-31,1991-07-31,2937.8804,3029.4324,3268.091,2994.8728,3013.4229,2511.6743,3215.3772,3060.3613,3034.5015,2587.1377,3076.505,2918.41,0
T000000_fold0_x0,1992-06-30,1991-07-31,4517.5015,3813.376,3828.6594,3461.3718,3553.3303,3546.3206,4019.8652,4258.563,3621.3765,3504.4458,3402.585,3400.8178,0
T000000_fold0_x0,1992-07-31,1991-07-31,6806.8887,6133.5757,6631.0093,5771.8467,6104.4556,4038.3079,6364.1665,6221.292,5967.4443,6000.332,5985.83,6048.7421,0
T000001_fold0_x1,1991-08-31,1991-07-31,159339.1,171272.64,183083.44,174061.4,171679.97,145595.02,180352.34,169882.7,162852.62,173438.34,177779.3,170488.7,0
T000001_fold0_x1,1991-09-30,1991-07-31,152582.83,136773.38,152144.94,137096.8,135157.47,145919.81,145029.47,147979.62,134375.1,140074.88,146222.3,132573.7,0
T000001_fold0_x1,1991-10-31,1991-07-31,120340.35,134803.11,155167.94,143010.5,136247.16,135013.28,138530.34,131103.75,129362.94,118665.65,143864.2,132368.2,0
T000001_fold0_x1,1991-11-30,1991-07-31,106463.64,92704.62,100086.35,93980.57,105544.05,121689.555,89130.06,84164.23,105474.59,80699.48,95231.29,102293.9,0
T000001_fold0_x1,1991-12-31,1991-07-31,87283.17,81528.53,99619.41,83296.44,80603.68,103705.85,86505.13,76338.36,86591.9,78627.44,87472.69,77060.46,0
T000001_fold0_x1,1992-01-31,1991-07-31,82873.94,106007.82,109909.22,102926.11,100497.43,84573.125,104549.85,104883.93,101162.51,95211.49,98428.95,105801.7,0
