unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000002_fold0_x0,2004-01-31,2003-12-31,71338.46,64488.207,56541.418,62058.7,66844.21,60774.19,61833.977,71379.66,78079.55,58790.875,63632.0,80860.0,0
T000002_fold0_x0,2004-02-29,2003-12-31,74777.51,59670.703,37429.59,51527.016,61787.664,60621.02,53330.438,53359.336,61444.33,55032.133,69411.0,61444.0,0
T000002_fold0_x0,2004-03-31,2003-12-31,76160.0,67459.14,57611.47,62528.87,73009.51,64362.367,64897.773,64000.727,70274.0,62275.812,86238.0,70274.0,0
T000002_fold0_x0,2004-04-30,2003-12-31,62954.93,54667.14,35511.527,32660.91,75322.9,56464.93,46330.473,78699.055,13276.004,41653.953,89248.0,13276.0,0
T000002_fold0_x0,2004-05-31,2003-12-31,61967.65,50928.375,24851.705,22754.21,72133.305,47817.45,33811.84,57475.195,8766.055,47090.92,80577.0,8766.0,0
T000002_fold0_x0,2004-06-30,2003-12-31,59665.285,57293.312,37829.543,36681.023,73070.75,51743.945,42610.805,34528.906,20262.004,50127.523,93187.0,20262.0,0
T000002_fold0_x0,2004-07-31,2003-12-31,65559.625,66177.74,54344.67,53607.67,72262.97,67380.85,56339.242,66771.67,49302.0,67567.85,96569.0,49302.0,0
T000002_fold0_x0,2004-08-31,2003-12-31,64236.746,71351.54,67612.375,58257.664,68368.875,71801.05,64059.227,71504.98,67804.01,66354.33,83880.0,67804.0,0
T000002_fold0_x0,2004-09-30,2003-12-31,68532.11,72232.2,66113.52,60916.74,67466.87,73282.99,78673.81,62764.586,71876.9,67502.734,83259.0,71877.0,0
T000002_fold0_x0,2004-10-31,2003-12-31,82883.766,85584.22,86020.87,81272.54,87727.84,81105.58,96312.305,86616.07,88143.0,76103.484,114520.0,88143.0,0
T000002_fold0_x0,2004-11-30,2003-12-31,86117.47,82311.44,90251.516,78168.05,87107.234,86897.38,89578.2,79802.42,81384.78,76564.49,102524.0,81385.0,0
T000002_fold0_x0,2004-12-31,2003-12-31,73057.734,75364.54,70678.9,68821.836,76404.414,73130.15,73717.055,76811.75,70398.0,72232.875,88651.0,70398.0,0
T000004_fold0_x1,2004-01-31,2003-12-31,27395.496,26846.879,26075.705,26235.158,29316.596,25432.404,27539.148,29841.928,32279.336,25366.03,29411.0,33734.0,0
T000004_fold0_x1,2004-02-29,2003-12-31,26367.25,21300.938,15888.043,19856.1,22026.92,23990.066,20265.117,19332.984,23513.2,21739.334,26341.0,23513.0,0
T000004_fold0_x1,2004-03-31,2003-12-31,22276.936,23372.182,21685.164,23283.332,26492.004,22458.646,23130.219,23608.117,26288.008,24190.773,30827.0,26288.0,0
T000004_fold0_x1,2004-04-30,2003-12-31,18630.908,19163.258,14366.5625,12757.867,26514.84,19406.14,17776.592,26586.96,5577.002,17062.395,33259.0,5577.0,0
T000004_fold0_x1,2004-05-31,2003-12-31,20223.443,16995.633,10499.613,9300.727,24622.918,17455.309,13753.463,21291.75,4301.0195,18988.283,31008.0,4301.0,0
T000004_fold0_x1,2004-06-30,2003-12-31,20951.861,19460.438,13570.287,13229.661,23435.432,17295.799,15508.339,13412.392,9350.999,17162.64,34999.0,9351.0,0
T000004_fold0_x1,2004-07-31,2003-12-31,24758.213,21454.184,17802.11,18009.406,21667.58,20910.91,18322.963,21242.229,18267.0,23005.51,34627.0,18267.0,0
T000004_fold0_x1,2004-08-31,2003-12-31,24251.822,21987.709,21571.648,18582.012,21165.04,23279.846,21370.127,22173.637,18919.025,22470.812,28247.0,18919.0,0
T000004_fold0_x1,2004-09-30,2003-12-31,26118.748,27816.508,27655.64,24186.797,27948.234,25831.357,29998.293,25442.002,28200.969,25868.188,37291.0,28201.0,0
T000004_fold0_x1,2004-10-31,2003-12-31,30076.07,29115.146,30085.383,27231.639,30290.725,28826.152,31809.959,29302.762,30063.0,24857.61,40748.0,30063.0,0
T000004_fold0_x1,2004-11-30,2003-12-31,30033.36,27097.102,28405.854,24845.79,28056.742,30535.336,29348.965,28041.852,27044.04,25050.125,38102.0,27044.0,0
T000004_fold0_x1,2004-12-31,2003-12-31,29646.56,29851.594,30308.229,29339.81,31556.605,27725.7,30607.555,30879.05,28996.0,29876.676,44080.0,28996.0,0
T000008_fold0_x2,2004-01-31,2003-12-31,35642.27,38667.88,39267.61,40528.344,41356.414,39159.926,39737.125,45750.156,48024.86,37733.527,37006.0,49274.0,0
T000008_fold0_x2,2004-02-29,2003-12-31,46473.957,35383.582,31984.854,37722.918,36269.984,36772.863,37698.1,32525.19,40654.844,35947.2,37513.0,40655.0,0
T000008_fold0_x2,2004-03-31,2003-12-31,37942.344,30169.645,26178.123,27986.875,32600.4,33022.33,29825.48,30479.05,30866.014,30904.992,37622.0,30866.0,0
T000008_fold0_x2,2004-04-30,2003-12-31,32921.734,23802.822,16914.89,15647.598,34048.863,26435.621,24184.8,36208.67,5929.006,22942.08,44722.0,5929.0,0
T000008_fold0_x2,2004-05-31,2003-12-31,33619.266,22460.613,14924.56,11934.346,31922.553,21635.621,16434.896,26242.62,6822.0254,25015.945,38076.0,6822.0,0
T000008_fold0_x2,2004-06-30,2003-12-31,31606.846,25723.188,18980.855,18123.871,30579.332,22369.34,19648.322,17903.578,14849.0,24320.457,41469.0,14849.0,0
T000008_fold0_x2,2004-07-31,2003-12-31,33209.86,32275.186,31498.734,30573.402,35450.824,30184.951,28825.084,31184.025,30292.0,34062.992,49663.0,30292.0,0
T000008_fold0_x2,2004-08-31,2003-12-31,33128.64,40545.336,41764.08,36999.055,43452.105,34591.516,38323.652,40333.3,41289.98,39511.7,52703.0,41290.0,0
T000008_fold0_x2,2004-09-30,2003-12-31,34204.24,33665.6,34828.38,30500.256,34448.633,35893.906,38350.555,30570.293,33081.164,31860.662,44670.0,33081.0,0
T000008_fold0_x2,2004-10-31,2003-12-31,35159.035,36317.027,37220.72,34437.99,38137.25,37472.32,40408.7,36549.16,37100.0,33865.742,48786.0,37100.0,0
T000008_fold0_x2,2004-11-30,2003-12-31,40538.824,39865.047,46132.977,41574.81,43447.707,41161.227,42415.48,40428.773,41676.914,37211.992,55822.0,41677.0,0
T000008_fold0_x2,2004-12-31,2003-12-31,37503.93,39557.832,40516.94,38391.0,40808.137,40987.04,40114.83,39620.86,36341.0,36764.36,51138.0,36341.0,0
T000009_fold0_x3,2004-01-31,2003-12-31,25192.34,20550.94,14927.006,18074.814,18793.816,20714.363,17375.707,22414.844,22802.688,16263.275,16766.0,22773.0,0
T000009_fold0_x3,2004-02-29,2003-12-31,25426.014,21033.645,14324.637,18740.707,20435.197,20612.734,19155.693,18355.111,22877.19,17345.992,21313.0,22877.0,0
T000009_fold0_x3,2004-03-31,2003-12-31,22045.4,24406.578,19401.023,21635.932,25695.768,22357.877,23352.643,22551.791,22606.016,20607.922,26050.0,22606.0,0
T000009_fold0_x3,2004-04-30,2003-12-31,20750.447,20757.006,13037.206,11618.267,26765.055,21217.895,16328.08,24401.502,4553.008,14768.62,31636.0,4553.0,0
T000009_fold0_x3,2004-05-31,2003-12-31,22291.824,21332.951,12320.367,12051.045,27863.938,19061.635,17286.328,26840.477,4063.0215,18085.715,30150.0,4063.0,0
T000009_fold0_x3,2004-06-30,2003-12-31,22625.57,20345.486,10191.146,14097.867,22891.098,19348.602,15925.318,12386.08,6851.0,15432.339,30721.0,6851.0,0
T000009_fold0_x3,2004-07-31,2003-12-31,24965.598,22900.096,16113.119,18089.402,20585.904,24195.06,16940.611,20997.707,16654.0,18129.666,27917.0,16654.0,0
T000009_fold0_x3,2004-08-31,2003-12-31,25025.22,27313.27,26499.07,23620.395,25804.36,26813.096,24376.84,27377.42,26163.008,21823.842,27909.0,26163.0,0
T000009_fold0_x3,2004-09-30,2003-12-31,31907.232,27439.488,26695.205,24313.28,25868.393,27261.312,29641.04,25045.012,28432.969,20405.293,27280.0,28433.0,0
T000009_fold0_x3,2004-10-31,2003-12-31,31731.4,27868.283,26013.908,24573.246,26476.14,27834.332,28718.715,26538.893,27116.0,23001.803,34167.0,27116.0,0
T000009_fold0_x3,2004-11-30,2003-12-31,27003.125,27413.994,29339.797,23572.502,27057.219,28477.252,27671.309,27285.701,24101.08,21935.412,29644.0,24101.0,0
T000009_fold0_x3,2004-12-31,2003-12-31,24426.773,29046.129,27537.156,27395.416,27914.38,24303.807,27455.975,29897.43,28070.0,23590.443,33120.0,28070.0,0
T000010_fold0_x4,2004-01-31,2003-12-31,29580.428,23129.97,12500.94,17495.883,20444.336,26384.484,20347.7,22272.758,25552.27,22646.268,19969.0,25719.0,0
T000010_fold0_x4,2004-02-29,2003-12-31,33038.105,21711.164,12318.448,17767.832,20995.562,20355.188,17268.445,18915.906,24199.615,19237.422,23875.0,24199.0,0
T000010_fold0_x4,2004-03-31,2003-12-31,25450.508,24888.254,17093.465,18584.617,27267.18,23270.633,20870.184,21858.645,21910.055,21213.246,31075.0,21910.0,0
T000010_fold0_x4,2004-04-30,2003-12-31,24050.295,20666.238,5632.928,7953.3613,26293.143,23042.346,14196.471,23991.846,2555.0098,16172.096,30758.0,2555.0,0
T000010_fold0_x4,2004-05-31,2003-12-31,33975.812,21852.344,10163.477,9485.822,26740.197,20101.086,13733.979,25987.021,3205.0352,18574.86,34589.0,3205.0,0
