unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,fold,SeasonalNaive
T000000,1991-08-31,1991-07-31,4317.5605,6199.626,5700.628,5825.6777,6744.9805,6091.164,6252.0537,6767.417,6053.704,5573.3413,6483.14,0,6053.7042
T000000,1991-09-30,1991-07-31,3996.2224,4219.6406,4402.0786,4496.2627,4685.2627,3757.269,4196.046,4157.259,3878.1284,4130.3774,4063.5027,0,3878.1285
T000000,1991-10-31,1991-07-31,2921.778,3044.1013,2923.2297,2828.7864,3578.567,2892.6682,2980.1309,3127.3027,2806.515,2895.3704,2900.23,0,2806.5149
T000000,1991-11-30,1991-07-31,2370.5688,2272.4092,2105.6084,2104.8232,1751.0918,2266.0308,2126.222,2156.3086,1735.5382,1868.4415,1907.095,0,1735.5382
T000000,1991-12-31,1991-07-31,1962.5719,2116.1104,2148.3418,2199.6733,1909.5603,2450.353,2000.3442,2360.292,2128.92,1996.0063,2338.51,0,2128.92
T000000,1992-01-31,1991-07-31,2120.2336,1663.8668,1700.918,1668.76,1670.7723,2012.2133,1813.0525,1904.4453,1608.0142,1662.2003,1787.1651,0,1608.0142
T000000,1992-02-29,1991-07-31,2365.938,1643.6514,1946.4159,1791.7416,1352.5842,2069.884,1910.7246,2117.9465,1441.3301,1712.4382,1699.6451,0,1441.3301
T000000,1992-03-31,1991-07-31,2073.277,2044.0598,2103.3608,2082.8135,1650.5288,2322.6926,2217.3657,2351.2207,2068.235,1835.9547,1979.1052,0,2068.235
T000000,1992-04-30,1991-07-31,2144.4985,2506.598,2393.7107,2347.6287,2035.424,2678.9482,2687.3147,2887.0034,2207.61,2178.8838,2824.26,0,2207.6102
T000000,1992-05-31,1991-07-31,2860.9255,3079.9614,3124.7966,3178.2634,2626.0833,2951.0938,3186.206,3215.6338,2918.41,2953.9412,3076.505,0,2918.41
T000000,1992-06-30,1991-07-31,4368.4536,3852.758,3860.011,3758.2527,3698.2852,4123.6494,4068.0435,4418.0415,3400.8179,3754.2434,3402.585,0,3400.8178
T000000,1992-07-31,1991-07-31,7132.785,6210.64,6574.373,6511.2666,6879.4463,5665.206,6417.0166,6430.9824,6048.742,6554.6797,5985.83,0,6048.7421
T000001,1991-08-31,1991-07-31,144186.94,173449.16,166636.6,168105.38,183038.6,172314.31,181947.33,184778.92,169555.47,167457.05,177779.3,0,170488.7
T000001,1991-09-30,1991-07-31,143092.5,138780.66,146933.17,145637.72,160694.95,126858.05,145008.5,138469.38,132574.6,138829.6,146222.3,0,132573.7
