unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000008_fold0_x0,2004-03-31,2003-12-31,100856.45,109744.94,117257.3,109327.82,115727.17,101682.43,121044.48,117230.22,120794.99,113077.24,112141.0,120795.0,0
T000008_fold0_x0,2004-06-30,2003-12-31,92324.46,76856.836,61030.03,43554.805,97076.984,80118.56,54515.082,98887.36,27600.02,138983.31,124267.0,27600.0,0
T000008_fold0_x0,2004-09-30,2003-12-31,146595.5,104781.52,107149.29,102222.94,122542.625,96410.9,111048.195,109628.69,104663.0,111836.67,147036.0,104663.0,0
T000008_fold0_x0,2004-12-31,2003-12-31,151179.83,108003.555,125331.69,118810.94,132209.03,118438.71,133815.23,115978.19,115118.0,116640.05,155746.0,115118.0,0
T000012_fold0_x1,2004-03-31,2003-12-31,419918.44,496055.28,531970.56,468219.0,466797.3,465286.56,506124.38,527798.44,554700.0,531696.5,481812.0,554700.0,0
T000012_fold0_x1,2004-06-30,2003-12-31,464545.94,415693.8,342272.12,239657.28,533717.56,415231.8,256478.44,516133.9,156247.1,666048.25,500956.0,156247.0,0
T000012_fold0_x1,2004-09-30,2003-12-31,576641.94,554645.9,610688.44,574638.7,698196.56,521094.56,566335.75,562877.2,598359.0,526599.94,562476.0,598359.0,0
T000012_fold0_x1,2004-12-31,2003-12-31,645985.6,524403.75,596554.7,558125.5,612145.1,562008.9,614278.1,546275.2,543072.0,550902.56,529551.0,543072.0,0
T000015_fold0_x2,2004-03-31,2003-12-31,42126.13,36614.54,40062.047,37128.504,40157.32,37004.52,40237.598,39974.066,39475.0,41678.9,40589.02,39475.0,0
T000015_fold0_x2,2004-06-30,2003-12-31,43101.09,28131.465,25082.84,19873.062,36231.133,30882.592,21929.348,38109.113,12632.006,49907.527,41456.37,12632.0,0
T000015_fold0_x2,2004-09-30,2003-12-31,43852.41,36700.42,40181.418,38578.426,44749.574,36104.66,38925.46,39878.125,38527.6,41248.438,43929.66,38527.6,0
T000015_fold0_x2,2004-12-31,2003-12-31,45095.367,38965.81,43650.23,43379.61,47065.51,41642.03,46804.125,42101.945,42306.48,42791.926,44795.07,42306.48,0
T000016_fold0_x3,2004-03-31,2003-12-31,31435.297,26504.514,29126.234,26875.123,29231.035,26794.004,29411.977,28798.834,28162.2,30342.555,27856.2,28162.2,0
T000016_fold0_x3,2004-06-30,2003-12-31,31808.957,19997.64,17486.877,13947.248,26149.342,22330.06,15755.971,27536.346,8248.325,36597.98,28882.24,8248.32,0
T000016_fold0_x3,2004-09-30,2003-12-31,31805.736,26653.889,29007.885,28176.05,32740.701,26500.45,28690.357,28841.701,28410.88,30009.875,30120.3,28410.88,0
