unique_id,ds,cutoff,DLinear,DeepNPTS,KAN,MLP,NBEATS,NHITS,NLinear,PatchTST,TFT,TiDE,y,SeasonalNaive
T000000,1992-12-31,1992-09-30,3078.016,7145.849,7201.72,9738.526,7475.483,7013.96,7735.452,16730.05,8189.6006,8970.064,6915.52,7145.835
T000000,1993-03-31,1992-09-30,10368.988,5465.9155,5660.658,6552.6772,5275.9653,5539.411,5538.6104,17748.8,7530.6836,5921.2007,5696.01,5465.9154
T000000,1993-06-30,1992-09-30,4621.59,9303.35,9623.501,8245.227,8673.246,12374.526,10110.021,17742.47,9251.824,11099.949,9507.025,9303.35
T000000,1993-09-30,1992-09-30,11329.186,16747.184,17849.809,12176.168,17251.525,17538.084,18080.13,17336.04,16234.677,15634.584,17469.63,16747.1845
T000000,1993-03-31,1992-12-31,-1154.5269,5465.9175,5593.3477,4844.4937,5986.283,5345.2134,4981.9775,6917.871,7079.4756,7160.1997,5696.01,5465.9154
T000000,1993-06-30,1992-12-31,15008.405,9303.35,9443.784,10661.168,9664.088,9237.457,9443.258,7914.2217,8637.948,10408.063,9507.025,9303.35
T000000,1993-09-30,1992-12-31,11256.057,16747.184,17509.123,14262.783,17464.717,16766.59,16228.52,7905.241,17110.947,14266.222,17469.63,16747.1845
T000000,1993-12-31,1992-12-31,21.211426,6915.52,7417.0566,4782.185,7520.633,7081.177,7178.996,7521.615,7654.8696,8824.149,7672.665,6915.52
T000000,1993-06-30,1993-03-31,2177.6584,9303.344,9182.305,9268.933,9442.58,8600.375,9261.728,5686.2773,9288.198,9293.996,9507.025,9303.35
T000000,1993-09-30,1993-03-31,19817.742,16747.184,17310.387,13298.561,17816.65,16690.818,16831.646,6691.1836,16712.906,16631.998,17469.63,16747.1845
T000000,1993-12-31,1993-03-31,548.854,6915.52,7016.4326,12313.743,7573.995,7080.2334,7050.2627,6684.1123,7210.974,9114.498,7672.665,6915.52
T000000,1994-03-31,1993-03-31,-4522.3184,5696.01,5822.1484,8073.724,5664.3433,6033.0146,4630.314,6287.9927,5909.956,4907.832,6407.285,5696.01
T000000,1993-09-30,1993-06-30,13149.041,16747.172,17417.445,11236.936,17532.484,17713.574,16932.453,9495.869,17278.01,14624.809,17469.63,16747.1845
T000000,1993-12-31,1993-06-30,14461.364,6915.52,7446.0083,7829.6914,7124.6543,6904.795,7022.3926,10501.319,7018.838,8675.981,7672.665,6915.52
T000000,1994-03-31,1993-06-30,2446.3184,5696.01,5775.8677,7736.103,5420.296,6481.918,5417.6953,10494.403,6000.5938,6803.445,6407.285,5696.01
T000000,1994-06-30,1993-06-30,2548.9219,9507.025,9780.457,12204.307,9499.965,9407.685,9239.712,10097.128,8913.708,12340.954,10330.3,9507.025
T000000,1993-12-31,1993-09-30,3439.272,6915.5356,7429.955,10122.851,7854.212,7265.005,7922.881,17451.963,8104.465,9300.066,7672.665,6915.52
T000000,1994-03-31,1993-09-30,11166.521,5696.01,5839.5186,7091.5483,5448.412,6072.038,5796.9287,18521.348,7585.1675,5963.4004,6407.285,5696.01
T000000,1994-06-30,1993-09-30,5286.71,9507.025,10044.27,8839.251,9359.407,13373.227,10657.729,18514.66,9405.514,11453.997,10330.3,9507.025
T000000,1994-09-30,1993-09-30,11936.012,17469.63,18555.918,12522.102,17991.55,18318.193,18779.805,18088.248,16615.99,15801.602,6995.05,17469.63
T000001,1992-12-31,1992-09-30,155178.98,326568.44,337873.38,388921.12,336131.6,346314.66,356039.25,511497.75,347928.5,368855.78,348666.69,326568.18
T000001,1993-03-31,1992-09-30,461885.38,269902.06,279598.75,391853.47,281662.53,278974.38,282119.3,531598.6,314010.25,291513.44,289378.83,269902.06
T000001,1993-06-30,1992-09-30,154825.47,343546.4,351464.6,404939.72,336892.97,369752.75,362173.84,531461.5,351224.4,384016.88,361884.6,343546.41
T000001,1993-09-30,1992-09-30,257002.55,511731.1,539987.5,391546.34,529121.2,529194.8,538561.0,523512.4,508254.6,499948.44,540909.5,511731.1
T000001,1993-03-31,1992-12-31,68421.055,269902.16,288886.88,315338.16,308273.75,298215.75,282316.06,348383.84,331859.5,321670.6,289378.83,269902.06
T000001,1993-06-30,1992-12-31,570345.06,343546.4,353855.72,457728.4,377309.62,341671.47,360051.38,368338.56,361174.56,375940.75,361884.6,343546.41
T000001,1993-09-30,1992-12-31,323180.56,511731.1,544232.4,516012.25,535148.3,525081.06,510683.56,368208.2,558909.56,469055.53,540909.5,511731.1
T000001,1993-12-31,1992-12-31,78407.79,348666.7,366277.62,302504.44,360591.3,364165.7,360631.25,360282.94,375931.44,384376.22,386096.5,348666.69
T000001,1993-06-30,1993-03-31,108555.26,343546.3,361500.4,349106.2,370196.34,330371.28,354124.94,289185.28,373427.4,357151.53,361884.6,343546.41
T000001,1993-09-30,1993-03-31,695285.8,511731.1,548358.9,473729.66,539562.44,517476.94,525580.0,308908.38,541017.6,523797.53,540909.5,511731.1
T000001,1993-12-31,1993-03-31,129863.0,348666.7,373374.56,520011.38,369408.28,360200.75,350330.06,308769.9,335718.88,383120.16,386096.5,348666.69
T000001,1994-03-31,1993-03-31,-51650.41,289378.84,305385.7,336502.75,304784.7,305877.12,271484.8,300993.62,299721.75,287439.03,304618.082,289378.83
T000001,1993-09-30,1993-06-30,331413.7,511730.88,550388.1,407428.28,530173.4,553295.5,527159.0,361699.38,591479.4,473947.7,540909.5,511731.1
T000001,1993-12-31,1993-06-30,606819.4,348666.7,365734.66,408818.97,348017.66,367356.8,358484.75,381286.94,324018.47,390254.03,386096.5,348666.69
T000001,1994-03-31,1993-06-30,125279.94,289378.84,302114.2,422354.72,293369.22,322760.47,288093.16,381148.6,316568.6,322841.62,304618.082,289378.83
T000001,1994-06-30,1993-06-30,75632.33,361884.6,379184.38,409960.84,370124.44,371843.34,355953.5,373430.47,379552.12,425179.4,417078.1932,361884.6
T000001,1993-12-31,1993-09-30,197013.89,348666.94,370761.1,414458.5,374903.7,370371.2,378910.3,540632.9,376192.6,392224.1,386096.5,348666.69
T000001,1994-03-31,1993-09-30,518943.5,289378.84,294743.53,424855.72,300123.06,299869.44,301192.9,562928.9,324676.28,313394.2,304618.082,289378.83
T000001,1994-06-30,1993-09-30,199856.84,361884.6,381285.56,437072.0,371694.2,393024.2,388993.44,562778.75,373030.66,412878.72,417078.1932,361884.6
T000001,1994-09-30,1993-09-30,305283.3,540909.5,577195.8,413777.8,566375.4,560393.56,569226.4,553949.8,550781.1,525424.5,199405.116,540909.5
T000002,2005-03-31,2004-12-31,148954.14,219281.12,258324.53,274234.2,271199.88,309908.03,305476.25,305546.62,275984.22,234454.12,260754.0,219281.0
T000002,2005-06-30,2004-12-31,368457.28,263012.0,292205.06,313218.03,271277.25,318120.38,275154.66,320757.9,267976.0,206663.28,293599.0,263012.0
T000002,2005-09-30,2004-12-31,183125.6,263708.0,287693.6,321364.5,284224.1,328033.22,285188.72,320651.0,269106.47,231267.95,274916.0,263708.0
T000002,2005-12-31,2004-12-31,114553.97,305695.0,355160.28,270156.6,325050.66,338710.94,330664.38,314654.22,335490.12,325384.7,313820.0,305695.0
T000002,2005-06-30,2005-03-31,110136.46,263012.0,288842.7,255677.61,257436.08,246744.25,274749.5,260606.06,292411.56,224841.89,293599.0,263012.0
T000002,2005-09-30,2005-03-31,387983.84,263708.0,286031.62,323532.56,274831.84,282511.44,312207.0,275967.66,267352.06,309289.56,274916.0,263708.0
T000002,2005-12-31,2005-03-31,185815.34,305695.0,351577.53,343682.8,313637.2,302966.5,327348.12,275859.47,319459.06,309708.8,313820.0,305695.0
T000002,2006-03-31,2005-03-31,110076.18,260754.0,302901.25,249060.17,288390.78,278232.25,283171.78,269804.72,299453.47,295469.1,264012.0,260754.0
T000002,2005-09-30,2005-06-30,150428.95,263708.06,286003.38,286199.2,300323.7,293401.72,289107.88,293416.34,325105.78,263591.84,274916.0,263708.0
T000002,2005-12-31,2005-06-30,485243.97,305695.0,349036.25,353248.4,338313.94,323975.06,325831.7,309268.38,316825.78,313893.66,313820.0,305695.0
T000002,2006-03-31,2005-06-30,132351.14,260754.0,308840.7,370960.88,299401.1,308362.34,275482.66,309160.12,312651.06,282963.88,264012.0,260754.0
T000002,2006-06-30,2005-06-30,113605.61,293599.0,339975.5,279698.25,304224.06,314947.38,302977.66,302892.12,328563.03,298843.9,300244.0,293599.0
T000002,2005-12-31,2005-09-30,202320.72,305694.97,339767.1,290438.5,339981.9,298452.9,312035.62,274763.88,337469.9,291699.1,313820.0,305695.0
T000002,2006-03-31,2005-09-30,465949.66,260754.0,290288.38,342798.75,307506.2,280410.5,274781.1,290811.16,265858.75,291206.4,264012.0,260754.0
T000002,2006-06-30,2005-09-30,135421.27,293599.0,330813.25,354255.7,278298.62,285700.2,295102.4,290697.84,293943.03,296774.0,300244.0,293599.0
T000002,2006-09-30,2005-09-30,84415.93,274916.0,325950.78,285628.44,304997.2,297764.78,283527.34,284374.47,321065.03,319505.4,276400.0,274916.0
T000002,2006-03-31,2005-12-31,168886.66,260754.08,284901.88,291189.16,292657.72,279886.78,268348.47,313653.7,271551.38,272435.3,264012.0,260754.0
T000002,2006-06-30,2005-12-31,450977.06,293599.0,310199.0,331164.47,275643.56,302553.62,298978.97,330279.62,272107.84,307067.3,300244.0,293599.0
T000002,2006-09-30,2005-12-31,207162.98,274916.0,311731.06,339940.66,303695.3,320645.6,286913.88,330163.22,274575.8,308309.0,276400.0,274916.0
T000002,2006-12-31,2005-12-31,191217.61,313820.0,361364.6,287069.8,339968.12,330532.34,323253.66,323606.0,333737.28,317758.38,318369.0,313820.0
T000003,2005-03-31,2004-12-31,44952.36,58812.04,77260.81,73600.414,78850.63,81949.11,85816.11,88210.33,76077.59,67825.96,74078.0,58812.0
