unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000003_fold0_x0,2004-03-31,2003-12-31,57714.5,55026.207,56464.742,56148.8,59801.355,71552.625,61811.902,59535.08,62377.42,70315.93,58812.0,63192.0,0
T000003_fold0_x0,2004-06-30,2003-12-31,46096.637,40975.863,45125.703,19425.852,51533.86,28085.293,28898.38,15631.855,19352.738,31378.844,63616.0,16254.0,0
T000003_fold0_x0,2004-09-30,2003-12-31,52963.25,52547.164,51663.445,39558.82,52485.906,49344.996,29215.016,15307.539,44880.95,48649.074,63246.0,43384.0,0
T000003_fold0_x0,2004-12-31,2003-12-31,68693.64,70859.04,70641.19,63107.324,70211.74,78359.01,74613.96,66981.22,63976.46,64549.51,88251.0,63979.0,0
T000012_fold0_x1,2004-03-31,2003-12-31,501442.75,528341.4,546887.4,446666.22,469514.78,672445.44,555644.0,514774.75,540986.6,629511.1,481812.0,554700.0,0
T000012_fold0_x1,2004-06-30,2003-12-31,537551.2,426284.0,494810.12,199650.62,545716.6,336943.6,311196.7,194078.62,217218.88,342464.56,500956.0,156247.0,0
T000012_fold0_x1,2004-09-30,2003-12-31,605013.94,657699.06,612201.4,518586.62,703361.25,726067.06,448968.3,199443.97,587173.5,591500.2,562476.0,598359.0,0
T000012_fold0_x1,2004-12-31,2003-12-31,585537.5,623963.4,617972.3,536446.56,605414.44,748735.4,634744.75,577637.9,543071.3,586727.5,529551.0,543072.0,0
T000015_fold0_x2,2004-03-31,2003-12-31,40438.8,38487.453,38901.79,34047.793,40985.52,45749.125,44245.17,40965.32,40803.086,42250.723,40589.02,39475.0,0
T000015_fold0_x2,2004-06-30,2003-12-31,39344.8,30776.674,30338.889,15284.182,38244.523,24789.549,25210.809,14877.689,19517.717,25132.385,41456.37,12632.0,0
T000015_fold0_x2,2004-09-30,2003-12-31,45599.152,44201.33,38682.973,34671.164,45686.227,49749.16,31078.244,14193.449,39461.984,43232.39,43929.66,38527.6,0
