unique_id,ds,cutoff,DLinear,DeepNPTS,KAN,MLP,NBEATS,NHITS,NLinear,PatchTST,TFT,TiDE,y,SeasonalNaive
T000000,1992-12-31,1992-09-30,3078.016,10559.896,7201.72,9486.356,7454.1685,7013.96,9543.967,9776.879,8117.127,7581.6133,6915.52,7145.835
T000000,1993-03-31,1992-09-30,10368.988,6486.4443,5660.658,7963.337,5741.036,5539.411,6202.575,7311.9414,7007.936,6078.0933,5696.01,5465.9154
T000000,1993-06-30,1992-09-30,4621.59,9916.508,9623.501,11911.153,9811.02,12374.526,10980.1875,12678.285,9617.403,10103.273,9507.025,9303.35
T000000,1993-09-30,1992-09-30,11329.186,16741.508,17849.809,17054.795,17844.781,17538.084,17051.35,18924.86,16942.26,18173.973,17469.63,16747.1845
T000000,1993-03-31,1992-12-31,-1154.5269,6386.9126,5593.3477,6040.3276,5445.6396,5345.2134,4547.7075,8982.113,5240.5835,5665.2183,5696.01,5465.9154
T000000,1993-06-30,1992-12-31,15008.405,9188.922,9443.784,10268.914,9343.267,9237.457,9590.935,9379.723,11344.195,9138.881,9507.025,9303.35
T000000,1993-09-30,1992-12-31,11256.057,16131.861,17509.123,15761.186,17336.764,16766.59,15270.463,14025.545,18175.441,17351.672,17469.63,16747.1845
T000000,1993-12-31,1992-12-31,21.211426,6916.9355,7417.0566,7831.395,7578.3833,7081.177,6914.4185,7496.2544,7050.552,7666.0146,7672.665,6915.52
T000000,1993-06-30,1993-03-31,2177.6584,8999.693,9182.305,9325.118,9278.491,8600.375,10661.906,9859.194,5732.5977,8997.293,9507.025,9303.35
T000000,1993-09-30,1993-03-31,19817.742,16019.719,17310.387,17029.125,17193.383,16690.818,15925.209,15378.653,14439.925,16763.525,17469.63,16747.1845
T000000,1993-12-31,1993-03-31,548.854,6882.1577,7016.4326,6960.824,7557.1445,7080.2334,7882.96,6143.0117,6447.058,7420.4663,7672.665,6915.52
T000000,1994-03-31,1993-03-31,-4522.3184,5698.032,5822.1484,6137.283,5917.188,6033.0146,5841.6265,7469.578,5714.833,5791.522,6407.285,5696.01
T000000,1993-09-30,1993-06-30,13149.041,13620.866,17417.445,15660.016,16696.656,17713.574,13920.416,14511.884,15784.556,16922.758,17469.63,16747.1845
T000000,1993-12-31,1993-06-30,14461.364,7074.917,7446.0083,6987.509,7183.5225,6904.795,6749.469,6082.966,5026.2197,7192.3076,7672.665,6915.52
T000000,1994-03-31,1993-06-30,2446.3184,5915.6353,5775.8677,6345.8086,5785.6934,6481.918,4547.9233,4678.5127,6894.6416,6141.998,6407.285,5696.01
T000000,1994-06-30,1993-06-30,2548.9219,9508.843,9780.457,9978.112,9900.125,9407.685,9066.965,9761.063,10565.556,9617.107,10330.3,9507.025
