unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000005_fold0_x0,2004-03-31,2003-12-31,83920.39,86791.29,75258.56,86717.88,93753.42,82997.11,104141.945,96687.51,95197.2,75872.45,103716.0,98689.0,0
T000005_fold0_x0,2004-06-30,2003-12-31,72571.586,52189.57,39864.402,23776.0,72223.21,67006.83,73127.8,14167.773,26259.023,39535.195,91466.0,18613.0,0
T000005_fold0_x0,2004-09-30,2003-12-31,78428.77,73724.305,63505.445,58864.83,75692.93,77009.92,112391.2,13286.855,65243.547,66066.3,91010.0,64353.0,0
T000005_fold0_x0,2004-12-31,2003-12-31,104891.72,108021.375,95005.56,98719.01,106625.19,95025.74,115630.43,106413.375,99535.336,107994.99,125095.0,99663.0,0
T000009_fold0_x1,2004-03-31,2003-12-31,73238.19,65573.19,48174.86,58836.523,62676.87,59020.023,77519.59,67412.6,67931.01,43394.996,64129.0,68256.0,0
T000009_fold0_x1,2004-06-30,2003-12-31,78672.93,56445.785,41959.41,20492.031,79029.03,70846.24,74097.04,15085.836,26531.938,33299.453,92507.0,15467.0,0
T000009_fold0_x1,2004-09-30,2003-12-31,84224.94,80230.164,62306.816,64743.32,82751.76,73556.85,91561.7,19352.703,71693.73,70690.805,83106.0,71250.0,0
T000009_fold0_x1,2004-12-31,2003-12-31,88331.09,87944.42,72028.766,78720.445,87573.08,74158.12,91339.24,81504.52,79216.33,86399.49,96931.0,79287.0,0
T000011_fold0_x2,2004-03-31,2003-12-31,54313.344,49150.703,41877.82,51286.477,50395.945,46808.516,64910.426,50535.176,54502.492,31383.14,61108.0,53581.0,0
T000011_fold0_x2,2004-06-30,2003-12-31,54909.543,39821.67,31471.887,13772.828,59261.45,53320.344,54945.984,7929.875,17107.703,23763.023,78788.0,8639.0,0
T000011_fold0_x2,2004-09-30,2003-12-31,63160.496,58698.863,47510.477,48647.35,60856.703,53891.363,75680.6,18956.262,51150.176,62566.91,77397.0,49963.0,0
T000011_fold0_x2,2004-12-31,2003-12-31,77497.74,79777.39,66179.44,73681.84,78685.625,65523.434,80834.0,73444.92,73106.72,82757.03,99617.0,73215.0,0
T000013_fold0_x3,2004-03-31,2003-12-31,2339546.5,2378045.5,2210875.5,2102941.5,2521423.2,2750245.0,2507566.2,2642082.5,2170365.8,1491259.4,2919108.0,2130761.0,0
T000013_fold0_x3,2004-06-30,2003-12-31,2206897.8,1741119.8,1741273.0,1254702.8,1973490.9,2261342.0,2081678.8,1265864.1,1286713.8,1492254.0,2749023.0,1104599.0,0
T000013_fold0_x3,2004-09-30,2003-12-31,3026560.5,2655511.5,2351483.8,2361309.8,2836969.5,2802718.5,2125275.2,1445242.1,2410477.2,2736166.0,3311344.0,2401131.0,0
T000013_fold0_x3,2004-12-31,2003-12-31,3022562.8,2998805.5,2860097.2,2850292.2,2985376.2,3013482.0,2222254.0,3018589.8,2825844.2,3096304.8,3266387.0,2830720.0,0
T000015_fold0_x4,2004-03-31,2003-12-31,36553.703,37495.05,32307.857,34086.24,39707.53,33936.457,42207.74,41692.03,38807.85,29240.36,40589.02,39475.0,0
T000015_fold0_x4,2004-06-30,2003-12-31,36182.34,28363.148,23526.91,14858.492,36315.68,32127.469,38304.535,11660.602,17107.959,21479.28,41456.37,12632.0,0
T000015_fold0_x4,2004-09-30,2003-12-31,43278.06,41696.695,35572.805,35006.625,44416.13,37930.633,45169.367,12060.871,38677.152,36190.844,43929.66,38527.6,0
