unique_id,ds,cutoff,DLinear,DeepNPTS,KAN,MLP,NBEATS,NHITS,NLinear,PatchTST,TFT,TiDE,y,SeasonalNaive
T000000,1992-12-31,1992-09-30,11240.326,10559.896,7201.72,8018.534,7454.1685,7013.96,9543.967,9776.879,8117.127,8442.535,6915.52,7145.835
T000000,1993-03-31,1992-09-30,8127.8916,6486.4443,5660.658,6648.301,5741.036,5539.411,6202.575,7311.9414,7007.936,6066.591,5696.01,5465.9154
T000000,1993-06-30,1992-09-30,15029.546,9916.508,9623.501,11123.413,9811.02,12374.526,10980.1875,12678.285,9617.403,11257.423,9507.025,9303.35
T000000,1993-09-30,1992-09-30,17102.336,16741.508,17849.809,18024.25,17844.781,17538.084,17051.35,18924.86,16942.26,18054.959,17469.63,16747.1845
T000000,1993-03-31,1992-12-31,4444.6045,6386.9126,5593.3477,5426.589,5445.6396,5345.2134,4547.7075,8982.113,5240.5835,4603.619,5696.01,5465.9154
T000000,1993-06-30,1992-12-31,12846.203,9188.922,9443.784,9287.717,9343.267,9237.457,9590.935,9379.723,11344.195,10345.582,9507.025,9303.35
T000000,1993-09-30,1992-12-31,12078.439,16131.861,17509.123,19408.111,17336.764,16766.59,15270.463,14025.545,18175.441,15701.166,17469.63,16747.1845
T000000,1993-12-31,1992-12-31,7803.2915,6916.9355,7417.0566,7139.4736,7578.3833,7081.177,6914.4185,7496.2544,7050.552,8255.543,7672.665,6915.52
T000000,1993-06-30,1993-03-31,10210.475,8999.693,9182.305,10780.135,9278.491,8600.375,10661.906,9859.194,5732.5977,10652.258,9507.025,9303.35
T000000,1993-09-30,1993-03-31,12682.286,16019.719,17310.387,19669.654,17193.383,16690.818,15925.209,15378.653,14439.925,16861.277,17469.63,16747.1845
T000000,1993-12-31,1993-03-31,4660.463,6882.1577,7016.4326,8790.246,7557.1445,7080.2334,7882.96,6143.0117,6447.058,8906.923,7672.665,6915.52
T000000,1994-03-31,1993-03-31,8146.3057,5698.032,5822.1484,6437.9834,5917.188,6033.0146,5841.6265,7469.578,5714.833,5354.2837,6407.285,5696.01
T000000,1993-09-30,1993-06-30,15133.178,13620.866,17417.445,15969.391,16696.656,17713.574,13920.416,14511.884,15784.556,17127.793,17469.63,16747.1845
T000000,1993-12-31,1993-06-30,7586.9663,7074.917,7446.0083,6607.2715,7183.5225,6904.795,6749.469,6082.966,5026.2197,7568.14,7672.665,6915.52
T000000,1994-03-31,1993-06-30,7973.54,5915.6353,5775.8677,5930.151,5785.6934,6481.918,4547.9233,4678.5127,6894.6416,4572.6455,6407.285,5696.01
