unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000005_fold0_x0,2004-03-31,2003-12-31,98058.09,89619.38,89280.29,85025.92,94290.766,90000.61,101799.19,93978.37,98689.02,70883.02,103716.0,98689.0,0
T000005_fold0_x0,2004-06-30,2003-12-31,70193.33,48008.656,66946.45,27917.96,74029.69,63108.504,72801.055,16683.188,18613.0,26322.414,91466.0,18613.0,0
T000005_fold0_x0,2004-09-30,2003-12-31,79677.26,63840.523,73561.91,64869.234,77134.75,74884.72,112844.08,21555.809,64353.0,55698.242,91010.0,64353.0,0
T000005_fold0_x0,2004-12-31,2003-12-31,104869.87,105836.266,109294.586,104943.93,109899.61,103649.32,115911.016,115484.31,99663.0,104042.17,125095.0,99663.0,0
T000006_fold0_x1,2004-03-31,2003-12-31,38644.95,32894.32,35930.54,30980.654,35102.19,40802.074,42138.785,35270.0,38225.11,27739.943,36860.0,38225.0,0
T000006_fold0_x1,2004-06-30,2003-12-31,35574.535,22528.863,30874.436,11637.1875,36388.11,33374.875,32852.406,5773.5996,6654.0,11301.9,39977.0,6654.0,0
T000006_fold0_x1,2004-09-30,2003-12-31,38669.87,29285.32,34565.727,30206.023,36907.797,35294.734,51827.227,10616.305,28464.0,27182.086,39061.0,28464.0,0
T000006_fold0_x1,2004-12-31,2003-12-31,47424.695,46127.906,49954.86,46644.07,49042.492,48533.074,52495.668,49445.094,43623.0,45736.953,53763.0,43623.0,0
T000011_fold0_x2,2004-03-31,2003-12-31,54761.246,49856.465,54452.188,46773.78,52229.13,50033.49,64613.44,48566.367,53581.402,40770.293,61108.0,53581.0,0
T000011_fold0_x2,2004-06-30,2003-12-31,55340.91,39717.63,47915.703,25132.043,62898.29,51094.28,55234.305,9402.668,8639.0,19686.91,78788.0,8639.0,0
T000011_fold0_x2,2004-09-30,2003-12-31,63471.887,51077.164,53185.676,54285.72,62766.67,53698.76,75377.66,23892.875,49963.0,51721.15,77397.0,49963.0,0
T000011_fold0_x2,2004-12-31,2003-12-31,81935.33,76849.38,77499.22,80505.55,81036.28,68383.01,80556.52,81139.72,73215.0,77237.055,99617.0,73215.0,0
T000016_fold0_x3,2004-03-31,2003-12-31,28529.24,28408.16,28967.252,28119.2,30046.26,25752.98,30561.05,29573.275,28162.252,25887.934,27856.2,28162.2,0
T000016_fold0_x3,2004-06-30,2003-12-31,27912.938,19165.06,21307.293,15187.526,27808.723,21765.664,28049.756,8984.537,8248.32,14655.517,28882.24,8248.32,0
T000016_fold0_x3,2004-09-30,2003-12-31,32096.219,30088.117,28535.168,28269.617,34181.88,27227.137,32252.557,10246.168,28410.88,20130.236,30120.3,28410.88,0
T000016_fold0_x3,2004-12-31,2003-12-31,33777.906,32925.273,31415.469,31656.842,34962.13,28268.674,32313.627,34789.273,30816.64,31891.281,30458.72,30816.64,0
T000024_fold0_x4,2003-09-30,2003-06-30,4758.1694,4917.3306,4837.359,4734.116,4910.747,4907.8135,4642.1616,4685.4805,4905.9854,4473.193,4797.0,4906.0,0
T000024_fold0_x4,2003-12-31,2003-06-30,3815.4446,4032.2932,3983.3494,3611.9785,3972.0266,3919.7932,3865.733,4192.3003,4132.0,3687.7332,4203.0,4132.0,0
T000024_fold0_x4,2004-03-31,2003-06-30,4333.139,3656.6096,3718.8257,3206.8057,3630.7773,3595.5112,4955.46,4122.244,3386.0,3461.596,3697.0,3386.0,0
T000024_fold0_x4,2004-06-30,2003-06-30,4384.0796,4499.6777,4780.7446,4130.461,4472.0728,4224.2485,5006.6226,4463.569,4201.0,4270.475,4806.0,4201.0,0
T000032_fold0_x5,2003-09-30,2003-06-30,2837.0432,3430.5137,3420.42,3311.3496,3537.1792,3035.2905,2777.9917,3237.4224,3383.9685,2412.9297,3397.0,3384.0,0
T000032_fold0_x5,2003-12-31,2003-06-30,878.99554,893.13336,737.7661,546.88696,989.0503,766.43475,735.97906,724.5381,801.0,224.14307,762.0,801.0,0
T000032_fold0_x5,2004-03-31,2003-06-30,566.7164,239.23767,224.99731,-17.668457,249.55017,257.86768,1677.0096,482.46167,192.0,-206.06519,197.0,192.0,0
T000032_fold0_x5,2004-06-30,2003-06-30,2244.5337,2119.413,2121.9841,1788.9176,2111.8047,1573.3954,2219.275,2031.8911,1859.0,1943.6721,1725.0,1859.0,0
T000040_fold0_x6,2003-03-31,2002-12-31,7443.3633,6671.8345,7110.8027,6768.7886,6791.826,6847.3906,7561.7275,6838.0537,7599.9775,6741.1084,5500.0,7600.0,0
T000040_fold0_x6,2003-06-30,2002-12-31,7751.4116,7908.4746,8218.554,7862.8823,8017.359,8335.61,7922.8633,7288.6597,8100.0,6829.698,7200.0,8100.0,0
T000040_fold0_x6,2003-09-30,2002-12-31,8549.527,6838.934,8224.783,6512.757,6999.397,6551.5503,9952.571,7182.447,6400.0,6636.39,6300.0,6400.0,0
T000040_fold0_x6,2003-12-31,2002-12-31,8320.538,7294.4062,8345.474,6559.6904,7076.8926,6353.917,8723.896,6517.818,6500.0,6946.61,8000.0,6500.0,0
T000043_fold0_x7,2000-03-31,1999-12-31,1727.6449,1772.0038,1733.1846,1465.427,1666.4453,1885.3489,1800.651,1848.0365,1695.0017,1838.8632,1870.0,1695.0,0
T000043_fold0_x7,2000-06-30,1999-12-31,1763.9521,1946.693,1940.5604,1887.9109,2055.0293,2151.0325,1891.7833,1901.6935,2119.0,1973.3859,1982.0,2119.0,0
T000043_fold0_x7,2000-09-30,1999-12-31,1930.2467,1793.3896,1854.7076,1558.1162,1858.6658,2177.0195,2264.0815,1954.1381,1743.0,1887.0135,2206.0,1743.0,0
T000043_fold0_x7,2000-12-31,1999-12-31,2157.8826,2090.5903,2029.668,1817.7024,1982.8444,2349.2783,2009.932,1853.1221,1775.0,1926.0613,2076.0,1775.0,0
T000047_fold0_x8,2000-09-30,2000-06-30,10225.492,12250.603,8636.463,10870.55,12586.215,13994.95,7765.884,10134.107,8987.014,10154.93,13739.0,8987.0,0
T000047_fold0_x8,2000-12-31,2000-06-30,11417.035,11623.559,6858.874,11688.209,11473.986,9563.236,8132.0767,10880.723,9564.0,10354.643,11711.0,9564.0,0
T000047_fold0_x8,2001-03-31,2000-06-30,14628.082,11052.863,9735.148,10810.447,11124.229,8518.25,10889.975,10701.5,10687.0,10931.384,11189.0,10687.0,0
T000047_fold0_x8,2001-06-30,2000-06-30,15164.11,11413.539,10985.35,10276.899,11436.744,13222.707,10095.942,10651.689,9690.0,9768.552,10180.0,9690.0,0
T000053_fold0_x9,2004-03-31,2003-12-31,109863.98,109820.5,115975.43,108772.58,109585.68,111402.875,119690.72,111579.34,116538.16,146175.48,113736.0,116538.0,0
T000053_fold0_x9,2004-06-30,2003-12-31,114065.625,93210.625,102768.96,73074.66,116709.41,106709.69,129794.85,70509.375,61712.0,103960.42,111586.0,61712.0,0
T000053_fold0_x9,2004-09-30,2003-12-31,151450.36,146182.06,141904.06,134686.61,154017.8,145579.84,163895.64,81684.86,141036.0,112694.14,129709.0,141036.0,0
T000053_fold0_x9,2004-12-31,2003-12-31,135034.42,133068.47,130011.07,122062.94,135393.97,126283.65,143287.61,136899.62,124336.0,127701.85,129007.0,124336.0,0
T000055_fold0_x10,2003-03-31,2002-12-31,133697.05,149087.34,152544.56,147361.8,149059.66,142496.19,139130.36,138711.28,145031.5,144159.0,139137.0,145032.0,0
T000055_fold0_x10,2003-06-30,2002-12-31,145002.25,150243.66,145383.61,142347.86,147739.28,138550.55,167013.22,145322.95,136330.0,143323.05,143418.0,136330.0,0
T000055_fold0_x10,2003-09-30,2002-12-31,160720.08,164834.55,166485.19,149201.66,166120.67,156587.17,157346.3,142546.2,169011.0,171383.45,244065.0,169011.0,0
T000055_fold0_x10,2003-12-31,2002-12-31,129225.29,128488.49,123622.3,108388.39,127387.94,128945.086,141460.56,131726.1,120725.0,122785.555,164585.0,120725.0,0
T000057_fold0_x11,2003-03-31,2002-12-31,69369.41,70078.68,69584.44,70060.586,69883.97,74002.56,69954.62,69862.125,69216.94,66290.61,56535.0,69217.0,0
