unique_id,ds,cutoff,DLinear,DeepNPTS,KAN,MLP,NBEATS,NHITS,NLinear,PatchTST,TFT,TiDE,y,SeasonalNaive
T000000,1992-12-31,1992-09-30,11240.326,10559.896,7201.72,8018.534,7283.2266,7013.96,7229.66,9776.879,8117.127,8442.535,6915.52,7145.835
T000000,1993-03-31,1992-09-30,8127.8916,6486.4443,5660.658,6648.301,5724.006,5539.411,5572.0166,7311.9414,7007.936,6066.591,5696.01,5465.9154
T000000,1993-06-30,1992-09-30,15029.546,9916.508,9623.501,11123.413,9309.641,12374.526,10315.157,12678.285,9617.403,11257.423,9507.025,9303.35
T000000,1993-09-30,1992-09-30,17102.336,16741.508,17849.809,18024.25,18084.46,17538.084,18744.496,18924.86,16942.26,18054.959,17469.63,16747.1845
T000000,1993-03-31,1992-12-31,4444.6045,6386.9126,5593.3477,5426.589,5607.6626,5345.2134,5462.717,8982.113,5240.5835,4603.619,5696.01,5465.9154
T000000,1993-06-30,1992-12-31,12846.203,9188.922,9443.784,9287.717,9284.892,9237.457,9362.225,9379.723,11344.195,10345.582,9507.025,9303.35
T000000,1993-09-30,1992-12-31,12078.439,16131.861,17509.123,19408.111,17742.086,16766.59,16509.86,14025.545,18175.441,15701.166,17469.63,16747.1845
T000000,1993-12-31,1992-12-31,7803.2915,6916.9355,7417.0566,7139.4736,7770.492,7081.177,7024.691,7496.2544,7050.552,8255.543,7672.665,6915.52
T000000,1993-06-30,1993-03-31,10210.475,8999.693,9182.305,10780.135,9420.472,8600.375,9358.803,9859.194,5732.5977,10652.258,9507.025,9303.35
T000000,1993-09-30,1993-03-31,12682.286,16019.719,17310.387,19669.654,17462.383,16690.818,17171.543,15378.653,14439.925,16861.277,17469.63,16747.1845
T000000,1993-12-31,1993-03-31,4660.463,6882.1577,7016.4326,8790.246,7516.01,7080.2334,7514.1196,6143.0117,6447.058,8906.923,7672.665,6915.52
T000000,1994-03-31,1993-03-31,8146.3057,5698.032,5822.1484,6437.9834,6047.3135,6033.0146,4687.03,7469.578,5714.833,5354.2837,6407.285,5696.01
T000000,1993-09-30,1993-06-30,15133.178,13620.866,17417.445,15969.391,16972.2,17713.574,16847.848,14511.884,15784.556,17127.793,17469.63,16747.1845
T000000,1993-12-31,1993-06-30,7586.9663,7074.917,7446.0083,6607.2715,7361.1494,6904.795,6942.08,6082.966,5026.2197,7568.14,7672.665,6915.52
T000000,1994-03-31,1993-06-30,7973.54,5915.6353,5775.8677,5930.151,5872.5713,6481.918,4654.495,4678.5127,6894.6416,4572.6455,6407.285,5696.01
T000000,1994-06-30,1993-06-30,10601.559,9508.843,9780.457,8277.557,9715.214,9407.685,8966.302,9761.063,10565.556,9561.539,10330.3,9507.025
T000000,1993-12-31,1993-09-30,11552.214,10473.148,7429.955,8328.295,7482.1816,7265.005,7375.8965,9994.826,8129.7617,8701.276,7672.665,6915.52
T000000,1994-03-31,1993-09-30,8406.064,6657.73,5839.5186,6848.8057,5866.623,6072.038,5651.627,7552.9854,7262.54,6116.684,6407.285,5696.01
T000000,1994-06-30,1993-09-30,15091.074,10085.325,10044.27,11512.759,9671.644,13373.227,10798.793,13295.526,9901.822,11616.621,10330.3,9507.025
T000000,1994-09-30,1993-09-30,17884.922,17463.688,18555.918,18388.008,18845.656,18318.193,19353.035,19779.78,17246.172,18703.428,6995.05,17469.63
T000001,1992-12-31,1992-09-30,419542.44,384592.12,337873.38,344815.16,339124.34,346314.66,345214.3,376701.0,348096.97,362071.22,348666.69,326568.18
T000001,1993-03-31,1992-09-30,331180.22,289341.25,279598.75,300086.4,285185.94,278974.38,284495.0,309961.8,325211.06,296523.62,289378.83,269902.06
T000001,1993-06-30,1992-09-30,469304.38,355586.94,351464.6,385631.03,344767.6,369752.75,366823.7,414313.2,356825.3,380575.84,361884.6,343546.41
T000001,1993-09-30,1992-09-30,518405.03,511620.8,539987.5,537504.6,540052.56,529194.8,552983.6,556839.6,522794.78,546506.3,540909.5,511731.1
T000001,1993-03-31,1992-12-31,275282.44,299114.12,288886.88,296402.7,285755.44,298215.75,289992.56,352373.22,300103.28,284363.22,289378.83,269902.06
T000001,1993-06-30,1992-12-31,426082.28,344733.94,353855.72,364856.56,354832.3,341671.47,360302.25,364664.94,400210.8,375797.44,361884.6,343546.41
T000001,1993-09-30,1992-12-31,433015.34,504652.44,544232.4,596825.9,540843.5,525081.06,519672.7,482515.25,581536.75,494481.2,540909.5,511731.1
T000001,1993-12-31,1992-12-31,369964.3,348668.03,366277.62,392910.12,371069.0,364165.7,362818.78,362319.3,355726.47,384786.03,386096.5,348666.69
T000001,1993-06-30,1993-03-31,368884.9,350061.9,361500.4,372593.94,358925.28,330371.28,357950.3,366003.7,311321.56,386972.2,361884.6,343546.41
T000001,1993-09-30,1993-03-31,449373.12,505892.78,548358.9,570212.4,539563.2,517476.94,536396.8,480089.44,531472.5,527026.8,540909.5,511731.1
T000001,1993-12-31,1993-03-31,277223.9,347954.3,373374.56,390579.97,373275.4,360200.75,364882.84,305133.44,326362.38,387224.16,386096.5,348666.69
T000001,1994-03-31,1993-03-31,347018.72,289413.84,305385.7,321834.25,306883.78,305877.12,276226.84,321645.72,295575.75,297132.78,304618.082,289378.83
T000001,1993-09-30,1993-06-30,494651.78,455560.03,550388.1,493351.84,538599.0,553295.5,525308.4,458919.75,519312.3,536001.1,540909.5,511731.1
T000001,1993-12-31,1993-06-30,350674.78,349181.2,365734.66,341133.16,366746.75,367356.8,359868.1,329956.16,295478.06,371098.88,386096.5,348666.69
T000001,1994-03-31,1993-06-30,318077.3,293066.03,302114.2,303077.94,301925.62,322760.47,277287.06,278822.22,327291.97,280535.56,304618.082,289378.83
T000001,1994-06-30,1993-06-30,395346.34,361924.25,379184.38,336886.78,372000.3,371843.34,352851.5,370719.28,382566.03,373940.3,417078.1932,361884.6
T000001,1993-12-31,1993-09-30,447629.56,404648.66,370761.1,390797.38,371633.72,370371.2,367715.38,402283.06,378266.62,399900.84,386096.5,348666.69
T000001,1994-03-31,1993-09-30,351881.0,307762.47,294743.53,320774.75,300728.97,299869.44,300595.2,330473.06,326614.94,311251.78,304618.082,289378.83
T000001,1994-06-30,1993-09-30,474844.53,373296.4,381285.56,407046.16,371756.22,393024.2,391452.94,437549.6,362470.44,408450.06,417078.1932,361884.6
T000001,1994-09-30,1993-09-30,559567.1,540798.3,577195.8,571090.0,579054.44,560393.56,583915.56,587779.8,542907.1,575173.56,199405.116,540909.5
T000002,2005-03-31,2004-12-31,247211.1,265636.2,258324.53,242045.67,274631.9,309908.03,292271.16,289913.25,265869.28,257364.34,260754.0,219281.0
T000002,2005-06-30,2004-12-31,191276.77,268616.97,292205.06,231912.33,255538.2,318120.38,270243.94,302608.0,317117.4,240440.44,293599.0,263012.0
T000002,2005-09-30,2004-12-31,327966.5,269319.47,287693.6,297669.84,292048.4,328033.22,297485.38,299055.06,274087.12,244244.6,274916.0,263708.0
T000002,2005-12-31,2004-12-31,257877.11,305651.8,355160.28,312174.84,336000.72,338710.94,323233.72,318680.16,336846.28,357604.2,313820.0,305695.0
T000002,2005-06-30,2005-03-31,229092.66,263082.75,288842.7,254220.95,241931.06,246744.25,281082.78,277025.12,329269.8,277273.28,293599.0,263012.0
T000002,2005-09-30,2005-03-31,238169.69,263780.2,286031.62,278515.06,276466.28,282511.44,332544.44,273280.25,289524.12,284492.06,274916.0,263708.0
T000002,2005-12-31,2005-03-31,323439.7,305484.62,351577.53,354237.0,325579.56,302966.5,342321.12,298510.6,327563.25,317432.28,313820.0,305695.0
T000002,2006-03-31,2005-03-31,259096.81,260757.33,302901.25,335939.44,295814.72,278232.25,315157.75,263593.78,277127.84,280197.3,264012.0,260754.0
T000002,2005-09-30,2005-06-30,304479.44,278355.4,286003.38,249558.77,323439.88,293401.72,286495.7,308758.03,283896.84,293282.03,274916.0,263708.0
T000002,2005-12-31,2005-06-30,314486.25,304352.5,349036.25,285752.62,370784.4,323975.06,334504.34,325544.6,322406.62,365951.44,313820.0,305695.0
T000002,2006-03-31,2005-06-30,196697.97,263437.88,308840.7,299549.53,329555.56,308362.34,286348.84,291364.5,271243.34,299951.12,264012.0,260754.0
