unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000000_fold0_x0,1991-12-31,1991-09-30,7220.868,7554.362,7898.5693,7983.2676,7242.499,7252.906,6919.7324,7507.552,6670.975,10156.905,7145.835,6670.9731,0
T000000_fold0_x0,1992-03-31,1991-09-30,5524.9077,5903.985,5198.6665,5562.6436,5714.373,5050.4346,-122.30469,5518.1597,5117.589,8582.689,5465.9154,5117.5793,0
T000000_fold0_x0,1992-06-30,1991-09-30,10383.015,9733.9795,10381.357,9713.461,8734.338,9876.856,5965.997,11749.956,8526.838,13889.404,9303.35,8526.838,0
T000000_fold0_x0,1992-09-30,1991-09-30,16544.805,17765.93,15961.579,18168.666,17087.094,17943.3,16348.838,17467.363,16595.385,18357.754,16747.1845,16595.3848,0
T000001_fold0_x1,1991-12-31,1991-09-30,321285.72,329931.12,344507.6,342387.0,320546.72,331500.84,309517.34,348361.3,311722.6,378740.06,326568.18,311722.56,0
T000001_fold0_x1,1992-03-31,1991-09-30,302344.56,276839.3,268985.25,268875.2,278141.62,258455.34,66679.78,277377.25,247941.2,324119.6,269902.06,247941.03,0
T000001_fold0_x1,1992-06-30,1991-09-30,341451.0,332904.38,357851.2,330922.25,320024.8,339204.78,231655.11,391002.7,308605.75,410506.06,343546.41,308605.74,0
T000001_fold0_x1,1992-09-30,1991-09-30,495332.56,508640.88,479253.94,518600.2,494682.38,519760.5,473895.0,521705.06,487843.4,521488.5,511731.1,487843.4,0
T000013_fold0_x2,2004-03-31,2003-12-31,1816189.0,2375644.0,2324865.8,2428016.0,2503671.5,2471831.5,2725402.2,2060753.2,2130761.0,1967262.5,2919108.0,2130761.0,0
T000013_fold0_x2,2004-06-30,2003-12-31,1669430.5,1759386.6,1642728.5,1646695.4,1984962.0,1686043.2,1275254.2,1470155.0,1104601.6,1684627.9,2749023.0,1104599.0,0
T000013_fold0_x2,2004-09-30,2003-12-31,2768289.0,2674727.5,2433657.8,2444768.5,2753557.2,2733319.8,2221215.0,2377065.0,2401131.0,2396740.0,3311344.0,2401131.0,0
T000013_fold0_x2,2004-12-31,2003-12-31,3043702.2,3081188.5,2830058.2,3041814.2,2951181.5,3021771.8,3019077.5,3206489.5,2830720.0,3077229.8,3266387.0,2830720.0,0
T000014_fold0_x3,2004-03-31,2003-12-31,19673.547,20240.11,21746.893,21937.36,22231.658,22941.197,24017.508,20215.074,21314.25,17313.793,23208.85,21314.25,0
T000014_fold0_x3,2004-06-30,2003-12-31,16404.21,14253.393,13287.867,12881.027,21422.484,17063.074,5977.0244,7929.6816,6062.7544,11211.409,22829.93,6062.72,0
T000014_fold0_x3,2004-09-30,2003-12-31,23434.416,22001.916,22146.781,20917.463,25404.273,23110.895,16803.729,16971.861,21503.71,16504.912,24061.42,21503.71,0
T000014_fold0_x3,2004-12-31,2003-12-31,29837.902,25872.898,25662.86,27138.63,27793.809,25817.346,25086.227,26916.158,24250.88,26751.639,25766.56,24250.88,0
T000015_fold0_x4,2004-03-31,2003-12-31,38595.34,37238.57,39834.04,40386.29,40899.242,41981.387,44007.914,36745.242,39475.0,33140.008,40589.02,39475.0,0
T000015_fold0_x4,2004-06-30,2003-12-31,30497.062,26859.379,25406.006,24362.994,37989.465,31780.266,12751.575,16759.697,12632.059,20416.21,41456.37,12632.0,0
T000015_fold0_x4,2004-09-30,2003-12-31,41025.4,39868.277,40384.39,37780.297,46390.71,41247.79,31856.488,32445.379,38527.6,26934.078,43929.66,38527.6,0
T000015_fold0_x4,2004-12-31,2003-12-31,52796.734,45141.984,44718.28,46900.324,48193.316,44949.83,44463.55,46809.22,42306.48,46248.383,44795.07,42306.48,0
T000016_fold0_x5,2004-03-31,2003-12-31,27922.137,26964.816,28953.758,29247.867,29778.275,30552.615,32013.656,26989.059,28162.2,23006.205,27856.2,28162.2,0
T000016_fold0_x5,2004-06-30,2003-12-31,21868.262,19029.848,17734.79,17231.162,27154.46,22581.578,9441.271,11336.229,8248.364,14199.744,28882.24,8248.32,0
T000016_fold0_x5,2004-09-30,2003-12-31,29703.275,29234.07,29187.643,27707.004,33718.45,30129.252,23615.252,22746.97,28410.88,19965.62,30120.3,28410.88,0
T000016_fold0_x5,2004-12-31,2003-12-31,37589.625,32919.22,32462.023,34166.24,34652.36,32695.205,32335.648,34372.125,30816.64,33897.043,30458.72,30816.64,0
T000021_fold0_x6,2003-09-30,2003-06-30,2537.3047,2809.7336,2709.823,2647.7854,2844.6611,2767.641,2797.1052,2721.834,2466.0,2452.5603,2916.0,2466.0,0
T000021_fold0_x6,2003-12-31,2003-06-30,1663.5237,1820.6173,1722.7427,1636.4746,1831.1227,1745.175,917.7992,1919.5009,1693.0,1737.2062,1969.0,1693.0,0
T000021_fold0_x6,2004-03-31,2003-06-30,1643.0677,1818.3341,1706.5629,1684.6191,1770.3466,1813.9292,1411.5531,1825.9747,1671.0,1652.3818,1817.0,1671.0,0
