unique_id,ds,cutoff,DLinear,DeepNPTS,KAN,MLP,NBEATS,NHITS,NLinear,PatchTST,TFT,TiDE,y,SeasonalNaive
T000000,1992-12-31,1992-09-30,3078.016,7145.849,7201.72,7510.3706,7283.2266,7013.96,7735.452,9776.879,8867.598,8970.064,6915.52,7145.835
T000000,1993-03-31,1992-09-30,10368.988,5465.9155,5660.658,5846.5605,5724.006,5539.411,5538.6104,7311.9414,7823.5015,5921.2007,5696.01,5465.9154
T000000,1993-06-30,1992-09-30,4621.59,9303.35,9623.501,9824.367,9309.641,12374.526,10110.021,12678.285,10927.176,11099.949,9507.025,9303.35
T000000,1993-09-30,1992-09-30,11329.186,16747.184,17849.809,18167.654,18084.46,17538.084,18080.13,18924.86,18148.012,15634.584,17469.63,16747.1845
T000000,1993-03-31,1992-12-31,-1154.5269,5465.9175,5593.3477,5804.051,5607.6626,5345.2134,4981.9775,8982.113,6298.541,7160.1997,5696.01,5465.9154
T000000,1993-06-30,1992-12-31,15008.405,9303.35,9443.784,9091.989,9284.892,9237.457,9443.258,9379.723,10154.63,10408.063,9507.025,9303.35
T000000,1993-09-30,1992-12-31,11256.057,16747.184,17509.123,17477.19,17742.086,16766.59,16228.52,14025.545,17174.424,14266.222,17469.63,16747.1845
T000000,1993-12-31,1992-12-31,21.211426,6915.52,7417.0566,8307.797,7770.492,7081.177,7178.996,7496.2544,8573.497,8824.149,7672.665,6915.52
T000000,1993-06-30,1993-03-31,2177.6584,9303.344,9182.305,9430.184,9420.472,8600.375,9261.728,9859.194,11389.352,9293.996,9507.025,9303.35
T000000,1993-09-30,1993-03-31,19817.742,16747.184,17310.387,17223.582,17462.383,16690.818,16831.646,15378.653,15887.231,16631.998,17469.63,16747.1845
T000000,1993-12-31,1993-03-31,548.854,6915.52,7016.4326,8519.4795,7516.01,7080.2334,7050.2627,6143.0117,7050.301,9114.498,7672.665,6915.52
T000000,1994-03-31,1993-03-31,-4522.3184,5696.01,5822.1484,6682.1406,6047.3135,6033.0146,4630.314,7469.578,6194.7295,4907.832,6407.285,5696.01
T000000,1993-09-30,1993-06-30,13149.041,16747.172,17417.445,16418.428,16972.2,17713.574,16932.453,14511.884,16207.82,14624.809,17469.63,16747.1845
T000000,1993-12-31,1993-06-30,14461.364,6915.52,7446.0083,6600.283,7361.1494,6904.795,7022.3926,6082.966,7087.8457,8675.981,7672.665,6915.52
T000000,1994-03-31,1993-06-30,2446.3184,5696.01,5775.8677,6234.1953,5872.5713,6481.918,5417.6953,4678.5127,7950.35,6803.445,6407.285,5696.01
T000000,1994-06-30,1993-06-30,2548.9219,9507.025,9780.457,10919.009,9715.214,9407.685,9239.712,9761.063,10683.408,12340.954,10330.3,9507.025
T000000,1993-12-31,1993-09-30,3439.272,6915.5356,7429.955,7479.9834,7482.1816,7265.005,7922.881,9994.826,8654.568,9300.066,7672.665,6915.52
T000000,1994-03-31,1993-09-30,11166.521,5696.01,5839.5186,6044.87,5866.623,6072.038,5796.9287,7552.9854,7708.144,5963.4004,6407.285,5696.01
T000000,1994-06-30,1993-09-30,5286.71,9507.025,10044.27,10297.338,9671.644,13373.227,10657.729,13295.526,12498.616,11453.997,10330.3,9507.025
T000000,1994-09-30,1993-09-30,11936.012,17469.63,18555.918,18658.129,18845.656,18318.193,18779.805,19779.78,18122.682,15801.602,6995.05,17469.63
T000001,1992-12-31,1992-09-30,155178.98,326568.44,337873.38,341659.22,339124.34,346314.66,356039.25,376701.0,360592.2,368855.78,348666.69,326568.18
T000001,1993-03-31,1992-09-30,461885.38,269902.06,279598.75,280812.34,285185.94,278974.38,282119.3,309961.8,324428.44,291513.44,289378.83,269902.06
T000001,1993-06-30,1992-09-30,154825.47,343546.4,351464.6,356742.25,344767.6,369752.75,362173.84,414313.2,360359.84,384016.88,361884.6,343546.41
T000001,1993-09-30,1992-09-30,257002.55,511731.1,539987.5,543759.8,540052.56,529194.8,538561.0,556839.6,547751.3,499948.44,540909.5,511731.1
T000001,1993-03-31,1992-12-31,68421.055,269902.16,288886.88,289892.75,285755.44,298215.75,282316.06,352373.22,286500.47,321670.6,289378.83,269902.06
T000001,1993-06-30,1992-12-31,570345.06,343546.4,353855.72,354824.78,354832.3,341671.47,360051.38,364664.94,359099.12,375940.75,361884.6,343546.41
T000001,1993-09-30,1992-12-31,323180.56,511731.1,544232.4,546855.25,540843.5,525081.06,510683.56,482515.25,519976.8,469055.53,540909.5,511731.1
T000001,1993-12-31,1992-12-31,78407.79,348666.7,366277.62,390420.3,371069.0,364165.7,360631.25,362319.3,396886.94,384376.22,386096.5,348666.69
T000001,1993-06-30,1993-03-31,108555.26,343546.3,361500.4,361737.5,358925.28,330371.28,354124.94,366003.7,336020.78,357151.53,361884.6,343546.41
T000001,1993-09-30,1993-03-31,695285.8,511731.1,548358.9,535031.6,539563.2,517476.94,525580.0,480089.44,506675.56,523797.53,540909.5,511731.1
T000001,1993-12-31,1993-03-31,129863.0,348666.7,373374.56,379034.84,373275.4,360200.75,350330.06,305133.44,355488.34,383120.16,386096.5,348666.69
T000001,1994-03-31,1993-03-31,-51650.41,289378.84,305385.7,323778.66,306883.78,305877.12,271484.8,321645.72,309810.56,287439.03,304618.082,289378.83
T000001,1993-09-30,1993-06-30,331413.7,511730.88,550388.1,520795.5,538599.0,553295.5,527159.0,458919.75,511941.56,473947.7,540909.5,511731.1
T000001,1993-12-31,1993-06-30,606819.4,348666.7,365734.66,342310.78,366746.75,367356.8,358484.75,329956.16,347661.16,390254.03,386096.5,348666.69
T000001,1994-03-31,1993-06-30,125279.94,289378.84,302114.2,308988.0,301925.62,322760.47,288093.16,278822.22,306178.78,322841.62,304618.082,289378.83
