unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
T000007_fold0_x0,2004-03-31,2003-12-31,278501.62,277666.47,205170.89,245147.42,273764.75,270639.8,278396.03,308155.84,294057.3,335190.78,220047.0,325431.0,0
T000007_fold0_x0,2004-06-30,2003-12-31,237316.02,184198.98,148443.06,63905.36,254248.2,251781.52,273880.75,28523.062,101045.7,179198.39,256814.0,47552.0,0
T000007_fold0_x0,2004-09-30,2003-12-31,278387.38,273000.34,253196.73,183338.92,299155.47,279687.62,371416.53,20724.312,237446.34,236843.66,317836.0,232277.0,0
T000007_fold0_x0,2004-12-31,2003-12-31,288743.88,314225.97,236760.12,251603.5,295515.03,323369.06,334738.1,295716.44,261801.6,291516.4,331553.0,261900.0,0
T000010_fold0_x1,2004-03-31,2003-12-31,70267.34,71798.086,47900.062,69204.06,71330.31,71409.14,91101.29,69135.81,85773.57,79683.06,74919.0,71828.0,0
T000010_fold0_x1,2004-06-30,2003-12-31,78213.28,58011.363,46501.098,23370.18,89175.73,79789.21,95959.79,18594.758,55772.914,37366.75,118625.0,15060.0,0
T000010_fold0_x1,2004-09-30,2003-12-31,90613.32,84701.375,80507.195,72881.61,93171.2,94142.64,118065.34,40813.137,88783.68,74834.7,109970.0,75450.0,0
T000010_fold0_x1,2004-12-31,2003-12-31,113700.59,116813.48,96564.05,104389.85,119629.17,113113.91,103479.914,108851.41,103281.97,108252.28,160406.0,103391.0,0
T000013_fold0_x2,2004-03-31,2003-12-31,2312037.0,2338852.0,2221035.0,2092089.5,2514485.0,2534082.2,1617428.8,2419320.2,2339272.8,2289775.2,2919108.0,2130761.0,0
T000013_fold0_x2,2004-06-30,2003-12-31,1948033.9,1778011.2,1808948.5,1276789.2,2004069.9,2170228.2,1803745.9,1350905.9,1510679.0,1563238.8,2749023.0,1104599.0,0
T000013_fold0_x2,2004-09-30,2003-12-31,2809647.0,2683795.2,2311054.8,2343532.8,2920005.0,2852335.8,2026868.0,1677159.5,2481853.2,2388542.2,3311344.0,2401131.0,0
T000013_fold0_x2,2004-12-31,2003-12-31,2921705.0,3004763.0,2886604.0,2854964.8,3096680.0,2959244.2,2526904.0,3075375.8,2828506.2,2916634.5,3266387.0,2830720.0,0
T000015_fold0_x3,2004-03-31,2003-12-31,37772.49,38227.527,32753.104,33710.547,40273.273,35017.156,35642.926,41544.047,40459.207,42668.062,40589.02,39475.0,0
T000015_fold0_x3,2004-06-30,2003-12-31,34727.125,28277.758,25522.629,15404.072,37114.71,30625.588,35293.793,12879.9,31382.395,25674.428,41456.37,12632.0,0
T000015_fold0_x3,2004-09-30,2003-12-31,42936.93,41434.984,37123.44,34476.83,45302.72,37357.527,40051.242,14227.547,40969.406,35956.273,43929.66,38527.6,0
T000015_fold0_x3,2004-12-31,2003-12-31,43472.71,45842.56,40651.12,41868.062,47837.918,41404.188,41251.66,45341.816,42291.965,44408.273,44795.07,42306.48,0
T000017_fold0_x4,2004-03-31,2003-12-31,10068.021,10124.116,9794.99,9362.627,11817.602,11246.357,8972.053,10988.746,11159.833,11262.063,11434.31,10555.3,0
T000017_fold0_x4,2004-06-30,2003-12-31,7985.666,7564.8105,8336.026,4514.6313,9029.582,9277.566,7162.1875,3819.2217,8946.708,6657.6357,11921.31,3763.35,0
T000017_fold0_x4,2004-09-30,2003-12-31,11517.756,10965.921,10601.051,9432.529,12539.043,11443.482,10040.657,4508.2617,11346.606,9427.49,13012.75,10273.13,0
T000017_fold0_x4,2004-12-31,2003-12-31,12229.217,12692.369,11393.159,11814.341,13476.811,12142.549,11492.023,12665.6045,11868.946,12331.826,13669.53,11874.81,0
T000020_fold0_x5,2003-09-30,2003-06-30,2729.687,3045.8354,2949.7422,2680.181,2952.6494,3046.3347,2279.1624,3009.6785,2774.2156,2777.6218,3023.0,2870.0,0
T000020_fold0_x5,2003-12-31,2003-06-30,2131.1904,2352.904,2388.6658,2269.6826,2372.9607,2200.7764,2188.148,2449.914,2296.8645,2364.5562,2245.0,2260.0,0
T000020_fold0_x5,2004-03-31,2003-06-30,2602.4495,2679.6003,2431.8665,2314.2307,2561.1016,2629.5024,2359.8464,2534.7798,2421.7847,2344.8235,2421.0,2408.0,0
T000020_fold0_x5,2004-06-30,2003-06-30,2745.1123,2772.2124,2801.4365,2529.8494,2764.5608,2766.0952,2848.113,2659.0679,2558.703,2608.6462,2853.0,2559.0,0
T000022_fold0_x6,2003-09-30,2003-06-30,2017.5142,2027.8289,2139.7822,2028.6063,2023.169,2040.0323,1919.2601,2096.4412,2028.5891,1994.0093,2047.0,2064.0,0
T000022_fold0_x6,2003-12-31,2003-06-30,1899.2117,1916.5583,2031.5594,1949.9441,1914.5974,1904.0322,1842.1138,1945.9651,1955.0227,1931.1674,1958.0,1961.0,0
T000022_fold0_x6,2004-03-31,2003-06-30,1922.1566,1869.1066,1979.7897,1842.5598,1861.4996,1887.8325,1921.1887,1916.2452,1856.403,1821.6444,1795.0,1848.0,0
T000022_fold0_x6,2004-06-30,2003-06-30,1972.8708,1987.565,2077.1353,1920.8313,2000.239,1993.4556,2020.3837,2017.6354,1927.8807,1948.3502,2043.0,1928.0,0
T000024_fold0_x7,2003-09-30,2003-06-30,4648.6206,4964.047,5164.881,4743.1353,4922.299,4586.564,4482.0625,5283.4814,4692.3413,4667.6655,4797.0,4906.0,0
T000024_fold0_x7,2003-12-31,2003-06-30,3856.6243,3871.6973,4046.7087,4066.81,4001.5303,3927.6855,3936.2432,4253.3955,4120.121,3913.5469,4203.0,4132.0,0
T000024_fold0_x7,2004-03-31,2003-06-30,3692.2632,3555.9373,3502.7117,3397.172,3624.2834,3467.6968,4507.8784,3689.2668,3496.0076,3265.1377,3697.0,3386.0,0
T000024_fold0_x7,2004-06-30,2003-06-30,4366.016,4404.478,4453.9194,4157.414,4474.502,4292.2554,5481.6484,4293.195,4198.6533,4327.488,4806.0,4201.0,0
T000029_fold0_x8,2003-09-30,2003-06-30,2772.6174,2879.5696,3014.874,2704.698,2917.449,2812.9983,2577.178,2976.2705,2704.2148,2700.6318,2875.0,2793.0,0
T000029_fold0_x8,2003-12-31,2003-06-30,2350.342,2443.3784,2517.5688,2399.0017,2500.3093,2308.7637,2167.3914,2514.5093,2422.3633,2315.65,2583.0,2417.0,0
T000029_fold0_x8,2004-03-31,2003-06-30,2358.721,2271.9922,2297.5615,2188.7366,2278.7947,2165.3364,2431.5947,2474.0642,2237.7495,2113.6982,2424.0,2201.0,0
T000029_fold0_x8,2004-06-30,2003-06-30,2554.2236,2541.3015,2597.9937,2486.2632,2570.4712,2548.76,2836.2383,2584.268,2504.2104,2544.3557,2715.0,2505.0,0
T000030_fold0_x9,2003-09-30,2003-06-30,1309.1848,1373.4563,1390.6237,1224.7931,1354.5627,1337.0776,1056.6874,1363.7468,1225.3978,1340.5951,1298.0,1313.0,0
T000030_fold0_x9,2003-12-31,2003-06-30,654.3454,705.582,721.9078,700.203,712.14594,664.9964,645.894,733.62805,739.32336,677.26917,711.0,704.0,0
T000030_fold0_x9,2004-03-31,2003-06-30,575.1805,545.7058,551.53156,516.1023,526.8332,493.28702,887.54645,738.24054,570.9509,440.73334,547.0,513.0,0
T000030_fold0_x9,2004-06-30,2003-06-30,1086.4553,1117.2893,1087.8749,1044.4337,1121.022,1108.8634,1390.1532,1066.1384,1060.2473,1114.523,1140.0,1062.0,0
