unique_id,ds,cutoff,DLinear,DeepNPTS,KAN,MLP,NBEATS,NHITS,NLinear,PatchTST,TFT,TiDE,y,SeasonalNaive
T000000,1992-12-31,1992-09-30,10734.005,7145.849,7201.72,8018.534,7454.1685,7013.96,9543.967,9776.879,8117.127,8442.535,6915.52,7145.835
T000000,1993-03-31,1992-09-30,9990.296,5465.9155,5660.658,6648.301,5741.036,5539.411,6202.575,7311.9414,7007.936,6066.591,5696.01,5465.9154
T000000,1993-06-30,1992-09-30,13317.969,9303.35,9623.501,11123.413,9811.02,12374.526,10980.1875,12678.285,9617.403,11257.423,9507.025,9303.35
T000000,1993-09-30,1992-09-30,15381.078,16747.184,17849.809,18024.25,17844.781,17538.084,17051.35,18924.86,16942.26,18054.959,17469.63,16747.1845
T000000,1993-03-31,1992-12-31,6174.8877,5465.9175,5593.3477,5426.589,5445.6396,5345.2134,4547.7075,8982.113,5240.5835,4603.619,5696.01,5465.9154
T000000,1993-06-30,1992-12-31,10648.525,9303.35,9443.784,9287.717,9343.267,9237.457,9590.935,9379.723,11344.195,10345.582,9507.025,9303.35
T000000,1993-09-30,1992-12-31,15764.131,16747.184,17509.123,19408.111,17336.764,16766.59,15270.463,14025.545,18175.441,15701.166,17469.63,16747.1845
T000000,1993-12-31,1992-12-31,11925.384,6915.52,7417.0566,7139.4736,7578.3833,7081.177,6914.4185,7496.2544,7050.552,8255.543,7672.665,6915.52
T000000,1993-06-30,1993-03-31,9884.45,9303.344,9182.305,10780.135,9278.491,8600.375,10661.906,9859.194,5732.5977,10652.258,9507.025,9303.35
T000000,1993-09-30,1993-03-31,8914.005,16747.184,17310.387,19669.654,17193.383,16690.818,15925.209,15378.653,14439.925,16861.277,17469.63,16747.1845
T000000,1993-12-31,1993-03-31,14491.354,6915.52,7016.4326,8790.246,7557.1445,7080.2334,7882.96,6143.0117,6447.058,8906.923,7672.665,6915.52
T000000,1994-03-31,1993-03-31,10836.011,5696.01,5822.1484,6437.9834,5917.188,6033.0146,5841.6265,7469.578,5714.833,5354.2837,6407.285,5696.01
T000000,1993-09-30,1993-06-30,12482.521,16747.172,17417.445,15969.391,16696.656,17713.574,13920.416,14511.884,15784.556,17127.793,17469.63,16747.1845
T000000,1993-12-31,1993-06-30,5895.1064,6915.52,7446.0083,6607.2715,7183.5225,6904.795,6749.469,6082.966,5026.2197,7568.14,7672.665,6915.52
T000000,1994-03-31,1993-06-30,9425.721,5696.01,5775.8677,5930.151,5785.6934,6481.918,4547.9233,4678.5127,6894.6416,4572.6455,6407.285,5696.01
T000000,1994-06-30,1993-06-30,16049.887,9507.025,9780.457,8277.557,9900.125,9407.685,9066.965,9761.063,10565.556,9561.539,10330.3,9507.025
T000000,1993-12-31,1993-09-30,11335.739,6915.5356,7429.955,8328.295,7432.1855,7265.005,9678.43,9994.826,8129.7617,8701.276,7672.665,6915.52
T000000,1994-03-31,1993-09-30,9768.342,5696.01,5839.5186,6848.8057,5890.707,6072.038,6470.533,7552.9854,7262.54,6116.684,6407.285,5696.01
T000000,1994-06-30,1993-09-30,13723.955,9507.025,10044.27,11512.759,10262.918,13373.227,11414.314,13295.526,9901.822,11616.621,10330.3,9507.025
T000000,1994-09-30,1993-09-30,15919.118,17469.63,18555.918,18388.008,18356.023,18318.193,17821.22,19779.78,17246.172,18703.428,6995.05,17469.63
T000001,1992-12-31,1992-09-30,373279.47,326568.44,337873.38,344815.16,347426.72,346314.66,371451.38,376701.0,348096.97,362071.22,348666.69,326568.18
T000001,1993-03-31,1992-09-30,366632.97,269902.06,279598.75,300086.4,280438.1,278974.38,284741.12,309961.8,325211.06,296523.62,289378.83,269902.06
T000001,1993-06-30,1992-09-30,413983.56,343546.4,351464.6,385631.03,353022.56,369752.75,376997.8,414313.2,356825.3,380575.84,361884.6,343546.41
T000001,1993-09-30,1992-09-30,480475.38,511731.1,539987.5,537504.6,537581.2,529194.8,517160.56,556839.6,522794.78,546506.3,540909.5,511731.1
T000001,1993-03-31,1992-12-31,295512.38,269902.16,288886.88,296402.7,284024.3,298215.75,264395.34,352373.22,300103.28,284363.22,289378.83,269902.06
T000001,1993-06-30,1992-12-31,381626.4,343546.4,353855.72,364856.56,353276.4,341671.47,352879.78,364664.94,400210.8,375797.44,361884.6,343546.41
T000001,1993-09-30,1992-12-31,476435.3,511731.1,544232.4,596825.9,536568.9,525081.06,490719.25,482515.25,581536.75,494481.2,540909.5,511731.1
T000001,1993-12-31,1992-12-31,426351.28,348666.7,366277.62,392910.12,369920.38,364165.7,350276.7,362319.3,355726.47,384786.03,386096.5,348666.69
T000001,1993-06-30,1993-03-31,352185.97,343546.3,361500.4,372593.94,350823.84,330371.28,370649.7,366003.7,311321.56,386972.2,361884.6,343546.41
T000001,1993-09-30,1993-03-31,354452.53,511731.1,548358.9,570212.4,533241.2,517476.94,497104.7,480089.44,531472.5,527026.8,540909.5,511731.1
T000001,1993-12-31,1993-03-31,460502.25,348666.7,373374.56,390579.97,368798.47,360200.75,364155.0,305133.44,326362.38,387224.16,386096.5,348666.69
T000001,1994-03-31,1993-03-31,388636.28,289378.84,305385.7,321834.25,306853.75,305877.12,292744.22,321645.72,295575.75,297132.78,304618.082,289378.83
T000001,1993-09-30,1993-06-30,413704.6,511730.88,550388.1,493351.84,530851.1,553295.5,463110.72,458919.75,519312.3,536001.1,540909.5,511731.1
T000001,1993-12-31,1993-06-30,292530.03,348666.7,365734.66,341133.16,360319.16,367356.8,342599.47,329956.16,295478.06,371098.88,386096.5,348666.69
T000001,1994-03-31,1993-06-30,358961.44,289378.84,302114.2,303077.94,300040.12,322760.47,271478.78,278822.22,327291.97,280535.56,304618.082,289378.83
T000001,1994-06-30,1993-06-30,483135.78,361884.6,379184.38,336886.78,377185.3,371843.34,353994.5,370719.28,382566.03,373940.3,417078.1932,361884.6
T000001,1993-12-31,1993-09-30,409129.12,348666.94,370761.1,390797.38,366367.56,370371.2,396115.5,402283.06,378266.62,399900.84,386096.5,348666.69
T000001,1994-03-31,1993-09-30,358235.6,289378.84,294743.53,320774.75,299941.5,299869.44,304630.75,330473.06,326614.94,311251.78,304618.082,289378.83
T000001,1994-06-30,1993-09-30,436897.3,361884.6,381285.56,407046.16,379001.2,393024.2,397528.56,437549.6,362470.44,408450.06,417078.1932,361884.6
T000001,1994-09-30,1993-09-30,509301.56,540909.5,577195.8,571090.0,565918.75,560393.56,546606.4,587779.8,542907.1,575173.56,199405.116,540909.5
