unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,fold,SeasonalNaive
T000000,1991-12-31,1991-09-30,7753.911,7095.6504,7013.406,9582.889,7022.3896,7829.1094,10965.146,6294.503,6670.974,12631.098,7145.835,0,6670.9731
T000000,1992-03-31,1991-09-30,5755.972,5618.5244,5543.917,6290.3223,5658.102,6502.5947,7472.9707,5173.881,5117.5796,7004.717,5465.9154,0,5117.5793
T000000,1992-06-30,1991-09-30,8976.275,9287.266,9392.596,10737.667,8670.176,9710.512,15120.363,12679.954,8526.838,9814.441,9303.35,0,8526.838
T000000,1992-09-30,1991-09-30,16435.51,17531.645,17987.707,17122.312,16963.371,18413.264,17593.527,16966.172,16595.385,18728.135,16747.1845,0,16595.3848
T000001,1991-12-31,1991-09-30,316002.94,321616.78,312721.66,361911.75,315844.1,342507.1,391500.6,317040.88,311722.6,428450.7,326568.18,0,311722.56
T000001,1992-03-31,1991-09-30,284143.88,274110.47,266078.4,270759.44,278488.2,301238.5,305585.94,272295.25,247941.05,294568.2,269902.06,0,247941.03
T000001,1992-06-30,1991-09-30,320368.62,328039.2,335222.88,350099.66,322896.03,342292.66,479991.56,362698.5,308605.75,338017.88,343546.41,0,308605.74
T000001,1992-09-30,1991-09-30,488371.2,505667.75,507349.8,496988.66,489243.72,522671.12,535847.25,493077.6,487843.4,530231.0,511731.1,0,487843.4
T000002,2004-03-31,2003-12-31,225883.7,201082.8,203998.44,180957.77,198364.58,202180.75,236392.88,207991.33,212578.0,277643.22,219281.0,0,212578.0
T000002,2004-06-30,2003-12-31,218559.88,150427.22,178119.83,57798.562,225880.73,200986.83,210034.9,205609.53,42304.008,106551.59,263012.0,0,42304.0
T000002,2004-09-30,2003-12-31,271742.25,212260.44,211843.5,171948.56,233136.31,215247.28,264752.16,206409.56,188983.0,143774.72,263708.0,0,188983.0
T000002,2004-12-31,2003-12-31,280077.4,273138.34,259222.55,236014.67,263626.28,246483.56,282543.34,242570.27,239926.0,258325.56,305695.0,0,239926.0
T000003,2004-03-31,2003-12-31,60280.71,56006.48,55657.25,55104.098,59896.266,57423.03,66880.41,57515.227,63192.0,79044.9,58812.0,0,63192.0
T000003,2004-06-30,2003-12-31,40500.97,37483.375,43977.09,19556.824,51753.695,46453.742,51075.676,52721.86,16254.001,31498.451,63616.0,0,16254.0
T000003,2004-09-30,2003-12-31,51473.68,48200.11,50986.305,39962.918,50750.312,49377.746,70602.055,54846.953,43384.0,33968.023,63246.0,0,43384.0
T000003,2004-12-31,2003-12-31,66046.63,71733.09,69392.08,62907.953,70007.65,68902.72,82027.39,65221.26,63979.0,68994.164,88251.0,0,63979.0
T000004,2004-03-31,2003-12-31,79434.09,75384.1,77940.02,70855.3,79811.305,76312.26,88229.2,79523.33,83535.0,108022.95,86579.0,0,83535.0
T000004,2004-06-30,2003-12-31,65948.51,52801.344,65595.26,24095.695,74749.35,68381.67,71552.09,75848.29,19229.002,42513.098,99266.0,0,19229.0
T000004,2004-09-30,2003-12-31,83145.61,72122.6,77572.68,58926.188,80292.48,74449.984,92878.68,75834.15,65387.0,50200.99,100165.0,0,65387.0
T000004,2004-12-31,2003-12-31,94544.266,95910.164,92469.625,84430.99,94830.22,88291.99,100788.75,86430.375,86103.0,92532.73,122930.0,0,86103.0
T000005,2004-03-31,2003-12-31,90119.055,87011.81,85518.41,84880.34,93589.61,88133.56,104456.9,91890.36,98688.99,125618.8,103716.0,0,98689.0
T000005,2004-06-30,2003-12-31,58054.93,49430.684,63943.484,24196.953,73252.19,65828.64,72135.08,77535.125,18613.002,44498.023,91466.0,0,18613.0
T000005,2004-09-30,2003-12-31,77736.07,69869.37,78209.17,58539.55,73561.21,73049.91,107535.45,84628.61,64353.0,48487.855,91010.0,0,64353.0
T000005,2004-12-31,2003-12-31,103335.984,109995.79,106232.58,97828.586,108552.7,103145.04,118526.21,103318.2,99663.0,108198.4,125095.0,0,99663.0
T000006,2004-03-31,2003-12-31,39802.68,34708.38,34263.07,33787.516,34550.004,35974.484,42643.023,36649.27,38225.0,49149.457,36860.0,0,38225.0
T000006,2004-06-30,2003-12-31,29580.484,24068.322,29646.486,9447.66,36512.113,35097.67,32427.143,35160.445,6654.001,17589.82,39977.0,0,6654.0
