unique_id,ds,cutoff,TFT_0,TFT_1,TFT_2,TFT_3,TFT_4,TFT_5,TFT_6,TFT_7,TFT_8,TFT_9,TFT_10,TFT_11,TFT_12,TFT_13,TFT_14,NBEATS_0,NBEATS_1,NBEATS_2,NBEATS_3,NBEATS_4,NBEATS_5,NBEATS_6,NBEATS_7,NBEATS_8,NBEATS_9,NBEATS_10,NBEATS_11,NBEATS_12,NBEATS_13,NBEATS_14,TiDE_0,TiDE_1,TiDE_2,TiDE_3,TiDE_4,TiDE_5,TiDE_6,TiDE_7,TiDE_8,TiDE_9,TiDE_10,TiDE_11,TiDE_12,TiDE_13,TiDE_14,NLinear_0,NLinear_1,NLinear_2,NLinear_3,NLinear_4,NLinear_5,NLinear_6,NLinear_7,NLinear_8,NLinear_9,NLinear_10,NLinear_11,NLinear_12,NLinear_13,NLinear_14,KAN_0,KAN_1,KAN_2,KAN_3,KAN_4,KAN_5,KAN_6,KAN_7,KAN_8,KAN_9,KAN_10,KAN_11,KAN_12,KAN_13,KAN_14,MLP_0,MLP_1,MLP_2,MLP_3,MLP_4,MLP_5,MLP_6,MLP_7,MLP_8,MLP_9,MLP_10,MLP_11,MLP_12,MLP_13,MLP_14,DLinear_0,DLinear_1,DLinear_2,DLinear_3,DLinear_4,DLinear_5,DLinear_6,DLinear_7,DLinear_8,DLinear_9,DLinear_10,DLinear_11,DLinear_12,DLinear_13,DLinear_14,NHITS_0,NHITS_1,NHITS_2,NHITS_3,NHITS_4,NHITS_5,NHITS_6,NHITS_7,NHITS_8,NHITS_9,NHITS_10,NHITS_11,NHITS_12,NHITS_13,NHITS_14,DeepNPTS_0,DeepNPTS_1,DeepNPTS_2,DeepNPTS_3,DeepNPTS_4,DeepNPTS_5,DeepNPTS_6,DeepNPTS_7,DeepNPTS_8,DeepNPTS_9,DeepNPTS_10,DeepNPTS_11,DeepNPTS_12,DeepNPTS_13,DeepNPTS_14,PatchTST_0,PatchTST_1,PatchTST_2,PatchTST_3,PatchTST_4,PatchTST_5,PatchTST_6,PatchTST_7,PatchTST_8,PatchTST_9,PatchTST_10,PatchTST_11,PatchTST_12,PatchTST_13,PatchTST_14,y,SeasonalNaive,fold
T000005_fold0_x0,1979-12-31,1979-11-30,1000.76715,974.6276,363.41394,468.28064,2516.0718,1202.4822,513.985,579.57654,599.62024,1578.8271,1437.293,15.856397,683.23926,1265.4714,576.781,707.2998,848.2622,635.29736,705.61694,245227.48,152.65918,844.428,707.0967,620.03064,-16820.598,462077.38,1148.5714,774.4783,-42137.527,-19870.158,9085.401,3473.3594,695.8816,959.44324,-750234.44,-190776.56,3466.6392,907.02466,1140.5688,1904.8171,-1971407.6,1237.0017,1326.8822,37786388.0,1460.2428,1308.1785,-556.91504,842.61646,973.22424,32.862305,2446.143,-541.2964,287.16443,-380.51123,1220.8398,580.63574,-1212.1498,906.2381,-6.319702,524.65466,975.9505,448.08386,360.28748,428.5421,1488.3492,277.07153,916.9632,-308.91162,320.46765,877.13806,837.3616,1650.0337,242.177,-72.46875,513.2632,821.20154,1189.0488,760.84753,635.54175,2195.2358,1344.3716,476.6394,642.6603,811.45703,1834.7059,2519.2646,1752.4443,653.8135,1131.6001,1600.284,2398.0828,1819.5986,2985.2954,2914.4917,1569.4281,2333.6143,1836.7429,2504.7556,3140.622,1669.9873,1762.3936,-1715.4832,1644.2456,1507.7811,1123.7966,810.6101,977.90906,672.7163,608.1775,-65191.55,658.42725,668.05896,634.1682,605.6858,590935.06,61092840.0,1256.947,919.50116,1022.7088,12410.678,1334.008,1053.1064,2258.223,1801.5957,708.0,708.0,878.4005,1501.9753,2329.164,708.0,708.0,2006.6521,1868.8191,708.0,897.51605,1037.7219,2470.035,1149.3514,674.5718,3017.674,621.24036,2455.4243,605.57166,814.4573,2368.1606,1160.5701,0.823874,911.88165,15851.876,1079.5154,1800.0,1077.0,0
T000005_fold0_x0,1980-01-31,1979-11-30,1509.8478,1138.8411,386.42615,463.57263,2593.7014,1657.308,793.98486,746.4098,488.02234,1921.7451,1681.2639,15.855351,694.4265,1429.75,631.7571,701.7256,1051.093,867.2976,948.3242,329712.25,2092.1704,930.16705,890.76794,815.87305,-6875.8955,182011.94,1212.4429,908.9738,45587.59,-27517.049,1583.8235,2053.634,1177.8256,1267.0815,337636.78,-1466270.2,2077.6536,2276.37,1562.4452,1851.4729,-3064729.8,416.6094,1514.3958,129945.75,1686.5842,1166.0676,916.33124,1169.4314,547.46045,434.70557,2912.5227,862.52136,465.99402,-157.38965,1959.2295,673.0238,1778.4395,466.51392,-126.470215,1114.0298,1548.8795,760.4723,326.7838,793.2942,1432.2974,1124.5605,1038.2101,-1277.9517,664.71533,1030.5222,212.32605,2157.2822,191.69482,-547.2903,951.09503,1106.0522,808.7554,798.8696,846.6742,2265.0278,1619.689,791.1234,774.1487,894.44763,1940.954,2594.0242,1561.1759,593.6389,1416.4972,1594.6488,3514.2341,2169.0337,2596.5352,2392.964,1773.3073,2301.8875,2087.7932,2693.1318,2857.358,2101.2905,1687.3938,2274.6448,1502.9924,2162.448,1142.8169,805.9061,1125.4797,832.626,894.59656,-65009.51,699.6305,858.99915,812.3384,754.6461,226650.52,61092784.0,1370.7494,1020.8365,987.42645,12410.789,1801.5808,1121.7354,2122.4634,1913.3158,708.0,708.0,889.3191,1576.4133,2085.626,708.0,708.0,1938.5673,1861.6342,708.0,905.9859,1194.7947,2506.3108,1385.8555,805.22266,-7330.994,1485.7888,2477.6365,1042.3218,890.8036,2281.5874,1928.3896,0.83720005,430.4148,-16434.062,1078.4241,2799.0,2011.0,0
T000005_fold0_x0,1980-02-29,1979-11-30,2149.1533,1435.2203,298.69824,390.64087,2614.6013,1904.8535,990.3226,668.4739,464.20068,1936.6832,1692.1084,15.855069,754.65625,1567.7617,609.55334,854.8502,1243.9816,1092.888,1209.048,-433364.0,1836.4807,1144.2094,1092.6342,1134.7239,-8897.4795,-774135.06,1803.6885,1293.2871,154022.2,-37095.695,21513.793,2698.957,1780.6476,1525.5199,-555117.9,1900463.6,2716.954,1967.8547,1757.1398,2151.7917,-1799275.5,-294.72855,1663.5043,-11375016.0,1242.1373,492.68506,629.3616,779.511,466.60437,822.0752,1900.3369,577.4724,1601.8916,-54.68799,2266.338,327.13428,-56.864136,1249.6702,139.0304,1686.8542,1472.8833,1838.0214,594.87976,1000.1792,1402.7456,1793.5194,2110.3772,-1004.2649,688.94556,1828.5386,203.219,2003.5798,360.20972,-932.4568,1658.4264,1234.0557,1234.0035,934.2893,1002.44226,2353.08,1688.2261,1021.2687,1014.41,1086.4514,2198.018,2634.5762,1808.1714,898.4375,1648.383,1891.4171,3098.607,2881.525,3207.734,2813.0388,1844.3053,2628.239,2780.771,2028.8832,2258.8225,2560.5872,1694.3604,1065.4637,2683.7998,1581.3206,1828.1337,1072.1512,1341.7188,1102.6106,1056.7815,-65047.793,777.6946,1063.9058,965.6484,1074.1707,167594.34,61094090.0,1664.8748,1098.0718,717.938,12410.723,2205.5696,1032.36,2186.977,1970.7518,708.0,708.0,916.4282,1684.1257,2283.3962,708.0,708.0,1964.7167,1723.5878,708.0,866.378,1113.9725,2498.0598,1311.2094,801.4009,75.64099,810.47095,2521.6538,587.35474,958.00244,2384.1458,-1534.6328,0.58094996,1090.8857,18659.02,1084.6536,4701.0,4504.0,0
T000005_fold0_x0,1980-03-31,1979-11-30,2322.9824,1604.611,291.54272,336.69727,2617.8052,1932.8894,1335.7366,691.58374,502.6172,1939.9678,1693.8119,15.855047,836.93176,1761.9901,601.2897,1190.3174,1357.0337,1352.9087,1440.5479,-209672.56,141.63025,1393.58,1320.7218,1295.6636,-22617.385,-1135132.4,1159.149,1540.5924,-243260.52,-48604.97,22044.205,3281.349,1654.3672,1832.8726,1648933.8,1411687.9,3339.31,1499.814,1745.0142,3271.3882,-2163900.8,496.21567,1707.8584,9573596.0,1578.4312,257.70386,2000.4393,1439.462,1740.8538,854.38477,2275.3784,1912.9352,2004.2026,1547.5852,2844.0742,587.4547,543.0756,474.8546,463.15076,1012.73083,2976.0684,2048.5127,1067.8284,1392.8848,1646.2878,2031.5061,2291.017,-1372.113,897.35693,1509.5186,609.06177,2647.4292,561.13257,-835.92456,1594.5576,1497.4832,1612.9932,1214.5989,1210.7582,2367.25,1877.223,1137.4814,1242.2277,1140.3027,2138.1682,2684.4268,1863.8619,1259.2935,1854.1174,1742.3484,3239.1636,3005.321,3273.975,2852.1543,1431.9983,3175.2212,2856.9927,1852.7211,1517.6433,2796.3787,2064.495,-51.36577,2846.0168,1879.6396,939.9774,1251.053,1476.338,1301.1606,1324.198,-68221.41,1074.8965,1134.8695,1079.7156,1104.1461,284615.06,61093504.0,2341.2053,1193.2703,1492.138,12410.301,2247.0662,1012.55963,2029.4691,1962.58,708.0,708.0,931.49445,1688.1503,2554.0269,708.0,708.0,1989.7687,1911.5172,708.0,1164.5612,991.6427,2745.5876,1198.5806,822.2009,-2294.7527,838.9381,2745.1904,-11.654663,918.80176,2822.3547,2643.249,0.80167365,514.0012,17521.469,1088.8687,6427.0,6417.0,0
T000005_fold0_x0,1980-04-30,1979-11-30,2505.4958,1748.6305,368.8075,354.64087,2620.7427,1949.4204,1638.6377,890.90857,568.1251,1951.0247,1695.1943,15.855091,946.227,2035.7084,597.99225,1295.9011,1816.1698,1581.8654,1697.8076,-429250.97,2011.5128,1671.0544,1599.666,1545.5588,-60478.035,469753.47,2040.0112,1789.1909,-113688.44,-62044.195,17230.557,2782.8484,1699.3335,2046.9689,-932030.5,-463750.16,2821.8662,1532.165,2285.4468,2636.716,-1717149.0,476.1497,1909.549,11776421.0,2141.6228,1084.9341,915.0051,-310.71265,-1264.5042,905.93054,2546.041,897.0293,1661.1647,205.86035,2578.1882,492.01733,-374.68445,1812.2668,455.911,1327.5697,2655.0767,2881.9402,1093.019,1658.0884,1604.4094,2235.9128,2066.5889,-503.66504,1132.8066,1400.2236,857.7977,2242.0984,816.49805,-1306.8457,2067.583,1628.0448,1600.0217,1396.852,1576.9296,2398.2397,1938.5519,1384.0829,1415.9006,1281.1768,2285.5278,2660.8594,2064.0276,1640.2305,1980.21,1233.7795,3766.776,3009.013,1505.8228,1227.2664,2079.7383,3246.1401,2940.5044,3300.3086,2921.271,2774.097,2101.8694,-321.61414,3243.69,2130.074,2208.7441,1443.3999,1766.1598,1599.8876,1594.2281,-66161.58,1069.081,1512.6383,1361.7742,1456.7208,108320.31,61091852.0,2425.2114,1564.7319,1384.66,12409.523,2360.4426,1183.9158,1908.8047,1715.6885,708.0,708.0,988.02374,1729.9983,2367.314,708.0,708.0,2196.1313,1706.9291,708.0,1215.0295,984.5728,2794.347,1260.0452,1001.7839,-439.51953,1691.3488,2759.3447,839.7407,828.7394,2607.5967,1305.2819,0.7185428,286.4182,19076.729,1084.2587,6134.0,5253.0,0
T000005_fold0_x0,1980-05-31,1979-11-30,2837.7764,1968.0878,462.82886,441.5271,2637.656,2022.5687,1845.3121,1151.3667,647.1571,2020.5613,1702.8741,15.855152,1080.2161,2238.0684,596.1287,1844.3743,2271.7725,2055.5227,2186.4775,190558.16,-247.87549,2188.7693,2154.0142,1904.0872,-108528.4,277485.12,2707.7666,2193.451,275165.1,-77419.266,-9900.971,1484.7742,3169.289,2701.6575,666153.44,-1113654.2,1583.1439,2184.2078,3020.726,1982.0887,-914426.7,162.91638,2468.7268,-46194600.0,2043.6055,2076.2983,1443.7313,1246.7523,854.45703,1308.9875,2175.8132,1650.1677,2231.336,1185.463,2752.0132,1349.64,-333.21887,462.16016,1674.782,1707.5758,3153.6367,2763.8757,1292.0038,2105.7126,1507.4182,2310.427,1964.1201,95.183105,1302.833,1333.1576,1115.7908,1830.3534,1284.9734,-1147.2573,3207.2644,1950.3,1847.243,1776.9285,1903.6963,2449.1753,2007.0824,1965.3615,1491.5209,1710.9524,2130.571,2697.702,2408.1714,1727.7909,2214.8425,1774.4377,2751.9438,2769.2964,2790.3887,2442.7983,2282.2798,2838.4368,2841.4429,2451.6797,3417.2178,2352.091,2321.2715,339.22537,2175.0798,1953.7839,2351.2212,2003.98,2494.5771,1964.7405,2003.3376,-66599.41,1004.18536,2021.6274,1819.408,1768.5267,64074.57,61090780.0,2594.848,2130.6943,1565.0245,12410.398,2788.8806,1187.057,2152.907,2088.9893,708.0,708.0,933.60956,2324.2522,2350.6443,708.0,708.0,2067.837,1842.7062,708.0,1013.38715,-33.122925,2853.8662,499.90198,731.693,6741.664,3323.0789,2794.8645,457.5381,136.6178,2733.183,733.3873,1.0497935,2190.6406,-20344.924,1084.8352,5686.0,3564.0,0
T000014_fold0_x1,1985-08-31,1985-07-31,6737.447,8300.161,3651.456,6104.6504,10597.574,7205.458,7887.9434,5230.878,2688.7705,8724.833,7830.7266,15.855783,7399.859,8289.555,5242.6724,5529.4966,6193.954,4901.5483,5194.45,280312.75,9550.572,5934.089,5504.421,5389.758,-746225.4,394095.47,6854.9175,5533.1377,-303873.7,-19400.236,13725.826,8488.8,6014.3945,7067.42,-1356887.6,-2281877.2,8325.1,5190.826,7012.797,5481.915,-8658883.0,302.26572,7158.233,99565510.0,6809.2905,7116.135,2698.522,7594.3813,7877.178,4928.272,11254.084,2593.0898,4019.8984,5613.5977,6648.124,5398.9336,-252.96289,4879.382,1546.7563,4588.2573,8218.952,8929.919,5888.6562,6921.4697,4866.573,5250.1875,8775.748,10865.531,6316.501,9040.752,6215.121,9046.115,8523.705,5308.667,6462.452,5604.5654,7342.057,5450.957,4931.305,9774.649,7591.726,7244.686,6354.426,5426.911,8844.376,10605.957,7472.163,6457.8228,7045.8535,7341.098,12067.262,9153.317,7745.957,7322.8267,8231.551,9457.296,9100.691,7313.349,12989.089,8136.342,8756.236,-4523.784,12251.059,6127.454,5873.302,5440.039,7021.744,4357.5176,5184.23,-242492.52,5965.7383,7160.5127,5233.869,4457.8276,23840870.0,202013420.0,7545.006,6111.4697,5535.182,77253.78,9210.057,10398.129,8635.553,9500.299,4735.0,4735.0,9882.652,9421.95,10127.623,4735.0,4735.0,9103.511,7667.0576,4735.0,5516.2217,5581.808,8915.895,5894.3633,4667.6084,10440.958,5273.8374,8983.134,1527.1226,4890.46,8892.965,5916.3193,1.4164945,5242.7725,96841.39,2799.2603,3992.5,15730.0,0
T000014_fold0_x1,1985-09-30,1985-07-31,7468.293,8720.59,3409.708,6828.077,10796.758,8364.221,8759.184,5895.232,983.2842,8849.503,8456.643,15.854723,7905.535,8827.057,4848.904,6276.1226,7067.787,5717.3325,6261.5713,1015437.56,7969.744,7454.1367,5590.052,6111.88,-1523288.8,-47076.055,7635.375,7137.159,300783.94,-14518.466,24989.324,8154.443,7283.285,7476.208,-305127.75,-3724049.5,8193.697,9653.241,9488.346,6809.0664,-24517122.0,-2178.5044,8957.435,-72987110.0,8145.675,3717.1401,2052.5122,4914.536,2792.8784,5154.993,7995.996,1993.2788,4463.454,4741.236,7083.715,3877.8281,8451.688,5622.3906,1559.3433,6386.1533,11575.95,9753.957,7441.8994,7824.377,5967.033,9886.735,9317.433,9699.051,7358.1787,9440.984,9395.436,10405.332,9454.607,8479.533,6491.337,6720.155,6583.3184,5996.5186,5208.2227,9953.703,8298.063,7302.3926,8033.865,6319.323,8882.508,10797.756,8251.512,7538.8003,7776.767,7342.936,11226.122,7651.5557,14486.126,14216.278,9173.2705,10157.113,7623.1543,13868.219,13672.371,8357.962,8587.936,10809.05,11257.285,10030.868,6432.13,5879.824,7338.6875,5224.963,6352.5586,-242025.48,5025.2427,7979.648,6686.8384,4992.598,7170663.5,202013300.0,8141.34,7005.6943,5536.453,77253.89,9946.283,10273.082,8929.547,8970.5625,4735.0,4735.0,10638.907,9517.428,10785.809,4735.0,4735.0,8973.582,9099.625,4735.0,7410.0444,5984.795,8942.17,6495.934,3343.8633,-15796.22,7218.2417,9001.968,3310.083,5105.048,8886.144,7850.58,1.2775642,3961.998,-108479.945,2796.1008,5485.0,12550.0,0
T000014_fold0_x1,1985-10-31,1985-07-31,8217.716,8702.924,3968.787,7355.0977,10850.384,9020.458,8783.188,7708.0684,306.77637,8855.274,8484.456,15.854438,8180.791,9357.211,4820.032,6982.0137,7726.846,6072.8555,6753.0312,-637851.5,14401.152,8113.7505,6441.3613,6283.525,-1999718.4,70900.25,6939.456,7675.98,311597.9,-14415.044,59482.016,5935.707,9540.24,9728.916,-1049778.0,4835081.5,5894.376,6305.3457,9000.327,4863.3926,-7132400.0,4672.3535,8524.552,-43410400.0,8356.507,3628.1113,3581.4565,2094.525,1273.7202,3888.1206,7963.8423,3379.267,6181.244,1838.0889,8085.588,4211.8,4657.061,6832.4956,1829.2651,8255.113,14187.067,9882.501,8106.537,7958.01,7518.2793,9494.525,9918.544,15359.03,8008.0312,8947.252,8953.166,8660.235,8994.27,8906.639,6544.619,7123.1846,7300.154,6533.534,5575.7686,10179.605,8473.897,7459.505,8220.022,6355.783,8974.769,10901.794,7902.143,7902.4536,8371.679,8779.671,12089.95,8965.216,11883.859,10646.356,7223.884,9113.528,8842.093,7935.7383,9839.874,8903.991,8138.9688,5075.872,9501.714,6708.1133,8238.983,7752.117,7570.136,5974.718,6534.2803,-242123.7,6304.1143,7842.8057,6175.18,5364.3047,6258483.0,202016640.0,7837.279,7084.7554,5013.5283,77253.82,9806.402,10116.326,8464.241,8158.665,4735.0,4735.0,10431.447,9469.898,9833.487,4735.0,4735.0,9160.702,8990.771,4735.0,5499.644,5775.131,8944.395,6309.211,3605.7368,3224.0771,5494.073,9017.732,2525.6172,5178.8555,8922.027,-1149.2256,1.0075418,5690.2725,122169.88,2812.841,2497.5,11802.5,0
T000014_fold0_x1,1985-11-30,1985-07-31,8968.418,8753.911,4351.8174,7773.36,10858.604,9069.717,8911.698,8935.529,-62.945312,8856.514,8488.824,15.854414,8327.082,9513.708,4816.309,6560.002,7291.852,6299.8975,6872.376,-428714.3,9035.6875,7621.5576,6736.3594,6649.0786,-2411090.0,-149465.56,7416.3027,7924.4673,-147184.19,-19088.842,10032.347,8777.04,7877.4424,8799.714,5954078.5,2246853.5,8757.199,6743.003,9432.921,7950.1914,-12208405.0,-737.9464,8986.829,38064976.0,7237.8735,3789.813,4342.306,2653.0767,3907.061,4042.0117,9976.37,4164.386,4033.2847,4001.226,8350.379,3796.2314,757.4519,6445.5464,497.02246,7021.1406,8679.176,9440.778,8745.431,8076.0664,6242.7485,10677.776,9240.096,10196.781,7113.964,8145.745,10567.667,11228.293,9037.189,6967.8633,6411.165,7810.1294,8062.483,6905.171,6056.653,10215.958,8958.776,7853.4795,8689.08,6841.087,8953.288,11029.6875,8582.26,8114.7974,8899.498,8008.495,12746.038,7146.6304,8557.253,7322.5244,8446.386,10327.588,7145.645,10215.205,9415.686,9810.253,9692.975,1683.2931,7439.7334,8476.442,7701.842,8532.775,7616.468,6739.1387,6894.126,-250265.7,5835.3765,7819.065,6023.717,6257.8755,9716162.0,202015140.0,9007.691,7336.968,6543.759,77253.4,9595.686,9805.7295,9005.369,8373.928,4735.0,4735.0,10321.476,9356.859,10850.342,4735.0,4735.0,9382.165,8465.775,4735.0,5948.9014,5462.258,9042.022,6020.508,4718.388,-3023.2246,5547.8213,9104.912,138.9502,5106.0117,9093.503,9772.912,1.190405,4161.7095,106808.22,2823.508,9905.0,15200.0,0
