unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
10_fold0_x0,2018-05-22,2018-05-21,0.14237282,0.13575724,0.11780389,0.12370841,0.13432208,0.111723736,0.2064497,0.054864183,0.15013562,0.10294727,-0.21869410000772208,-0.17171769793255212,0
10_fold0_x0,2018-05-23,2018-05-21,0.1847781,0.17014742,0.1429458,0.1384292,0.15650365,0.16672131,0.13250382,0.13899682,0.13870557,0.13798732,-0.008215415385207404,-0.1320622935833827,0
10_fold0_x0,2018-05-24,2018-05-21,0.18320015,0.19980237,0.14594765,0.15244527,0.18215144,0.2129398,0.1109146,0.17202692,0.16546777,0.1843223,0.03266015525162875,-0.06775953022334488,0
10_fold0_x0,2018-05-25,2018-05-21,0.15040517,0.23769355,0.19512756,0.18354985,0.1872063,0.24507308,0.19269034,0.21691944,0.19047312,0.21630737,-0.3244825171484294,-0.07666674412331222,0
10_fold0_x0,2018-05-26,2018-05-21,0.15260515,0.26456824,0.20128013,0.2064716,0.20882985,0.29922488,0.09743217,0.25004375,0.23030083,0.23085582,-0.21381343485705506,-0.3731671520263328,0
10_fold0_x0,2018-05-27,2018-05-21,-0.19984609,-0.19011989,-0.20074937,-0.2080097,-0.16498901,-0.1955398,-0.20762128,-0.24562916,-0.18319532,-0.21933827,-0.4017190431577347,-0.09679948786981359,0
10_fold0_x0,2018-05-28,2018-05-21,-0.33084264,-0.42977846,-0.40003735,-0.3117212,-0.19801329,-0.3970917,-0.34671164,-0.41008633,-0.33400917,-0.44102827,-0.2654264688253586,-0.4045254256193683,0
10_fold0_x0,2018-05-29,2018-05-21,0.04557168,0.12802777,0.11204295,0.12771717,0.13724627,0.06549869,0.2347786,0.058492854,0.15117079,0.094002366,0.09061805391579945,-0.4308810174329701,0
10_fold0_x0,2018-05-30,2018-05-21,0.17261878,0.19549817,0.1545609,0.1353912,0.16868174,0.12587848,0.1376855,0.15568931,0.14444168,0.16877428,-0.07996119310001236,-0.17415803050788567,0
10_fold0_x0,2018-05-31,2018-05-21,0.21294093,0.2120718,0.15643217,0.15265314,0.18026516,0.20354286,0.12411401,0.18368979,0.17161036,0.18755296,0.3445346583792504,-0.022735394208441756,0
10_fold0_x0,2018-06-01,2018-05-21,0.21287316,0.24563417,0.20275372,0.18239409,0.21159375,0.2549474,0.18557304,0.22491291,0.18973953,0.2033535,0.26229545059051135,0.21104846650850792,0
10_fold0_x0,2018-06-02,2018-05-21,0.18421885,0.26314104,0.21040478,0.21743993,0.21527016,0.260542,0.07714654,0.255338,0.23567872,0.23235422,0.17053894575797168,-0.046894686704243405,0
10_fold0_x0,2018-06-03,2018-05-21,-0.1973649,-0.18191153,-0.19172281,-0.18997242,-0.15774602,-0.18226117,-0.20365573,-0.24082792,-0.18208213,-0.21766675,-0.11656618173001494,0.09196023683223287,0
10_fold0_x0,2018-06-04,2018-05-21,-0.33183423,-0.41750538,-0.3846589,-0.3208245,-0.19474386,-0.42589882,-0.32828897,-0.40600577,-0.3406828,-0.4317305,-0.23492231163368985,-0.30581397294712814,0
102_fold0_x1,2018-05-22,2018-05-21,0.15488029,0.15048194,0.028934507,0.06883736,0.17548549,0.0963681,-0.013101459,0.14107476,0.06555999,0.11046786,0.21670888416538117,-0.3868208613476088,0
102_fold0_x1,2018-05-23,2018-05-21,0.2701768,0.25193942,0.24072246,0.25403285,0.26599535,0.25039807,0.21292405,0.25989676,0.26019424,0.216315,0.3041849366143925,0.18846713976884508,0
102_fold0_x1,2018-05-24,2018-05-21,0.2856287,0.28031453,0.22060715,0.24113387,0.2944755,0.27942774,0.22776371,0.2697212,0.24647498,0.25310013,0.36727039163003167,0.2477014478213202,0
102_fold0_x1,2018-05-25,2018-05-21,0.28091717,0.34084934,0.29614055,0.2749468,0.3229009,0.31940052,0.3051303,0.3229679,0.28202486,0.31822872,-0.29347639447853807,0.2526529224882453,0
102_fold0_x1,2018-05-26,2018-05-21,0.30119556,0.35590208,0.32735473,0.3287362,0.3288371,0.36501902,0.34000176,0.34507602,0.33431578,0.32613015,-0.2943933342316724,-0.5557211638749452,0
102_fold0_x1,2018-05-27,2018-05-21,-0.11506528,-0.05682735,-0.079147875,-0.06003356,-0.044073254,-0.02738671,-0.062701315,-0.0746135,-0.059311777,-0.080723986,-0.28027246203340433,-0.3798521192237882,0
102_fold0_x1,2018-05-28,2018-05-21,-0.25190124,-0.31299317,-0.31821576,-0.29200247,-0.23318541,-0.2576857,-0.28096092,-0.3185268,-0.2924505,-0.31997746,-0.3075972666768061,-0.37343354095184816,0
102_fold0_x1,2018-05-29,2018-05-21,0.15302327,0.1609193,0.043769635,0.08625664,0.182513,0.06613785,0.020465076,0.15034105,0.08084409,0.11691539,0.09512267289977423,-0.5025386581931562,0
102_fold0_x1,2018-05-30,2018-05-21,0.26925242,0.2552061,0.25246927,0.26116237,0.27152622,0.22125521,0.2266235,0.25843912,0.26612425,0.24572107,0.23761511053684295,0.06376333334258154,0
102_fold0_x1,2018-05-31,2018-05-21,0.3007915,0.2841834,0.2250164,0.23536116,0.29212105,0.27702767,0.25249088,0.28369486,0.24910331,0.25295585,0.2785106235266324,0.16976156880490553,0
102_fold0_x1,2018-06-01,2018-05-21,0.31028444,0.31885812,0.30746973,0.27912733,0.31965858,0.3307725,0.3084411,0.31514868,0.28607494,0.2997787,0.2807112789341546,0.16957818085427864,0
102_fold0_x1,2018-06-02,2018-05-21,0.32119375,0.35150144,0.3275092,0.33410436,0.3304201,0.33336276,0.35465184,0.33938724,0.33797267,0.3136178,0.352599355579883,0.19781992525081482,0
102_fold0_x1,2018-06-03,2018-05-21,-0.12352136,-0.044247866,-0.073288366,-0.04352644,-0.04387656,-0.012146369,-0.03779255,-0.07786326,-0.057086974,-0.081315264,-0.07781216454135292,0.20020396860896392,0
102_fold0_x1,2018-06-04,2018-05-21,-0.25466585,-0.31201103,-0.30650818,-0.30020323,-0.23625636,-0.2809634,-0.26167434,-0.31978938,-0.2908869,-0.3257721,-0.24084405264862976,-0.07671183683759174,0
103_fold0_x2,2018-05-22,2018-05-21,0.1695556,0.06843552,0.03214504,0.07153809,0.17604184,0.08766123,0.037627034,0.08067699,0.08600001,0.06659706,0.2623683310485046,-0.38905176984756157,0
103_fold0_x2,2018-05-23,2018-05-21,0.22129528,0.19995815,0.21520275,0.20661011,0.22661859,0.23776555,0.16621338,0.22586468,0.21532771,0.17368883,0.079156427671486,0.07231230484418358,0
103_fold0_x2,2018-05-24,2018-05-21,0.21717818,0.23632842,0.19177246,0.20764259,0.2461299,0.2550323,0.20341483,0.2300229,0.22130537,0.21631399,0.17427218593809912,0.17111336001780572,0
103_fold0_x2,2018-05-25,2018-05-21,0.18996318,0.29093674,0.2780869,0.2894511,0.28478163,0.27382255,0.31150058,0.27079478,0.2968465,0.26118785,-0.5564695436231131,0.27763598966325614,0
103_fold0_x2,2018-05-26,2018-05-21,0.1920239,0.25283664,0.19989845,0.2146926,0.2361395,0.2757016,0.21581063,0.25336868,0.22355479,0.22528097,-0.3751880338640516,-0.5468175755333277,0
103_fold0_x2,2018-05-27,2018-05-21,-0.15854622,-0.1337272,-0.18977143,-0.17033505,-0.12530774,-0.1590844,-0.24739614,-0.15901741,-0.18002278,-0.21016046,-0.49224008324381335,-0.3630792011695934,0
103_fold0_x2,2018-05-28,2018-05-21,-0.29123688,-0.4516363,-0.46436012,-0.44199398,-0.3151505,-0.42602742,-0.4482032,-0.38114607,-0.44592085,-0.48198465,-0.4529302495690508,-0.43766259095429927,0
103_fold0_x2,2018-05-29,2018-05-21,0.08305265,0.13050605,0.05705247,0.09584412,0.1869919,0.05269123,0.07797864,0.1310929,0.104017414,0.08584682,0.0370387487342403,-0.5503273821114314,0
103_fold0_x2,2018-05-30,2018-05-21,0.21149485,0.24410771,0.23492114,0.21506995,0.23797286,0.20197341,0.17998034,0.24821594,0.22953922,0.21885818,0.18901337356613512,-0.05790151920346761,0
103_fold0_x2,2018-05-31,2018-05-21,0.25224668,0.25810856,0.20907398,0.20239094,0.25882608,0.25144526,0.22310808,0.25814858,0.22801104,0.22627223,0.1368927458812937,0.16374276620378767,0
103_fold0_x2,2018-06-01,2018-05-21,0.2516184,0.29880086,0.29509377,0.2898008,0.29624632,0.2911475,0.31468183,0.2731975,0.30543795,0.25425348,0.15689864337648524,0.13004862305399117,0
103_fold0_x2,2018-06-02,2018-05-21,0.22286071,0.27186373,0.20063147,0.21747479,0.24102163,0.23737246,0.22985753,0.24288327,0.21910545,0.22238648,0.2674575505867551,0.08284172457849501,0
103_fold0_x2,2018-06-03,2018-05-21,-0.15725778,-0.11619194,-0.17525451,-0.14359593,-0.11864824,-0.14212096,-0.22284326,-0.14824978,-0.15947407,-0.20352393,-0.14354079970920045,0.12144959693763684,0
103_fold0_x2,2018-06-04,2018-05-21,-0.2923903,-0.44658422,-0.44241622,-0.4430665,-0.31119326,-0.453134,-0.4257796,-0.37212014,-0.44064787,-0.4790403,-0.4062498220802702,-0.2644536363248765,0
106_fold0_x3,2018-05-22,2018-05-21,0.08279516,0.19776596,0.16825095,0.15966058,0.11798834,0.17351659,0.13713759,0.17535801,0.15795904,0.1636778,0.31276111935917894,-0.06813138584404467,0
106_fold0_x3,2018-05-23,2018-05-21,0.21503688,0.19421642,0.1380644,0.13998853,0.14816144,0.18201193,0.14421234,0.17723092,0.14476413,0.1803754,0.6958653205027394,0.33362798975279156,0
106_fold0_x3,2018-05-24,2018-05-21,0.27279663,0.22838135,0.16791612,0.16163987,0.17768879,0.23300666,0.19371617,0.22883593,0.18926421,0.23996772,1.2801376915238925,0.9852128459146302,0
106_fold0_x3,2018-05-25,2018-05-21,0.28019226,0.31282717,0.29195595,0.28619277,0.27655092,0.32988,0.3460495,0.31534687,0.31107777,0.33906442,0.06774367344708256,1.2551359113287806,0
106_fold0_x3,2018-05-26,2018-05-21,0.29586658,0.47781843,0.5022516,0.5967619,0.46060205,0.40847427,0.51174104,0.41853717,0.56420654,0.44899118,0.0007196703855710923,0.0893798293851601,0
106_fold0_x3,2018-05-27,2018-05-21,0.083002925,0.16888037,0.15408051,0.1727776,0.109643795,0.16118851,0.13996051,0.13318743,0.16998512,0.17943771,0.024279040184811185,0.024279040184811185,0
106_fold0_x3,2018-05-28,2018-05-21,-0.020313874,-0.08355619,-0.05972016,-0.038287804,-0.030094728,-0.07313226,-0.025537,-0.06657983,-0.039079443,-0.060635492,0.005623865731535356,0.027163860976554818,0
106_fold0_x3,2018-05-29,2018-05-21,0.20721579,0.2002496,0.17218544,0.17782685,0.13702741,0.15696955,0.15127745,0.17439753,0.17985804,0.1671656,0.06178171047747896,0.2522760434256199,0
106_fold0_x3,2018-05-30,2018-05-21,0.3009604,0.19062638,0.1443778,0.14835611,0.15170802,0.17068394,0.14854738,0.19140375,0.1492279,0.19372824,0.2442947059017957,0.25410309659372415,0
106_fold0_x3,2018-05-31,2018-05-21,0.32747385,0.23252343,0.1667933,0.16801332,0.17444023,0.22930542,0.20674777,0.23455986,0.19232501,0.23081958,0.14592231690333626,0.16044258155511276,0
106_fold0_x3,2018-06-01,2018-05-21,0.32687858,0.30729157,0.3036327,0.29188448,0.266595,0.3413356,0.33850616,0.31164712,0.3074275,0.32271886,0.2518914006533874,0.19198328887817698,0
106_fold0_x3,2018-06-02,2018-05-21,0.2855749,0.46931094,0.50566757,0.5930962,0.45516038,0.37948635,0.5193488,0.42731053,0.569118,0.44281268,0.16486597343578638,0.11274687779828395,0
106_fold0_x3,2018-06-03,2018-05-21,0.14593413,0.16850409,0.16183163,0.19493394,0.14532787,0.16673842,0.15631227,0.12648083,0.18118419,0.17474164,0.08543724096977713,0.5005629529016925,0
106_fold0_x3,2018-06-04,2018-05-21,0.047029465,-0.0860285,-0.056032002,-0.041782483,-0.02014406,-0.08650769,-0.015658319,-0.06598599,-0.038942084,-0.0701177,-0.08592111405979735,0.10813116453149407,0
108_fold0_x4,2018-05-22,2018-05-21,0.36006707,0.6277742,0.69624466,0.69709074,0.67756027,0.64242595,0.7369922,0.7133763,0.6629693,0.7138395,0.6561300028814386,-0.3793903211449501,0
108_fold0_x4,2018-05-23,2018-05-21,0.5767922,0.83179075,0.8493154,0.92658913,0.80224806,0.8138415,0.9716642,0.8481288,0.88941175,0.8797258,0.6905603509951505,0.22851110211055692,0
108_fold0_x4,2018-05-24,2018-05-21,0.7201891,0.8440393,0.8458809,0.84332454,0.8294175,0.8091961,0.86685413,0.8125457,0.8112647,0.8629744,0.6389650188364103,-0.0806593707472637,0
108_fold0_x4,2018-05-25,2018-05-21,0.73157907,0.81147677,1.106287,1.0588918,0.9612689,0.8354668,1.1956396,0.89667857,1.0687932,0.9233335,0.29636799810142916,0.04110159794641696,0
108_fold0_x4,2018-05-26,2018-05-21,0.65111035,0.61373544,0.6094357,0.63840705,0.6356014,0.62938076,0.5852752,0.6914648,0.6015051,0.6175147,0.47323759978177987,-0.5062706710450426,0
108_fold0_x4,2018-05-27,2018-05-21,0.37804356,0.40778986,0.393188,0.40598756,0.36020416,0.36080652,0.5059581,0.40169722,0.4203394,0.348275,0.04852971969689706,-0.3589127963193022,0
