unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
1_fold0_x0,2018-05-22,2018-05-21,0.13027504,0.09556432,0.2143318,0.15656243,0.15385604,0.09511338,0.17895459,0.10559064,0.14548667,0.1875553,-0.09553976689368981,-0.35095546973729,0
1_fold0_x0,2018-05-23,2018-05-21,0.31179988,0.27469584,0.2881257,0.21859945,0.21136293,0.16403134,0.23075029,0.20470493,0.24705373,0.26148313,-0.061631276638980194,-0.09019917967857305,0
1_fold0_x0,2018-05-24,2018-05-21,0.34146124,0.319463,0.40844795,0.3548979,0.2572538,0.3571859,0.34827,0.28209388,0.336813,0.30610088,-0.0673957199822808,-0.06324192992607891,0
1_fold0_x0,2018-05-25,2018-05-21,0.36939996,0.31259647,0.36306643,0.330014,0.2700975,0.22848473,0.3234891,0.24916188,0.25849867,0.31624183,-0.48692851565867556,-0.05306938284966602,0
1_fold0_x0,2018-05-26,2018-05-21,0.27314615,-0.037325237,-0.036677852,-0.052939918,-0.029213825,-0.023790125,-0.115846306,-0.042407416,-0.082219005,0.027052702,-0.34807324806563966,-0.4809097586384647,0
1_fold0_x0,2018-05-27,2018-05-21,-0.254638,-0.24874945,-0.25149566,-0.23077364,-0.25340533,-0.1958084,-0.25362626,-0.24202603,-0.25534943,-0.2673006,-0.4436104193582841,-0.3610432455880661,0
1_fold0_x0,2018-05-28,2018-05-21,-0.40692705,-0.33131287,-0.28018922,-0.29703227,-0.29014605,-0.30271032,-0.32544678,-0.24321987,-0.31517428,-0.35191622,-0.39342585378131384,-0.22990215952797668,0
1_fold0_x0,2018-05-29,2018-05-21,0.19746393,0.16467625,0.25146687,0.17411861,0.15094385,0.11118536,0.17625709,0.12536658,0.15152931,0.16917105,-0.07104088268466213,-0.3461235098759939,0
1_fold0_x0,2018-05-30,2018-05-21,0.3099786,0.27139652,0.28458717,0.21545082,0.22305882,0.18665677,0.22285019,0.23793158,0.258725,0.2426764,0.17903423294382134,0.07696967727714539,0
1_fold0_x0,2018-05-31,2018-05-21,0.33327752,0.32471988,0.40994018,0.3415009,0.26684248,0.34077692,0.31887698,0.29952115,0.33779508,0.30060452,-0.026959845353539593,0.07917372914370154,0
1_fold0_x0,2018-06-01,2018-05-21,0.3636488,0.3285189,0.36520687,0.3279849,0.2912181,0.23863302,0.3146112,0.25616533,0.31036615,0.3196461,0.24371467810467992,-0.048237422988369916,0
1_fold0_x0,2018-06-02,2018-05-21,0.23120773,-0.043383557,-0.028169513,-0.049628142,-0.019283524,-0.033676427,-0.06287351,-0.03469387,-0.065802395,0.013555858,0.1384288158638066,-0.09545499566805304,0
1_fold0_x0,2018-06-03,2018-05-21,-0.26091242,-0.24012758,-0.24741712,-0.23166417,-0.26312205,-0.19785224,-0.25039837,-0.22901596,-0.26275447,-0.27393603,-0.25787666398811215,-0.050356703629289234,0
1_fold0_x0,2018-06-04,2018-05-21,-0.3937423,-0.3370269,-0.27828762,-0.2989382,-0.29823318,-0.2990519,-0.2929146,-0.2396786,-0.31803423,-0.33536312,-0.34942958767582805,-0.21761033181064446,0
106_fold0_x1,2018-05-22,2018-05-21,0.16711655,0.16905883,0.12824646,0.17958896,0.12837413,0.19415149,0.21275142,0.15158787,0.15079534,0.1865052,0.31276111935917894,-0.06813138584404467,0
106_fold0_x1,2018-05-23,2018-05-21,0.3273423,0.18662404,0.1425001,0.15134962,0.14631358,0.18382838,0.15272632,0.1735714,0.1551049,0.17841038,0.6958653205027394,0.33362798975279156,0
106_fold0_x1,2018-05-24,2018-05-21,0.36342466,0.22332178,0.19973151,0.1761765,0.17677362,0.2498795,0.17209929,0.22232065,0.20881267,0.20801839,1.2801376915238925,0.9852128459146302,0
106_fold0_x1,2018-05-25,2018-05-21,0.40821645,0.3180439,0.34687912,0.31398067,0.30632764,0.31707335,0.30796337,0.32735825,0.31598586,0.32530928,0.06774367344708256,1.2551359113287806,0
106_fold0_x1,2018-05-26,2018-05-21,0.3881171,0.48024207,0.5210279,0.5287808,0.46282065,0.40592813,0.5129686,0.42021528,0.5230594,0.43570232,0.0007196703855710923,0.0893798293851601,0
106_fold0_x1,2018-05-27,2018-05-21,0.10382137,0.16383526,0.14397639,0.16721973,0.12281994,0.20009202,0.16374154,0.14320558,0.1607401,0.18139091,0.024279040184811185,0.024279040184811185,0
106_fold0_x1,2018-05-28,2018-05-21,-0.12078167,-0.07642393,-0.021377534,-0.03954132,-0.03478317,-0.05655192,-0.058031783,-0.06434281,-0.03330931,-0.057121113,0.005623865731535356,0.027163860976554818,0
106_fold0_x1,2018-05-29,2018-05-21,0.2052145,0.18673448,0.15055823,0.20299111,0.15157422,0.21553451,0.20412995,0.15924919,0.19083917,0.18581982,0.06178171047747896,0.2522760434256199,0
