unique_id,ds,cutoff,DLinear,DeepNPTS,KAN,MLP,NBEATS,NHITS,NLinear,PatchTST,TFT,TiDE,y,SeasonalNaive
H2OC (mmol/mol),2020-12-19,2020-12-18,-0.6030127,-0.56935173,-0.5683043,-0.6979145,-0.44910485,-0.70959294,-0.59294695,-0.6110151,-0.5269508,-0.5687756,-0.600846156209912,-1.101778028921377
H2OC (mmol/mol),2020-12-20,2020-12-18,-0.54771554,-0.53731537,-0.38284752,-0.723023,-0.43422604,-0.6867244,-0.5601543,-0.52837074,-0.20971021,-0.59993064,-0.7152397081645446,-1.2188203567419724
H2OC (mmol/mol),2020-12-21,2020-12-18,-0.6513312,-0.5515414,-0.5468129,-0.76224715,-0.38783112,-0.69126993,-0.58349305,-0.6155897,-0.4666652,-0.6299226,-0.4619085727678704,-0.6248143290004065
H2OC (mmol/mol),2020-12-22,2020-12-18,-0.6245681,-0.5307197,-0.43977183,-0.9072455,-0.40010566,-0.6828289,-0.5508382,-0.5742537,-0.56021976,-0.633433,0.40363817619171927,-0.7734014365529068
H2OC (mmol/mol),2020-12-23,2020-12-18,-0.55305064,-0.52059126,-0.653832,-0.8828194,-0.41290033,-0.6859132,-0.51152295,-0.42028075,-0.8211388,-0.595347,0.5469491729805979,-0.9651623826254276
H2OC (mmol/mol),2020-12-24,2020-12-18,-0.6062452,-0.5641126,-0.5857396,-0.87944424,-0.43483615,-0.6871594,-0.542818,-0.58467126,-0.24740747,-0.61640847,-0.3059753758925692,-0.8538037616410201
H2OC (mmol/mol),2020-12-25,2020-12-18,-0.74317324,-0.53043854,-0.37697774,-0.8938127,-0.4238068,-0.6864167,-0.54108006,-0.68040246,-0.5601702,-0.66086024,-0.8310962524843113,-0.8287461264509576
H2OC (mmol/mol),2020-12-26,2020-12-18,-0.713814,-0.55847615,-0.47853273,-0.8583813,-0.42238396,-0.690383,-0.5482103,-0.75480616,-0.6441298,-0.68977034,-1.04186053555501,-0.5829478453598674
H2OC (mmol/mol),2020-12-27,2020-12-18,-0.6221813,-0.5678907,-0.4432617,-0.75674033,-0.46902394,-0.682671,-0.57711476,-0.64005065,-0.75751543,-0.62104154,-1.2408741884589403,-0.056208338917338625
H2OC (mmol/mol),2020-12-28,2020-12-18,-0.5939893,-0.5712372,-0.53095233,-0.7755618,-0.61898446,-0.6815105,-0.5220632,-0.6786179,-0.9568933,-0.59857345,-0.9388752112987101,-0.2418682955522791
H2OC (mmol/mol),2020-12-29,2020-12-18,-0.66215265,-0.5508032,-0.36045352,-0.71792316,-0.66753304,-0.68429637,-0.5561005,-0.61194146,-0.6000286,-0.6452773,-0.7481103451343656,-0.9342839054719596
H2OC (mmol/mol),2020-12-30,2020-12-18,-0.6121409,-0.5785438,-0.47857124,-0.67139095,-0.5995738,-0.6865156,-0.578833,-0.63244337,-0.7401799,-0.7034877,-0.7371845936415558,-0.976477227832369
H2OC (mmol/mol),2020-12-31,2020-12-18,-0.5757783,-0.53374696,-0.42335117,-0.75034636,-0.5592393,-0.68329406,-0.5297894,-0.5702248,-0.7138695,-0.6622285,-0.8963083589727346,-0.6784470065562791
H2OC (mmol/mol),2021-01-01,2020-12-18,-0.6412355,-0.5362832,-0.41592085,-0.8060295,-0.6510413,-0.6941247,-0.5369501,-0.53741676,-0.90407985,-0.6100448,-0.8960126477499947,-0.6948823250411896
OT,2020-12-19,2020-12-18,0.07785928,0.090404406,0.055176433,0.08649684,0.08429836,0.062819436,0.09267457,0.077778004,0.08259374,0.08512977,0.06083352551970732,0.062237962104810675
OT,2020-12-20,2020-12-18,0.0998312,0.094090894,0.10866262,0.090708934,0.10045783,0.085687935,0.089587376,0.087429605,0.08870387,0.09951854,0.0715208451290114,0.08652722366994825
OT,2020-12-21,2020-12-18,0.10204386,0.091652624,0.1053126,0.11133312,0.06903444,0.08114241,0.090401016,0.09247569,0.09752152,0.098597944,0.07805550171192147,0.04627388381131372
OT,2020-12-22,2020-12-18,0.11370985,0.09400035,0.0878487,0.08984397,0.046843417,0.089583434,0.09007772,0.099594675,0.100067586,0.09694863,0.03505482076570309,0.024172166832857837
OT,2020-12-23,2020-12-18,0.09432397,0.09218551,0.0932159,0.09116459,0.08780739,0.08649917,0.09151943,0.09530001,0.11627045,0.09193446,0.06242694717748306,0.02312857512282764
OT,2020-12-24,2020-12-18,0.09546992,0.09168924,0.09217731,0.09492431,0.078773834,0.085252956,0.088541,0.092447385,0.1263789,0.08762413,0.028771566691795092,0.055765685014500015
OT,2020-12-25,2020-12-18,0.092523366,0.093992986,0.12590839,0.095218256,0.08742145,0.08599569,0.09078182,0.08695353,0.13618135,0.08911318,0.03276145111523813,0.06304188856640901
OT,2020-12-26,2020-12-18,0.083537705,0.09371369,0.08332601,0.12893921,0.082314596,0.08202932,0.09208489,0.084461756,0.11000677,0.08626623,0.04480345043132316,0.055304478972805556
OT,2020-12-27,2020-12-18,0.0829008,0.09284855,0.09930363,0.110371344,0.10635711,0.08974134,0.0924298,0.08777107,0.08947977,0.08798878,0.03576562066525574,0.06968868152024087
