unique_id,ds,cutoff,DLinear,DeepNPTS,KAN,MLP,NBEATS,NHITS,NLinear,PatchTST,TFT,TiDE,y,SeasonalNaive
H2OC (mmol/mol),2020-12-19,2020-12-18,-0.6030127,-0.56935173,-0.58559287,-0.8707421,-0.44910485,-0.91392004,-0.5697754,-0.6110151,-0.55423236,-0.5687756,-0.600846156209912,-1.101778028921377
H2OC (mmol/mol),2020-12-20,2020-12-18,-0.54771554,-0.53731537,-0.727914,-0.887842,-0.43422604,-1.1215987,-0.5583729,-0.52837074,-0.52724284,-0.59993064,-0.7152397081645446,-1.2188203567419724
H2OC (mmol/mol),2020-12-21,2020-12-18,-0.6513312,-0.5515414,-0.73353267,-0.8952376,-0.38783112,-1.0570312,-0.55528736,-0.6155897,-0.5288837,-0.6299226,-0.4619085727678704,-0.6248143290004065
H2OC (mmol/mol),2020-12-22,2020-12-18,-0.6245681,-0.5307197,-0.6915678,-0.7889675,-0.40010566,-0.9657887,-0.53597546,-0.5742537,-0.5291095,-0.633433,0.40363817619171927,-0.7734014365529068
H2OC (mmol/mol),2020-12-23,2020-12-18,-0.55305064,-0.52059126,-0.6901792,-0.73957205,-0.41290033,-0.7451463,-0.51785195,-0.42028075,-0.5291401,-0.595347,0.5469491729805979,-0.9651623826254276
H2OC (mmol/mol),2020-12-24,2020-12-18,-0.6062452,-0.5641126,-0.7044401,-0.629591,-0.43483615,-0.11676809,-0.5550059,-0.58467126,-0.5291443,-0.61640847,-0.3059753758925692,-0.8538037616410201
H2OC (mmol/mol),2020-12-25,2020-12-18,-0.74317324,-0.53043854,-0.654812,-0.644006,-0.4238068,-0.3709252,-0.5414718,-0.68040246,-0.5291448,-0.66086024,-0.8310962524843113,-0.8287461264509576
H2OC (mmol/mol),2020-12-26,2020-12-18,-0.713814,-0.55847615,-0.64320076,-0.70459086,-0.42238396,-0.52623796,-0.55748576,-0.75480616,-0.5291449,-0.68977034,-1.04186053555501,-0.5829478453598674
H2OC (mmol/mol),2020-12-27,2020-12-18,-0.6221813,-0.5678907,-0.7036223,-0.67411137,-0.46902394,-0.5774641,-0.5777046,-0.64005065,-0.5291449,-0.62104154,-1.2408741884589403,-0.056208338917338625
H2OC (mmol/mol),2020-12-28,2020-12-18,-0.5939893,-0.5712372,-0.7093288,-0.71906936,-0.61898446,-0.82900536,-0.56140333,-0.6786179,-0.5291449,-0.59857345,-0.9388752112987101,-0.2418682955522791
H2OC (mmol/mol),2020-12-29,2020-12-18,-0.66215265,-0.5508032,-0.7327771,-0.7390156,-0.66753304,-0.6729632,-0.5599753,-0.61194146,-0.5291449,-0.6452773,-0.7481103451343656,-0.9342839054719596
H2OC (mmol/mol),2020-12-30,2020-12-18,-0.6121409,-0.5785438,-0.72700965,-0.75453275,-0.5995738,-0.72908795,-0.57754195,-0.63244337,-0.5291449,-0.7034877,-0.7371845936415558,-0.976477227832369
H2OC (mmol/mol),2020-12-31,2020-12-18,-0.5757783,-0.53374696,-0.66335434,-0.82715696,-0.5592393,-0.7830015,-0.53202313,-0.5702248,-0.5291449,-0.6622285,-0.8963083589727346,-0.6784470065562791
H2OC (mmol/mol),2021-01-01,2020-12-18,-0.6412355,-0.5362832,-0.5823993,-0.7982223,-0.6510413,-0.5199973,-0.55994,-0.53741676,-0.5291449,-0.6100448,-0.8960126477499947,-0.6948823250411896
OT,2020-12-19,2020-12-18,0.07785928,0.090404406,0.08572963,0.08126773,0.08429836,0.09076645,0.09238887,0.077778004,0.03890252,0.08512977,0.06083352551970732,0.062237962104810675
OT,2020-12-20,2020-12-18,0.0998312,0.094090894,0.09063251,0.061537266,0.10045783,0.083265014,0.08845445,0.087429605,0.040317565,0.09951854,0.0715208451290114,0.08652722366994825
OT,2020-12-21,2020-12-18,0.10204386,0.091652624,0.10962474,0.07697079,0.06903444,0.08313333,0.08503168,0.09247569,0.039398134,0.098597944,0.07805550171192147,0.04627388381131372
OT,2020-12-22,2020-12-18,0.11370985,0.09400035,0.10253963,0.09710768,0.046843417,0.06266674,0.08241924,0.099594675,0.03945245,0.09694863,0.03505482076570309,0.024172166832857837
OT,2020-12-23,2020-12-18,0.09432397,0.09218551,0.09487161,0.08168466,0.08780739,0.06466942,0.081364155,0.09530001,0.03962864,0.09193446,0.06242694717748306,0.02312857512282764
OT,2020-12-24,2020-12-18,0.09546992,0.09168924,0.09683801,0.10067906,0.078773834,0.0831405,0.081476256,0.092447385,0.039813444,0.08762413,0.028771566691795092,0.055765685014500015
OT,2020-12-25,2020-12-18,0.092523366,0.093992986,0.09797566,0.10932262,0.08742145,0.07623452,0.08244787,0.08695353,0.039991856,0.08911318,0.03276145111523813,0.06304188856640901
OT,2020-12-26,2020-12-18,0.083537705,0.09371369,0.08561829,0.107147574,0.082314596,0.101550505,0.07929827,0.084461756,0.04016255,0.08626623,0.04480345043132316,0.055304478972805556
OT,2020-12-27,2020-12-18,0.0829008,0.09284855,0.07485722,0.11113959,0.10635711,0.088657066,0.08477367,0.08777107,0.04032594,0.08798878,0.03576562066525574,0.06968868152024087
OT,2020-12-28,2020-12-18,0.092014484,0.096017055,0.08993354,0.103431955,0.09735805,0.09364334,0.09143916,0.09105219,0.040482298,0.09647562,0.04876077913417598,0.030348710489275756
OT,2020-12-29,2020-12-18,0.08937029,0.09511376,0.08534341,0.124866724,0.059153683,0.0863164,0.09039257,0.09795967,0.04063174,0.09439602,0.05229850077164403,0.02430781566865034
OT,2020-12-30,2020-12-18,0.10463735,0.090533905,0.081224576,0.11501731,0.084082566,0.061275825,0.084733635,0.108397074,0.040775105,0.09294212,0.04691957226968596,0.04054588563858297
OT,2020-12-31,2020-12-18,0.11576678,0.098451465,0.090654805,0.10860687,0.087414555,0.076907255,0.089318976,0.120971456,0.040912613,0.090214424,0.04825797411617183,0.045995351535153155
OT,2021-01-01,2020-12-18,0.09986815,0.09550844,0.08277944,0.10366838,0.06879707,0.089244984,0.0866971,0.121304944,0.041044682,0.08921497,0.0662721395094141,0.04284287259133575
PAR (�mol/m�/s),2020-12-19,2020-12-18,-0.5034933,-0.5117442,-0.5144141,-0.43709135,-0.5011133,-0.447533,-0.51414806,-0.4869024,-0.37485725,-0.5218763,-0.4880776463422402,-0.4746432103567496
PAR (�mol/m�/s),2020-12-20,2020-12-18,-0.5343991,-0.5310658,-0.56936806,-0.43245736,-0.4979522,-0.5107738,-0.54493284,-0.5349734,-0.32720166,-0.5314885,-0.6223513861638605,-0.47257423376973445
PAR (�mol/m�/s),2020-12-21,2020-12-18,-0.6167807,-0.5406863,-0.5186473,-0.47368413,-0.4573512,-0.5126249,-0.5461717,-0.5628774,-0.38827324,-0.54387236,-0.5064758660568719,-0.6257479737249639
PAR (�mol/m�/s),2020-12-22,2020-12-18,-0.59644353,-0.5569455,-0.5577226,-0.48617303,-0.4488769,-0.57178164,-0.5611376,-0.58705366,-0.40680608,-0.5620705,-0.5843524244709035,-0.6392157779744742
PAR (�mol/m�/s),2020-12-23,2020-12-18,-0.57548237,-0.55307126,-0.5360721,-0.5230061,-0.44379634,-0.5653581,-0.558758,-0.5536879,-0.40981877,-0.5338634,-0.619311920267003,-0.5400847683716135
PAR (�mol/m�/s),2020-12-24,2020-12-18,-0.5923747,-0.560095,-0.52695847,-0.5060263,-0.46593672,-0.5858821,-0.57597744,-0.55243117,-0.4102436,-0.551283,-0.5547785370214817,-0.5951573206897194
PAR (�mol/m�/s),2020-12-25,2020-12-18,-0.58528465,-0.5595929,-0.5416986,-0.5332475,-0.4545692,-0.55187076,-0.5639622,-0.55654055,-0.41030163,-0.58683014,-0.6204791309577469,-0.5883697835497483
PAR (�mol/m�/s),2020-12-26,2020-12-18,-0.56361043,-0.5652939,-0.5163956,-0.56058425,-0.45648414,-0.5419543,-0.558,-0.55342066,-0.41030946,-0.5706512,-0.5819178547207552,-0.6332982705142441
PAR (�mol/m�/s),2020-12-27,2020-12-18,-0.5666172,-0.5592714,-0.5391206,-0.53754634,-0.49446133,-0.56254643,-0.5669844,-0.531918,-0.4103105,-0.5542065,-0.632619932230517,-0.636776015345951
PAR (�mol/m�/s),2020-12-28,2020-12-18,-0.5258166,-0.5605061,-0.54312986,-0.57743895,-0.5919519,-0.5599014,-0.57013357,-0.487469,-0.41031066,-0.53808236,-0.5882620684154558,-0.608379724344023
