unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,SeasonalNaive,fold
OT_fold0_x0,2020-12-05,2020-12-04,0.12723692,0.11451308,0.061719805,0.07448325,0.29548153,0.08461267,0.0706681,0.023674011,0.07469834,0.07068754,0.09480541995557776,0.062237962104810675,0
OT_fold0_x0,2020-12-06,2020-12-04,0.018642575,0.088747926,0.066844806,0.0725845,0.049535245,0.078539915,0.05556108,0.018542767,0.074013494,0.06295663,0.13654727970564184,0.08652722366994825,0
OT_fold0_x0,2020-12-07,2020-12-04,-0.052534677,0.025040768,0.05518518,0.07134876,-0.024419188,0.083127156,0.024672013,0.020186186,0.075954825,0.069931656,0.09924384986270794,0.04627388381131372,0
OT_fold0_x0,2020-12-08,2020-12-04,-0.09336579,-0.0056159347,0.076177225,0.06982122,-0.06860222,0.079270385,0.062788874,0.019380331,0.07547509,0.073937975,0.09351585168997718,0.024172166832857837,0
OT_fold0_x0,2020-12-09,2020-12-04,-0.09795056,0.077307746,0.053626142,0.07040571,-0.04826145,0.06260794,0.050801188,0.020263433,0.073844746,0.063583106,0.13995116115846132,0.02312857512282764,0
OT_fold0_x0,2020-12-10,2020-12-04,-0.098397285,0.069672875,0.04154896,0.069884725,-0.027337417,0.076452106,0.038000766,0.009010315,0.074328326,0.06414983,0.11066548183643535,0.055765685014500015,0
OT_fold0_x0,2020-12-11,2020-12-04,-0.09843844,0.123100534,0.062096283,0.079644725,-0.060592033,0.10024731,0.0701464,0.025170803,0.076972544,0.077688724,0.10887310855283061,0.06304188856640901,0
OT_fold0_x0,2020-12-12,2020-12-04,-0.09844205,0.10777458,0.06200224,0.071168214,0.009276986,0.089649655,0.06714708,0.026835918,0.07330343,0.06938948,0.0789363148190007,0.055304478972805556,0
OT_fold0_x0,2020-12-13,2020-12-04,-0.0984423,0.1266633,0.06354129,0.06617863,-0.013552643,0.069483824,0.051977146,0.022663593,0.06780496,0.06585179,0.10960922956839785,0.06968868152024087,0
OT_fold0_x0,2020-12-14,2020-12-04,-0.09844233,0.09189461,0.07687022,0.07165414,-0.19588915,0.0629863,0.08333696,0.028163195,0.072377436,0.07066088,0.07827615715147725,0.030348710489275756,0
OT_fold0_x0,2020-12-15,2020-12-04,-0.09844233,0.06010385,0.07989708,0.06837412,-0.08996995,0.057015244,0.063962735,0.03061676,0.0722941,0.07170304,0.06930705612887801,0.02430781566865034,0
OT_fold0_x0,2020-12-16,2020-12-04,-0.09844234,0.09427364,0.07636704,0.06547365,-0.011260665,0.0705516,0.05550883,0.046735525,0.07128798,0.06327127,0.08633008069526317,0.04054588563858297,0
OT_fold0_x0,2020-12-17,2020-12-04,-0.09844233,-0.022725463,0.07165957,0.06512277,-0.04218732,0.058593556,0.058297068,0.045008183,0.07459308,0.06809971,0.07630111010233863,0.045995351535153155,0
OT_fold0_x0,2020-12-18,2020-12-04,-0.098442316,0.029466763,0.071567476,0.062279023,0.043771457,0.052192204,0.065700434,0.040358305,0.073283546,0.0754937,0.08950607210395127,0.04284287259133575,0
T (degC)_fold0_x1,2020-12-05,2020-12-04,-1.4134895,-1.3910218,-1.3505023,-1.2753414,-0.8965376,-1.2593083,-1.303114,-1.1952486,-1.2782481,-1.2720473,-1.2686269949042028,-1.6185871529877782,0
T (degC)_fold0_x1,2020-12-06,2020-12-04,-0.9874803,-1.3022534,-1.2855377,-1.2732769,-0.90712225,-1.2279868,-1.2608255,-1.23242,-1.1907117,-1.257873,-1.342548262975418,-1.6888247776123284,0
T (degC)_fold0_x1,2020-12-07,2020-12-04,-0.8999601,-0.9473082,-1.1490115,-1.2675111,-0.7032993,-1.2837821,-1.0795317,-1.2784853,-1.2178466,-1.2709363,-1.1254450255656783,-0.9255085091247651,0
T (degC)_fold0_x1,2020-12-08,2020-12-04,-0.8849633,-1.0871589,-1.3676928,-1.3375074,-0.8125061,-1.3951247,-1.2476773,-1.3003688,-1.2255447,-1.365355,-1.164798923635724,-1.061591661458885,0
T (degC)_fold0_x1,2020-12-09,2020-12-04,-0.88123965,-1.5093133,-1.3797004,-1.3517532,-0.7042754,-1.3468897,-1.4697868,-1.3026838,-1.2139051,-1.4099426,-1.2858566965055145,-1.197620830393732,0
T (degC)_fold0_x1,2020-12-10,2020-12-04,-0.8804978,-1.2362998,-1.4045339,-1.3419389,-0.6301934,-1.3615502,-1.3609451,-1.3910012,-1.2557409,-1.3899341,-1.2915609423620322,-1.2093982086684667,0
T (degC)_fold0_x1,2020-12-11,2020-12-04,-0.88036144,-0.7488501,-1.3813156,-1.3311588,-0.31169286,-1.3300027,-1.4199302,-1.2669659,-1.2326633,-1.3772961,-1.2822218142877966,-1.2357780964465583,0
T (degC)_fold0_x1,2020-12-12,2020-12-04,-0.8803372,-0.8030805,-1.4108222,-1.3796681,-0.39992034,-1.3226262,-1.5031261,-1.2813768,-1.2695386,-1.3596226,-1.1699453410330871,-0.9256704593225843,0
T (degC)_fold0_x1,2020-12-13,2020-12-04,-0.88033307,-0.7759522,-1.6096071,-1.3843856,-0.47629058,-1.430399,-1.5783764,-1.31077,-1.2974681,-1.4620878,-0.945446377922941,-0.5716473268899928,0
T (degC)_fold0_x1,2020-12-14,2020-12-04,-0.88033223,-0.8419171,-1.3347316,-1.3086252,-0.39360964,-1.265805,-1.3042309,-1.2970943,-1.259333,-1.3196477,-0.9216307016103185,-0.472965673018877,0
T (degC)_fold0_x1,2020-12-15,2020-12-04,-0.8803321,-0.41696456,-1.3764217,-1.3066456,-0.56424284,-1.2992017,-1.3006896,-1.3129244,-1.2446209,-1.2526306,-0.7860244026364439,-1.112965863100394,0
T (degC)_fold0_x1,2020-12-16,2020-12-04,-0.8803321,-0.56549305,-1.1884838,-1.2892829,-0.8460796,-1.3006699,-1.261809,-1.2475066,-1.2393472,-1.215212,-0.587239532046689,-1.2612312692037966,0
T (degC)_fold0_x1,2020-12-17,2020-12-04,-0.8803321,-0.60855705,-1.0020785,-1.2821404,-0.982339,-1.1467477,-1.0647722,-1.2902651,-1.2466187,-1.1866937,-0.8813051023533582,-1.0292376108279102,0
T (degC)_fold0_x1,2020-12-18,2020-12-04,-0.8803321,-0.98849165,-1.181659,-1.2971151,-0.9026677,-1.2519072,-1.1939523,-1.2710514,-1.2842191,-1.2372503,-1.1199387188398284,-0.6075282929401395,0
Tlog (degC)_fold0_x2,2020-12-05,2020-12-04,-1.4170319,-1.3271481,-1.3915521,-1.3102078,-1.0427098,-1.3375957,-1.34667,-1.2625446,-1.3163153,-1.3098934,-1.3135330789403517,-1.3690158006113053,0
Tlog (degC)_fold0_x2,2020-12-06,2020-12-04,-0.9894857,-1.2717254,-1.3352431,-1.2893044,-0.73285246,-1.3169851,-1.3183812,-1.3396196,-1.2251998,-1.2847489,-1.272299866016172,-1.4424815307577044,0
Tlog (degC)_fold0_x2,2020-12-07,2020-12-04,-0.90629816,-0.97252643,-1.1837835,-1.2669193,-1.0557535,-1.3143587,-1.1709677,-1.3968487,-1.2410071,-1.2583987,-1.1429597117327883,-1.065628940439055,0
Tlog (degC)_fold0_x2,2020-12-08,2020-12-04,-0.8891828,-1.0700405,-1.3756071,-1.3408918,-1.0864408,-1.5231189,-1.2866225,-1.4362745,-1.2610154,-1.3460827,-1.1309997297699799,-1.1081591237507593,0
Tlog (degC)_fold0_x2,2020-12-09,2020-12-04,-0.8860727,-1.4236717,-1.419493,-1.3443718,-1.0024381,-1.441855,-1.4975759,-1.4422741,-1.2489486,-1.4178759,-1.215973051400937,-1.1122415338967253,0
Tlog (degC)_fold0_x2,2020-12-10,2020-12-04,-0.8855833,-1.1782305,-1.4613266,-1.3369272,-0.6102933,-1.4254389,-1.4140332,-1.598052,-1.2808056,-1.3735476,-1.2593127531424382,-1.0188335524972374,0
Tlog (degC)_fold0_x2,2020-12-11,2020-12-04,-0.8855132,-0.7257423,-1.4336894,-1.3263623,-0.84535265,-1.4023124,-1.4289311,-1.3848095,-1.2670829,-1.3364933,-1.2695318352562206,-1.1565300260559457,0
Tlog (degC)_fold0_x2,2020-12-12,2020-12-04,-0.88550365,-0.7310089,-1.4387583,-1.3762528,-0.4423129,-1.4447771,-1.5094703,-1.3995113,-1.3145251,-1.3317297,-1.1942030987888674,-0.9047175673935857,0
Tlog (degC)_fold0_x2,2020-12-13,2020-12-04,-0.88550234,-0.7329673,-1.6391109,-1.3877093,-0.74897945,-1.5102562,-1.6349349,-1.4453096,-1.3369234,-1.4943722,-0.8866992539561671,-0.6354525877447408,0
